"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Nicaragua","Bananas",0.04075,6465501,95481000,"Production_kg",486,"Bananas",117,3650.72,44058.68,8425.78,845994.91,385.83,1.33,0.68,357.03,28.95,5.98,12314.32,56666.05,3.34,230.01,919.18,1.94,1.83,30.86,12.65,355.15,1026.8,9.78,4022.63,942.24,2047.56,0,0,2639.83,30.04,1286.52
"2","Nicaragua","Beans, dry",0.1145,6465501,197020000,"Production_kg",176,"Beans",30,8769.64,566659.43,36538.39,1543609.51,48.28,0.14,10.88,3723.68,194.07,77.72,31118.73,330079.82,23.21,415.7,10292.92,12.02,5.87,53.19,10.32,2938.13,4601.26,34.66,8226.54,3652.95,12656.22,0,0,312.01,101.68,0
"3","Nicaragua","Cabbages and other brassicas",0.08324,6465501,71186000,"Production_kg",358,"Cabbages and other brassicas",78,355.35,30040.62,4031.43,57968.57,811.14,3.05,0.83,1623.2,22.89,4.51,3777.09,29190.55,2.05,519.91,932.54,0.8,1.36,10.25,2.38,326.12,322.96,3.35,453.79,237.07,1161.94,0,0,1201.59,14.63,365.06
"4","Nicaragua","Carrots and turnips",0.0830718954248366,6465501,19567000,"Production_kg",426,"Carrots and turnips",96,110.15,4770.4,853.03,21373.45,99.73,2.22,0,241.66,5.65,0.94,1060.26,7398.04,0.21,171.97,434,0.19,0.34,2.82,0.66,381.07,44.32,0.52,117.79,53.43,275.66,0,0,325.14,4.57,83.79
"5","Nicaragua","Cassava",0.108277777777778,6465501,220786000,"Production_kg",125,"Cassava",17,4386.48,57629.89,14969.89,979047.68,1015.51,0.32,0.8,1229.53,38.4,10.72,11858.18,46675.8,3.15,290.15,1242.87,1.96,1.76,18.09,2.78,747.44,662.29,12.11,2743.78,2759.55,1387.66,0,0,1981.45,44.33,662.29
"6","Nicaragua","Chillies and peppers, green",0.0664142191142191,6465501,20362000,"Production_kg",401,"Chillies and peppers; green",88,185.84,8442.97,3151.29,32756.76,546.84,0.59,0.14,131.08,7.71,1.48,1336.88,15243.8,0.74,33.64,483.1,0.6,0.57,5.63,1.68,38.29,171.08,1.12,197.74,84.61,865.28,0,0,418.57,4.19,78.51
"7","Nicaragua","Cocoa, beans",0.0115,6465501,7e+06,"Production_kg",661,"Cocoa Beans",153,2146.51,151912.64,389309.08,545100.5,0,0,0.3,1009.8,47.77,64.11,9447.47,348337.11,35.66,77.67,5521.47,1.6,1.86,17.38,1.11,112.97,4697.84,36.12,216698.63,149620.2,8096.48,0,0,36.53,37.45,0
"8","Nicaragua","Coconuts",0.04,6465501,6469000,"Production_kg",249,"Coconuts - Incl Copra",58,794.18,8392.22,70398.79,31474.52,6,0,0,46.68,7.18,4.13,817.73,16147.62,1.28,52.98,263.25,0.16,0,1.69,0.1,30.27,72.5,9.38,74662.88,6659.85,1708.42,0,0,132.65,2.56,103.81
"9","Nicaragua","Coffee, green",0.00312,6465501,1.74e+08,"Production_kg",656,"Coffee",152,159818.43,9750837.26,12867612.66,31224898.95,862.57,3.45,14.94,88881.7,2980.35,457.72,1919936.66,0,178.18,30677.17,245168.65,124.18,430.98,9564.11,20.08,37149.87,161168.35,328.63,28576.82,214326.15,14288.41,0,0,4530.63,5000.24,0
"10","Nicaragua","Fruit, citrus nes",0.125066666666667,6465501,509000,"Production_kg",512,"Citrus; Other",116,4.06,68.93,19.83,931.61,2.22,0,0,3.86,0,0,11.71,409.15,0,0.41,0.57,0,0,0,0,0.53,1.26,0,6.48,9.69,10.76,0,0,5.27,0,0.44
"11","Nicaragua","Fruit, fresh nes",0.107099201828105,6465501,17177000,"Production_kg",619,"Fresh fruit; nes",147,223.26,3788.64,1889.49,47808.26,96.75,0.12,0,133.07,9.05,0.62,691.03,8614.49,0.28,27.69,103.79,0.15,0.14,2.48,0.22,173.21,79.16,0.52,303.63,209.2,289.13,0,0,187.77,2.26,69.04
"12","Nicaragua","Groundnuts, with shell",0.028,6465501,224200000,"Production_kg",242,"Groundnuts (Shelled Eq)",54,67947.7,2918194.68,5437492.68,2108704.35,175.86,0.11,14.43,7418.54,437.4,344.84,86250.43,1029051.17,134.71,1270.7,48378.98,94.54,20.95,1774.97,66.93,17121.45,23224.57,181.68,777617.23,3025016.49,1926766.83,0,0,1045.46,338.68,0
"13","Nicaragua","Maize",0.0869363057324841,6465501,400146000,"Production_kg",56,"Maize",4,25154.76,615281.34,243670.51,5137880.55,48.82,1.57,1.66,1485.38,231.65,127.74,20972.77,368681.81,12.85,665.3,15582.55,18.98,8.43,183.62,25.23,0,7807.17,17.26,42126.31,91674.1,171975.71,0,0,887.09,89.36,0
"14","Nicaragua","Oil palm fruit",0.012,6465501,86217000,"Production_kg",254,"Palmkernel Oil",68,97900.61,0,11112441.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,0,9056639.62,1266818.3,177799.06,0,0,0,0,0
