"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","North Macedonia","Almonds shelled",0.0296505238073522,2082957,454000,"Import_kg",231,"Almonds; with shell",45,437.67,15591.35,37604.68,13273.36,7.64,0,0,178.42,2.3,2.66,578.76,5329.44,0.75,3.55,354.83,0.16,0.56,2.87,0.1,38.3,236.33,1.54,2904.36,24828.18,8574.51,0,0,3.66,2.16,47.78
"2","North Macedonia","Anise, badian, fennel, coriander",0.00195,2082957,145000,"Import_kg",711,"Anise; badian; fennel; coriander",161,1240.83,56451.63,51159.29,166829.21,37.31,0,0,2903.28,114.57,16.56,5295.91,85240.7,3.35,264.17,1642.47,1.17,1.08,10.99,1.78,1955.76,1124.51,9.74,3006.55,38865.24,9382.35,0,0,35.56,24.03,0
"3","North Macedonia","Apples",0.121111111111111,2082957,711000,"Import_kg",515,"Apples",119,15.82,87.49,83.03,3687.9,4.09,0,0,2.18,0.2,0,28.99,399.28,0,1.64,3.06,0,0,0,0,45.71,1.32,0,10.99,2.4,18.46,0,0,23.82,0,2.82
"4","North Macedonia","Apricots",0.03995,2082957,142000,"Import_kg",526,"Apricots",125,8.43,170.64,43.64,1942.61,1.14,0,0,2.9,0.14,0,49.77,233.21,0,0.23,4.07,0,0,0.13,0,0.48,1.71,0,4.86,29.01,13.4,0,0,14.61,0.13,1.45
"5","North Macedonia","Apricots, dry",0.03995,2082957,63000,"Import_kg",527,"Apricots",125,3.74,75.71,19.36,861.86,0.51,0,0,1.29,0,0,22.08,103.47,0,0.1,1.8,0,0,0,0,0.21,0.76,0,2.16,12.87,5.94,0,0,6.48,0,0.64
"6","North Macedonia","Asparagus",0.0845294117647059,2082957,3000,"Import_kg",367,"Asparagus",80,0,3.68,0.35,5.19,0,0,0,0,0,0,0.37,4.15,0,0,0.14,0,0,0,0,0,0,0,0,0,0.12,0,0,0.16,0,0
"7","North Macedonia","Avocados",0.048,2082957,214000,"Import_kg",572,"Avocados",141,31.18,344.27,3015.28,928.93,2.74,0,0,4.4,0.21,0.1,109.17,938.2,0,1.41,36.33,0,0,0.3,0,3.04,6.47,0,511.87,1699.95,356.16,0,0,16.46,0.25,8.13
"8","North Macedonia","Bananas",0.04075,2082957,1e+05,"Import_kg",486,"Bananas",117,11.87,143.23,27.39,2750.25,1.25,0,0,1.16,0,0,40.03,184.22,0,0.75,2.99,0,0,0.1,0,1.15,3.34,0,13.08,3.06,6.66,0,0,8.58,0,4.18
"9","North Macedonia","Barley",0.04775,2082957,7822000,"Import_kg",44,"Barley",3,2706.47,71915.76,10943.9,586345.22,5.24,0,0.17,438.44,61.17,19.88,2025.08,65143.23,5.03,168.3,2300.12,2.07,1.02,42.05,2.27,297.27,610.8,11.18,2854.77,1745.89,6558.89,0,0,92.35,14.41,0
"10","North Macedonia","Beans, dry",0.1145,2082957,4548000,"Import_kg",176,"Beans",30,628.37,40602.63,2618.07,110603.65,3.46,0,0.78,266.81,13.91,5.57,2229.74,23651.08,1.66,29.79,737.51,0.86,0.42,3.81,0.74,210.53,329.69,2.48,589.45,261.74,906.85,0,0,22.36,7.29,0
