"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","North Macedonia","Almonds, with shell",0.0296505238073522,2082957,568000,"Production_kg",221,"Almonds; with shell",45,547.57,19506.36,47047.26,16606.31,9.56,0,0,223.22,2.87,3.33,724.09,6667.66,0.93,4.44,443.93,0.2,0.71,3.59,0.13,47.92,295.68,1.92,3633.65,31062.57,10727.58,0,0,4.57,2.7,59.78
"2","North Macedonia","Anise, badian, fennel, coriander",0.00195,2082957,1708000,"Production_kg/Import_kg",711,"Anise; badian; fennel; coriander",161,14616.11,664961.31,602621.19,1965133.07,439.43,1,0.49,34198.67,1349.56,195.01,62382.17,1004076.62,39.45,3111.75,19347.13,13.79,12.71,129.45,21.03,23037.46,13245.96,114.7,35415.08,457805.68,110517.58,0,0,418.89,283.08,0
"3","North Macedonia","Apples",0.121111111111111,2082957,89412000,"Production_kg/Import_kg",515,"Apples",119,1989.6,11002.12,10440.94,463772.77,514.59,0.2,0,274.68,24.85,2.27,3645.57,50211.04,1.03,206.46,384.81,1.61,1,6.64,1.43,5748.87,165.4,1.24,1382.28,301.27,2321.52,0,0,2995.07,9.12,354.43
"4","North Macedonia","Apricots",0.03995,2082957,6212000,"Production_kg/Import_kg",526,"Apricots",125,368.77,7465.08,1908.93,84982.45,49.89,0.96,0,126.91,5.93,1.64,2177.31,10202.27,0.58,9.89,177.92,0.17,0.83,5.82,0.4,20.9,74.65,0.57,212.75,1269.06,586.01,0,0,639.06,5.9,63.45
"5","North Macedonia","Asparagus",0.0845294117647059,2082957,826000,"Production_kg/Import_kg",367,"Asparagus",80,9.5,1011.98,95.17,1428.5,10.17,0,0,9.85,0.51,0.25,101.68,1141.55,0,2.17,39.33,0,0,0.42,0,7.51,6.57,0,21.11,2.35,32.84,0,0,43.55,0.31,22.05
"6","North Macedonia","Avocados",0.048,2082957,214000,"Import_kg",572,"Avocados",141,31.18,344.27,3015.28,928.93,2.74,0,0,4.4,0.21,0.1,109.17,938.2,0,1.41,36.33,0,0,0.3,0,3.04,6.47,0,511.87,1699.95,356.16,0,0,16.46,0.25,8.13
"7","North Macedonia","Bananas",0.04075,2082957,1e+05,"Import_kg",486,"Bananas",117,11.87,143.23,27.39,2750.25,1.25,0,0,1.16,0,0,40.03,184.22,0,0.75,2.99,0,0,0.1,0,1.15,3.34,0,13.08,3.06,6.66,0,0,8.58,0,4.18
"8","North Macedonia","Barley",0.04775,2082957,146275000,"Production_kg/Import_kg",44,"Barley",3,50612.2,1344857.88,204655.9,10964925.45,98.04,0,3.09,8199.01,1143.95,371.79,37869.86,1218208.33,94.03,3147.24,43013.21,38.68,19.02,786.4,42.5,5559.15,11422.24,209.08,53385.47,32648.96,122654.21,0,0,1726.91,269.43,0
"9","North Macedonia","Beans, dry",0.1145,2082957,9817000,"Production_kg/Import_kg",176,"Beans",30,1356.35,87642.04,5651.19,238741.44,7.47,0,1.68,575.92,30.02,12.02,4812.96,51051.6,3.59,64.29,1591.95,1.86,0.91,8.23,1.6,454.42,711.65,5.36,1272.35,564.98,1957.47,0,0,48.26,15.73,0
"10","North Macedonia","Beans, green",0.0843965476190476,2082957,10820000,"Production_kg",414,"Beans; green",92,293.65,28064.9,3350.89,46055.09,141.06,0.19,0.39,387.5,13.37,2.85,1791.49,13791.21,0.31,102.07,656.15,0.78,6.13,5.38,0.86,49.85,184.65,0.53,299.54,112.84,578.56,0,0,511.57,6.99,76.32
"11","North Macedonia","Broad beans, horse beans, dry",0.052,2082957,2000,"Import_kg",181,"Broad beans; horse beans; dry",32,0.62,44.31,2.93,101.55,0,0,0,0.18,0,0,2.2,35.76,0,0,0.7,0,0,0,0,0.18,0.35,0,0.47,0.56,1.11,0,0,0,0,0
"12","North Macedonia","Buckwheat",0.0421111111111111,2082957,5000,"Import_kg",89,"Buckwheat",9,1.88,60.64,15.39,392.75,0,0,0,0.24,0,0,2.34,53.01,0,0,2,0,0,0,0,0,1.31,0,4.22,5.93,5.92,0,0,0,0,0
"13","North Macedonia","Cabbages and other brassicas",0.08324,2082957,173876000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,2694.19,227759.15,30565.12,439500.64,6149.82,23.11,6.27,12306.64,173.56,34.21,28636.81,221314.18,15.53,3941.84,7070.25,6.07,10.31,77.71,18.07,2472.53,2448.58,25.42,3440.48,1797.38,8809.47,0,0,9110.08,110.93,2767.81
"14","North Macedonia","Carrots and turnips",0.0830718954248366,2082957,4966000,"Production_kg/Import_kg",426,"Carrots and turnips",96,86.77,3758.02,672,16837.55,78.56,1.75,0,190.37,4.45,0.74,835.25,5828.02,0.17,135.47,341.89,0.15,0.27,2.22,0.52,300.2,34.92,0.41,92.79,42.09,217.16,0,0,256.14,3.6,66.01
"15","North Macedonia","Cauliflowers and broccoli",0.103835520801038,2082957,670000,"Production_kg/Import_kg",393,"Cauliflowers and broccoli",84,8.88,959.57,100.16,1260.48,25.05,0.17,0,13.58,0.34,0.13,91.78,588.58,0,9.27,33.65,0,0,0.22,0,19.62,5.58,0,19.28,5.81,9.99,0,0,26.83,0.33,14.87
"16","North Macedonia","Cherries",0.1289,2082957,6050000,"Production_kg/Import_kg",531,"Cherries",127,102.72,2452.36,390.57,23464.53,28.21,0,0,62.19,1.14,0.16,559.95,2365.98,0.14,3.38,52.73,0,0,1.56,0.11,13.75,24.79,0.16,85.63,105.91,117.17,0,0,185.62,1.53,18.03
"17","North Macedonia","Cherries, sour",0.028,2082957,8708000,"Production_kg/Import_kg",530,"Sour cherries",126,706.72,16423.77,3981.52,166128.89,149.31,0.74,0.12,204.05,6.07,2.46,2583.01,17916.84,1.55,82.12,246.36,0.37,0.45,5.97,0.66,91.08,134.38,1.67,1015.29,1224.32,1343.76,0,0,1299.12,5.97,164.24
"18","North Macedonia","Chestnut",0.059,2082957,1698000,"Production_kg/Import_kg",220,"Chestnuts",44,362,7041.93,4029.88,71943.73,24.41,0,0.15,51.58,2.29,0.64,902.92,16994.58,0.9,25.75,174.78,0.29,0.29,1.49,0.92,0,102.24,1.8,1156.46,2120.87,2428.98,0,0,46.91,2.83,27.63
"19","North Macedonia","Chick peas",0.04575,2082957,1180000,"Production_kg/Import_kg",191,"Chick peas",33,436.18,24076.47,6233.19,72210.47,2.6,0,0.46,168.85,8.58,4.27,1001.75,9452.02,1.14,24.84,384.35,0.49,0.22,2.18,0.66,181.59,122.59,13.94,763.39,1688.36,3294.38,0,0,13,3.68,0
"20","North Macedonia","Chillies and peppers, dry",4e-04,2082957,4080000,"Production_kg/Import_kg",689,"Pimento",156,117751.24,5018257.36,4370959.17,20095495.9,36938.83,332.44,26.81,101592.87,3574.73,1294,892212.37,10880877.52,323.07,222196.14,91042.53,136.7,213.28,2701.61,844.1,25218.96,75167.18,1066.38,1297674.41,833286.52,3019092.57,0,0,13725.15,2930.3,0
"21","North Macedonia","Chillies and peppers, green",0.0664142191142191,2082957,187226000,"Production_kg/Import_kg",401,"Chillies and peppers; green",88,5304.08,240969.92,89940.66,934907.4,15607.31,16.87,3.99,3741.17,219.96,42.2,38155.73,435071.6,21.02,960.04,13788.15,17.11,16.25,160.68,48.01,1092.87,4882.64,31.98,5643.66,2414.74,24695.91,0,0,11946.26,119.61,2240.62
"22","North Macedonia","Cinnamon (cannella)",0.00115555555555556,2082957,25000,"Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","North Macedonia","Cloves",0.0013,2082957,4000,"Import_kg",698,"Cloves",157,35.4,638.64,1378.71,6673.45,0,0,0,82.82,1.27,0.34,150.67,3168.57,0,40.92,12.01,0,0,0.12,0,5.52,38.26,8.88,583.79,205.77,532.67,0,0,4.92,0.62,0
"24","North Macedonia","Coconuts",0.04,2082957,11000,"Import_kg",249,"Coconuts - Incl Copra",58,4.19,44.29,371.57,166.13,0,0,0,0.25,0,0,4.32,85.23,0,0.28,1.39,0,0,0,0,0.16,0.38,0,394.08,35.15,9.02,0,0,0.7,0,0.55
"25","North Macedonia","Coffee, green",0.00312,2082957,6434000,"Import_kg",656,"Coffee",152,18343.43,1119168.8,1476901.96,3583890.47,99,0.4,1.71,10201.55,342.08,52.54,220363.97,0,20.45,3521.02,28139.65,14.25,49.47,1097.74,2.31,4263.94,18498.37,37.72,3279.95,24599.65,1639.98,0,0,520.01,573.91,0
"26","North Macedonia","Cow peas, dry",0.0623254069051863,2082957,7626000,"Production_kg",195,"Cow peas; dry",34,1944.37,127277.02,8691.85,330656.69,5.63,0,2.37,567.42,45.41,24.64,5858.29,62315.85,5.1,151.44,2385.16,3.16,0.9,15.96,2.08,871.44,1191.8,7.43,1944.37,622.67,3183.84,0,0,68.52,20.62,0
"27","North Macedonia","Cranberries",0.0513333333333333,2082957,343000,"Production_kg/Import_kg",554,"Cranberries",137,14.76,125.11,41.7,3913.58,4.27,0,0,2.57,0,0,27.27,1475.61,0,0.64,4.17,0,0,0,0,1.76,1.92,0.12,3.53,5.77,17.64,0,0,27.95,0,0.64
"28","North Macedonia","Cucumbers and gherkins",0.0675,2082957,55109000,"Production_kg/Import_kg",397,"Cucumbers and gherkins",86,547.17,25292.76,4634.32,99177,387.43,0.19,0.37,627.13,17.44,7.51,5587.57,25570.53,2.12,260.16,1421.66,1.03,1.24,7.47,1.57,235.17,489.95,3.1,1313.06,97.99,1019.09,0,0,3753.28,16.28,607.53
"29","North Macedonia","Currants",0.038,2082957,80000,"Production_kg",550,"Currants",135,12.66,181.93,25.52,3021.51,10.21,0,0,6.9,0.3,0,30.17,267.84,0,0.17,7.18,0,0,0,0,0.77,1.87,0,2.58,4.35,13.49,0,0,6.72,0.12,0.2
"30","North Macedonia","Dates",0.0393863636363636,2082957,798000,"Import_kg",577,"Dates",121,193.37,1709.51,285.73,49568.54,6.57,0,0,40.37,1.61,0.3,587.02,4805.11,0.22,1.95,78.18,0,0.12,1.6,0.17,7.88,39.23,0.27,15.56,17.51,9.24,0,0,36.76,1.3,16.86
"31","North Macedonia","Eggplants (aubergines)",0.082,2082957,1150000,"Production_kg/Import_kg",399,"Eggplants (aubergines)",87,18.36,777.15,487.24,3562.13,4.44,0,0,11.52,0.41,0.13,135.21,1395.64,0,3.61,29.48,0,0,0.87,0,19.83,8.64,0.16,18.18,8.75,39.05,0,0,61.79,0.81,13.8
"32","North Macedonia","Figs",0.0504615384615385,2082957,626000,"Production_kg",569,"Figs",139,32.26,603.91,125.07,7425.07,5.04,0,0,27.82,0.51,0.23,131.72,1310.26,0,1.32,14.44,0,0,0.25,0,2.8,10.12,0,27.79,30.97,66.31,0,0,49.9,0.44,4.47
"33","North Macedonia","Fruit, fresh nes",0.107099201828105,2082957,1819000,"Production_kg/Import_kg",619,"Fresh fruit; nes",147,73.39,1245.35,621.09,15714.85,31.8,0,0,43.74,2.97,0.2,227.15,2831.63,0,9.1,34.12,0,0,0.82,0,56.93,26.02,0.17,99.8,68.76,95.04,0,0,61.72,0.74,22.7
"34","North Macedonia","Fruit, tropical fresh nes",0.1073859375,2082957,37000,"Import_kg",603,"Fruit; tropical fresh; nes",146,1.55,24.48,19.78,343.48,1.78,0,0,0.54,0,0,4.15,48.09,0,0.16,0.59,0,0,0,0,0.13,0.47,0,12.32,27.26,6.23,0,0,1.26,0,0.65
"35","North Macedonia","Garlic",0.00732,2082957,4660000,"Production_kg/Import_kg",406,"Garlic",90,3728.02,155292.44,7650.13,780778.89,406.03,0,0.11,1570.93,42.48,35.62,13493.52,48518.6,14.75,532.41,6198.33,4.31,2.46,16.37,30.94,709.06,1191.95,40.83,2735.38,320.91,7319.81,0,0,1999.06,44.3,397.32
"36","North Macedonia","Ginger",0.02852,2082957,146000,"Import_kg",720,"Ginger",162,47.84,1199.75,516.72,10009.38,0.68,0,0,17.48,1.35,0.44,221.93,1450.82,0.14,6.04,21.57,0,0,0.96,0.11,10.13,36.05,8.18,638.75,117.72,228.32,0,0,11.44,0.55,0
