"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Oman","Almonds, with shell",0.0296505238073522,4829473,591000,"Import_kg",221,"Almonds; with shell",45,245.73,8753.79,21113.2,7452.34,4.29,0,0,100.17,1.29,1.49,324.95,2992.22,0.42,1.99,199.22,0,0.32,1.61,0,21.5,132.69,0.86,1630.66,13939.82,4814.17,0,0,2.05,1.21,26.83
"2","Oman","Anise, badian, fennel, coriander",0.00195,4829473,3581000,"Import_kg",711,"Anise; badian; fennel; coriander",161,13216.88,601303.03,544930.87,1777006.36,397.36,0.9,0.45,30924.75,1220.36,176.34,56410.18,907954.06,35.68,2813.85,17494.99,12.47,11.49,117.06,19.01,20832.03,11977.9,103.72,32024.71,413978.88,99937.48,0,0,378.79,255.98,0
"3","Oman","Apples",0.121111111111111,4829473,23106000,"Import_kg",515,"Apples",119,221.76,1226.27,1163.72,51690.98,57.35,0,0,30.62,2.77,0.25,406.33,5596.4,0.11,23.01,42.89,0.18,0.11,0.74,0.16,640.75,18.44,0.14,154.07,33.58,258.75,0,0,333.82,1.02,39.5
"4","Oman","Apricots",0.03995,4829473,1249000,"Import_kg",526,"Apricots",125,31.98,647.36,165.54,7369.55,4.33,0,0,11.01,0.51,0.14,188.81,884.73,0,0.86,15.43,0,0,0.5,0,1.81,6.47,0,18.45,110.05,50.82,0,0,55.42,0.51,5.5
"5","Oman","Artichokes",0.1,4829473,3000,"Import_kg",366,"Artichokes",79,0,1.63,0.11,7.21,0,0,0,0,0,0,0.21,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Oman","Asparagus",0.0845294117647059,4829473,36000,"Import_kg",367,"Asparagus",80,0.18,19.02,1.79,26.85,0.19,0,0,0.19,0,0,1.91,21.46,0,0,0.74,0,0,0,0,0.14,0.12,0,0.4,0,0.62,0,0,0.82,0,0.41
"7","Oman","Avocados",0.048,4829473,426000,"Import_kg",572,"Avocados",141,26.77,295.58,2588.83,797.55,2.35,0,0,3.78,0.18,0,93.73,805.51,0,1.21,31.19,0,0,0.25,0,2.61,5.56,0,439.48,1459.53,305.79,0,0,14.13,0.22,6.98
"8","Oman","Bambara beans",0.028,4829473,1000,"Import_kg",203,"Bambara beans",37,0.25,13.12,4.16,40.03,0,0,0,0,0,0,0.93,3.55,0,0,0.19,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0
"9","Oman","Bananas",0.04075,4829473,33998000,"Import_kg",486,"Bananas",117,1740.27,21002.47,4016.51,403279.93,183.92,0.63,0.32,170.19,13.8,2.85,5870.15,27012.31,1.59,109.64,438.16,0.92,0.87,14.71,6.03,169.3,489.47,4.66,1917.56,449.16,976.06,0,0,1258.39,14.32,613.27
"10","Oman","Barley",0.04775,4829473,180754000,"Import_kg",44,"Barley",3,26974.51,716761.65,109074.35,5843917.22,52.25,0,1.65,4369.78,609.69,198.15,20183.29,649261.93,50.11,1677.37,22924.52,20.61,10.14,419.12,22.65,2962.83,6087.65,111.43,28452.56,17400.74,65370.36,0,0,920.38,143.6,0
"11","Oman","Beans, dry",0.1145,4829473,5567000,"Import_kg",176,"Beans",30,331.74,21435.59,1382.17,58391.66,1.83,0,0.41,140.86,7.34,2.94,1177.16,12486.26,0.88,15.73,389.36,0.45,0.22,2.01,0.39,111.14,174.06,1.31,311.19,138.18,478.76,0,0,11.8,3.85,0
"12","Oman","Beans, green",0.0843965476190476,4829473,245000,"Import_kg",414,"Beans; green",92,2.87,274.08,32.73,449.78,1.38,0,0,3.78,0.13,0,17.5,134.69,0,1,6.41,0,0,0,0,0.49,1.8,0,2.93,1.1,5.65,0,0,5,0,0.75
"13","Oman","Blueberries",0.134028846153846,4829473,101000,"Import_kg",552,"Blueberries",136,0.89,11.55,5.15,226.1,0.15,0,0,0,0,0,1.2,37.45,0,0,0.19,0,0,0,0,0,0,0,0.44,0.73,2.28,0,0,1.31,0,0
"14","Oman","Broad beans, horse beans, dry",0.052,4829473,514000,"Import_kg",181,"Broad beans; horse beans; dry",32,68.46,4911.69,325.09,11256.66,0.56,0,0,20.28,1.65,0.71,244.22,3963.83,0.17,3.73,78.08,0,0,0.54,0,19.61,39.19,0.33,51.58,61.71,123.52,0,0,2.13,0.61,5.53
"15","Oman","Buckwheat",0.0421111111111111,4829473,54000,"Import_kg",89,"Buckwheat",9,8.76,282.45,71.69,1829.43,0,0,0,1.12,0.19,0,10.91,246.93,0,0.16,9.32,0,0,0.15,0,0,6.08,0,19.68,27.61,27.59,0,0,0.35,0,0
"16","Oman","Carrots and turnips",0.0830718954248366,4829473,1.2e+07,"Import_kg",426,"Carrots and turnips",96,90.43,3916.65,700.37,17548.26,81.88,1.82,0,198.41,4.64,0.77,870.5,6074.02,0.18,141.19,356.32,0.15,0.28,2.32,0.55,312.87,36.39,0.43,96.71,43.87,226.32,0,0,266.95,3.75,68.79
"17","Oman","Cashew nuts, with shell",0.0289438420348059,4829473,9000,"Import_kg",217,"Cashew nuts; with shell",43,3.5,118.3,270.98,155.69,0,0,0,0.26,0,0,4.19,17.13,0,0.6,3.03,0,0,0,0,0,1.95,0,50.11,153.22,50.51,0,0,0,0,0.18
"18","Oman","Cauliflowers and broccoli",0.103835520801038,4829473,1446000,"Import_kg",393,"Cauliflowers and broccoli",84,8.27,893.2,93.23,1173.3,23.32,0.16,0,12.64,0.31,0.12,85.43,547.87,0,8.63,31.32,0,0,0.21,0,18.26,5.19,0,17.95,5.41,9.3,0,0,24.98,0.31,13.84
"19","Oman","Cherries",0.1289,4829473,86000,"Import_kg",531,"Cherries",127,0.63,15.04,2.39,143.86,0.17,0,0,0.38,0,0,3.43,14.51,0,0,0.32,0,0,0,0,0,0.15,0,0.52,0.65,0.72,0,0,1.14,0,0.11
"20","Oman","Chestnut",0.059,4829473,158000,"Import_kg",220,"Chestnuts",44,14.53,282.61,161.73,2887.31,0.98,0,0,2.07,0,0,36.24,682.04,0,1.03,7.01,0,0,0,0,0,4.1,0,46.41,85.12,97.48,0,0,1.88,0.11,1.11
"21","Oman","Chick peas",0.04575,4829473,10982000,"Import_kg",191,"Chick peas",33,1750.83,96643.53,25020.19,289854.59,10.44,0,1.85,677.78,34.44,17.14,4021.05,37940.66,4.56,99.71,1542.81,1.96,0.87,8.76,2.66,728.91,492.07,55.96,3064.25,6777.13,13223.73,0,0,52.18,14.75,0
"22","Oman","Chillies and peppers, dry",4e-04,4829473,2611000,"Import_kg",689,"Pimento",156,32500.7,1385097.04,1206435.26,5546589.16,10195.54,91.76,7.4,28040.81,986.67,357.16,246260.93,3003247.97,89.17,61328.7,25128.79,37.73,58.87,745.68,232.98,6960.72,20747.01,294.33,358173.14,229996.71,833304.45,0,0,3788.3,808.8,0
"23","Oman","Chillies and peppers, green",0.0664142191142191,4829473,7676000,"Import_kg",401,"Chillies and peppers; green",88,93.79,4261.01,1590.4,16531.72,275.98,0.3,0,66.15,3.89,0.75,674.7,7693.25,0.37,16.98,243.81,0.3,0.29,2.84,0.85,19.32,86.34,0.57,99.8,42.7,436.69,0,0,211.24,2.11,39.62
"24","Oman","Cinnamon (cannella)",0.00115555555555556,4829473,686000,"Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Oman","Cloves",0.0013,4829473,280000,"Import_kg",698,"Cloves",157,1068.86,19281.18,41624.76,201478.69,0.45,0,0.11,2500.46,38.4,10.35,4548.99,95662.61,1.64,1235.36,362.73,0.35,0.49,3.48,1.74,166.8,1155.09,268.15,17625.11,6212.5,16082.02,0,0,148.47,18.78,0
"26","Oman","Coconuts",0.04,4829473,4010000,"Import_kg",249,"Coconuts - Incl Copra",58,659.07,6964.44,58421.79,26119.74,4.98,0,0,38.74,5.96,3.42,678.61,13400.42,1.06,43.97,218.47,0.13,0,1.4,0,25.12,60.16,7.78,61960.43,5526.81,1417.77,0,0,110.09,2.12,86.15
"27","Oman","Coffee, green",0.00312,4829473,2853000,"Import_kg",656,"Coffee",152,3508.18,214040.95,282457.39,685418.79,18.93,0,0.33,1951.05,65.42,10.05,42144.59,0,3.91,673.4,5381.71,2.73,9.46,209.94,0.44,815.48,3537.81,7.21,627.29,4704.68,313.65,0,0,99.45,109.76,0
"28","Oman","Cranberries",0.0513333333333333,4829473,3000,"Import_kg",554,"Cranberries",137,0,0.47,0.16,14.76,0,0,0,0,0,0,0.1,5.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0
"29","Oman","Cucumbers and gherkins",0.0675,4829473,2649000,"Import_kg",397,"Cucumbers and gherkins",86,11.34,524.37,96.08,2056.13,8.03,0,0,13,0.36,0.16,115.84,530.13,0,5.39,29.47,0,0,0.15,0,4.88,10.16,0,27.22,2.03,21.13,0,0,77.81,0.34,12.6
"30","Oman","Currants",0.038,4829473,3000,"Import_kg",550,"Currants",135,0.2,2.94,0.41,48.87,0.17,0,0,0.11,0,0,0.49,4.33,0,0,0.12,0,0,0,0,0,0,0,0,0,0.22,0,0,0.11,0,0
"31","Oman","Dates",0.0393863636363636,4829473,21159000,"Import_kg",577,"Dates",121,2211.39,19549.91,3267.59,566864.07,75.16,0,0.22,461.63,18.38,3.39,6713.16,54951.11,2.55,22.25,894.07,0.76,1.35,18.3,1.98,90.1,448.66,3.1,177.98,200.23,105.68,0,0,420.41,14.91,192.81
"32","Oman","Eggplants (aubergines)",0.082,4829473,75000,"Import_kg",399,"Eggplants (aubergines)",87,0.52,21.86,13.71,100.2,0.12,0,0,0.32,0,0,3.8,39.26,0,0.1,0.83,0,0,0,0,0.56,0.24,0,0.51,0.25,1.1,0,0,1.74,0,0.39
"33","Oman","Figs",0.0504615384615385,4829473,237000,"Import_kg",569,"Figs",139,5.27,98.61,20.42,1212.43,0.82,0,0,4.54,0,0,21.51,213.95,0,0.22,2.36,0,0,0,0,0.46,1.65,0,4.54,5.06,10.83,0,0,8.15,0,0.73
"34","Oman","Fruit, fresh nes",0.107099201828105,4829473,29284000,"Import_kg",619,"Fresh fruit; nes",147,509.57,8647.07,4312.51,109116,220.82,0.28,0,303.71,20.65,1.42,1577.19,19661.43,0.64,63.2,236.88,0.35,0.32,5.66,0.51,395.33,180.68,1.19,692.99,477.47,659.9,0,0,428.56,5.16,157.58
"35","Oman","Fruit, tropical fresh nes",0.1073859375,4829473,3706000,"Import_kg",603,"Fruit; tropical fresh; nes",146,66.93,1057.38,854.4,14838.28,76.75,0,0,23.13,1.25,0.27,179.46,2077.28,0,7.01,25.68,0.2,0.21,0.75,0.11,5.66,20.1,0.16,532.41,1177.51,269.22,0,0,54.48,0.55,28.19
"36","Oman","Garlic",0.00732,4829473,11508000,"Import_kg",406,"Garlic",90,3970.76,165403.54,8148.23,831615.48,432.46,0,0.11,1673.22,45.25,37.94,14372.08,51677.65,15.71,567.07,6601.9,4.59,2.62,17.44,32.96,755.23,1269.56,43.49,2913.48,341.8,7796.41,0,0,2129.22,47.19,423.19
"37","Oman","Ginger",0.02852,4829473,7193000,"Import_kg",720,"Ginger",162,1016.61,25493.47,10979.86,212688.92,14.54,0,0.11,371.41,28.78,9.45,4715.73,30828.37,2.9,128.41,458.28,0.38,0.68,20.49,2.44,215.16,766.1,173.9,13572.73,2501.48,4851.51,0,0,243.07,11.64,0
"38","Oman","Grapefruit (inc. pomelos)",0.15,4829473,757000,"Import_kg",507,"Grapefruit",115,3.78,73.6,15.88,839.19,4.11,0,0,1.94,0,0,19.87,105.66,0,0.76,2.18,0,0,0,0,0.8,0.8,0,1.25,1.2,2.3,0,0,9.36,0,4.68
"39","Oman","Grapes",0.1235,4829473,11826000,"Import_kg",560,"Grapes",122,121.98,1064.38,469.55,28960.57,10.19,0,0,29.64,1.22,0.14,359.28,4192.13,0.19,6.38,40.32,0,0.27,0.43,0.19,11.1,53.53,1.37,236.61,27.1,185.06,0,0,165.06,0.94,27.76
"40","Oman","Hazelnuts, with shell",0.03,4829473,16000,"Import_kg",225,"Hazelnuts; with shell",49,6.54,172.37,608.21,230.81,0,0,0,2.1,0,0,7.37,84.48,0,0,3.52,0,0,0,0,0.5,1.8,0,41.21,296.25,236.99,0,0,0,0,0.65
