"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Pakistan","Almonds, with shell",0.0296505238073522,212228286,628000,"Import_kg",221,"Almonds; with shell",45,5.94,211.67,510.53,180.2,0.1,0,0,2.42,0,0,7.86,72.35,0,0,4.82,0,0,0,0,0.52,3.21,0,39.43,337.07,116.41,0,0,0,0,0.65
"2","Pakistan","Apples",0.121111111111111,212228286,67449000,"Import_kg",515,"Apples",119,14.73,81.46,77.3,3433.7,3.81,0,0,2.03,0.18,0,26.99,371.75,0,1.53,2.85,0,0,0,0,42.56,1.22,0,10.23,2.23,17.19,0,0,22.17,0,2.62
"3","Pakistan","Apricots",0.03995,212228286,17831000,"Import_kg",526,"Apricots",125,10.39,210.31,53.78,2394.15,1.41,0,0,3.58,0.17,0,61.34,287.42,0,0.28,5.01,0,0,0.16,0,0.59,2.1,0,5.99,35.75,16.51,0,0,18,0.17,1.79
"4","Pakistan","Bananas",0.04075,212228286,1000,"Import_kg",486,"Bananas",117,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Pakistan","Barley",0.04775,212228286,8479000,"Import_kg",44,"Barley",3,28.79,765.12,116.43,6238.17,0,0,0,4.66,0.65,0.21,21.54,693.06,0,1.79,24.47,0,0,0.45,0,3.16,6.5,0.12,30.37,18.57,69.78,0,0,0.98,0.15,0
"6","Pakistan","Beans, dry",0.1145,212228286,103871000,"Import_kg",176,"Beans",30,140.85,9101.33,586.86,24792.5,0.78,0,0.17,59.81,3.12,1.25,499.81,5301.54,0.37,6.68,165.32,0.19,0,0.85,0.17,47.19,73.9,0.56,132.13,58.67,203.28,0,0,5.01,1.63,0
"7","Pakistan","Cabbages and other brassicas",0.08324,212228286,10729000,"Import_kg",358,"Cabbages and other brassicas",78,1.63,137.93,18.51,266.17,3.72,0,0,7.45,0.11,0,17.34,134.03,0,2.39,4.28,0,0,0,0,1.5,1.48,0,2.08,1.09,5.34,0,0,5.52,0,1.68
"8","Pakistan","Carrots and turnips",0.0830718954248366,212228286,160000,"Import_kg",426,"Carrots and turnips",96,0,1.19,0.21,5.32,0,0,0,0,0,0,0.26,1.84,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Pakistan","Cauliflowers and broccoli",0.103835520801038,212228286,16000,"Import_kg",393,"Cauliflowers and broccoli",84,0,0.22,0,0.3,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Pakistan","Chick peas",0.04575,212228286,410083000,"Import_kg",191,"Chick peas",33,1487.76,82122.01,21260.69,246301.46,8.87,0,1.57,575.94,29.26,14.56,3416.85,32239.75,3.88,84.72,1310.99,1.67,0.74,7.44,2.26,619.38,418.13,47.55,2603.82,5758.81,11236.75,0,0,44.34,12.54,0
