"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Palestine","Anise, badian, fennel, coriander",0.00195,4862979,221000,"Import_kg",711,"Anise; badian; fennel; coriander",161,810.05,36853.5,33398.48,108911.64,24.35,0,0,1895.36,74.8,10.81,3457.35,55647.95,2.19,172.46,1072.26,0.76,0.7,7.17,1.17,1276.78,734.12,6.36,1962.77,25372.51,6125.11,0,0,23.22,15.69,0
"2","Palestine","Apples",0.121111111111111,4862979,23100000,"Import_kg",515,"Apples",119,220.17,1217.5,1155.4,51321.5,56.94,0,0,30.4,2.75,0.25,403.42,5556.4,0.11,22.85,42.58,0.18,0.11,0.73,0.16,636.17,18.3,0.14,152.96,33.34,256.9,0,0,331.44,1.01,39.22
"3","Palestine","Apricots",0.03995,4862979,109000,"Import_kg",526,"Apricots",125,2.77,56.11,14.35,638.71,0.37,0,0,0.95,0,0,16.36,76.68,0,0,1.34,0,0,0,0,0.16,0.56,0,1.6,9.54,4.4,0,0,4.8,0,0.48
"4","Palestine","Artichokes",0.1,4862979,235000,"Import_kg",366,"Artichokes",79,2.68,126.46,8.46,560.68,0.4,0,0,4.03,0,0,16.54,119.2,0,5.13,4.74,0,0,0,0,1.66,2.9,0,2.08,0.36,3,0,0,4.17,0,2.9
"5","Palestine","Avocados",0.048,4862979,18000,"Import_kg",572,"Avocados",141,1.12,12.4,108.63,33.47,0,0,0,0.16,0,0,3.93,33.8,0,0,1.31,0,0,0,0,0.11,0.23,0,18.44,61.25,12.83,0,0,0.59,0,0.29
"6","Palestine","Bananas",0.04075,4862979,23400000,"Import_kg",486,"Bananas",117,1189.53,14355.89,2745.42,275655.36,125.72,0.43,0.22,116.33,9.43,1.95,4012.45,18463.82,1.09,74.95,299.5,0.63,0.6,10.05,4.12,115.72,334.57,3.19,1310.72,307.01,667.17,0,0,860.15,9.79,419.19
"7","Palestine","Barley",0.04775,4862979,5.4e+07,"Import_kg",44,"Barley",3,8003.07,212656.15,32361.29,1733832.93,15.5,0,0.49,1296.47,180.89,58.79,5988.19,192629.65,14.87,497.66,6801.48,6.12,3.01,124.35,6.72,879.04,1806.15,33.06,8441.6,5162.63,19394.74,0,0,273.07,42.6,0
"8","Palestine","Beans, dry",0.1145,4862979,404000,"Import_kg",176,"Beans",30,23.91,1544.87,99.61,4208.32,0.13,0,0,10.15,0.53,0.21,84.84,899.89,0,1.13,28.06,0,0,0.15,0,8.01,12.54,0,22.43,9.96,34.5,0,0,0.85,0.28,0
"9","Palestine","Beans, green",0.0843965476190476,4862979,247000,"Import_kg",414,"Beans; green",92,2.87,274.42,32.76,450.32,1.38,0,0,3.79,0.13,0,17.52,134.85,0,1,6.42,0,0,0,0,0.49,1.81,0,2.93,1.1,5.66,0,0,5,0,0.75
"10","Palestine","Broad beans, horse beans, dry",0.052,4862979,2600000,"Import_kg",181,"Broad beans; horse beans; dry",32,343.92,24673.95,1633.09,56547.99,2.8,0,0.43,101.89,8.3,3.59,1226.82,19912.35,0.85,18.75,392.22,0.4,0.3,2.71,0.38,98.5,196.9,1.67,259.1,310,620.5,0,0,10.72,3.09,27.76
"11","Palestine","Cauliflowers and broccoli",0.103835520801038,4862979,114000,"Import_kg",393,"Cauliflowers and broccoli",84,0.65,69.93,7.3,91.86,1.83,0,0,0.99,0,0,6.69,42.9,0,0.68,2.45,0,0,0,0,1.43,0.41,0,1.41,0.42,0.73,0,0,1.96,0,1.08
"12","Palestine","Chick peas",0.04575,4862979,588000,"Import_kg",191,"Chick peas",33,93.1,5138.85,1330.4,15412.51,0.56,0,0,36.04,1.83,0.91,213.81,2017.43,0.24,5.3,82.04,0.1,0,0.47,0.14,38.76,26.16,2.98,162.94,360.36,703.15,0,0,2.77,0.78,0
"13","Palestine","Chillies and peppers, dry",4e-04,4862979,17000,"Import_kg",689,"Pimento",156,210.15,8956.11,7800.88,35864.55,65.92,0.59,0,181.31,6.38,2.31,1592.34,19419.17,0.58,396.55,162.48,0.24,0.38,4.82,1.51,45.01,134.15,1.9,2315.97,1487.17,5388.19,0,0,24.5,5.23,0
"14","Palestine","Coconuts",0.04,4862979,5700000,"Import_kg",249,"Coconuts - Incl Copra",58,930.37,9831.37,82471.27,36872,7.03,0,0,54.69,8.41,4.83,957.96,18916.73,1.5,62.07,308.4,0.18,0,1.98,0.12,35.46,84.93,10.99,87466.6,7801.93,2001.4,0,0,155.4,3,121.61
"15","Palestine","Coffee, green",0.00312,4862979,273000,"Import_kg",656,"Coffee",152,333.38,20340.19,26841.77,65134.97,1.8,0,0,185.41,6.22,0.95,4004.98,0,0.37,63.99,511.42,0.26,0.9,19.95,0,77.49,336.2,0.69,59.61,447.08,29.81,0,0,9.45,10.43,0
"16","Palestine","Dates",0.0393863636363636,4862979,1622000,"Import_kg",577,"Dates",121,168.35,1488.33,248.76,43155.09,5.72,0,0,35.14,1.4,0.26,511.07,4183.4,0.19,1.69,68.06,0,0.1,1.39,0.15,6.86,34.16,0.24,13.55,15.24,8.05,0,0,32.01,1.13,14.68
"17","Palestine","Figs",0.0504615384615385,4862979,45000,"Import_kg",569,"Figs",139,0.99,18.59,3.85,228.62,0.16,0,0,0.86,0,0,4.06,40.34,0,0,0.44,0,0,0,0,0,0.31,0,0.86,0.95,2.04,0,0,1.54,0,0.14
"18","Palestine","Fruit, fresh nes",0.107099201828105,4862979,2400000,"Import_kg",619,"Fresh fruit; nes",147,41.47,703.8,351,8881.1,17.97,0,0,24.72,1.68,0.12,128.37,1600.27,0,5.14,19.28,0,0,0.46,0,32.18,14.71,0,56.4,38.86,53.71,0,0,34.88,0.42,12.83
"19","Palestine","Fruit, tropical fresh nes",0.1073859375,4862979,31000,"Import_kg",603,"Fruit; tropical fresh; nes",146,0.56,8.78,7.1,123.26,0.64,0,0,0.19,0,0,1.49,17.26,0,0,0.21,0,0,0,0,0,0.17,0,4.42,9.78,2.24,0,0,0.45,0,0.23
"20","Palestine","Garlic",0.00732,4862979,1084000,"Import_kg",406,"Garlic",90,371.45,15472.89,762.24,77794.58,40.46,0,0,156.52,4.23,3.55,1344.46,4834.25,1.47,53.05,617.58,0.43,0.25,1.63,3.08,70.65,118.76,4.07,272.55,31.97,729.33,0,0,199.18,4.41,39.59
"21","Palestine","Ginger",0.02852,4862979,3000,"Import_kg",720,"Ginger",162,0.42,10.56,4.55,88.1,0,0,0,0.15,0,0,1.95,12.77,0,0,0.19,0,0,0,0,0,0.32,0,5.62,1.04,2.01,0,0,0.1,0,0
"22","Palestine","Grapefruit (inc. pomelos)",0.15,4862979,351000,"Import_kg",507,"Grapefruit",115,1.74,33.89,7.31,386.43,1.89,0,0,0.89,0,0,9.15,48.65,0,0.35,1,0,0,0,0,0.37,0.37,0,0.58,0.55,1.06,0,0,4.31,0,2.15
"23","Palestine","Grapes",0.1235,4862979,86000,"Import_kg",560,"Grapes",122,0.88,7.69,3.39,209.15,0,0,0,0.21,0,0,2.59,30.28,0,0,0.29,0,0,0,0,0,0.39,0,1.71,0.2,1.34,0,0,1.19,0,0.2
"24","Palestine","Hazelnuts, with shell",0.03,4862979,5000,"Import_kg",225,"Hazelnuts; with shell",49,2.03,53.49,188.76,71.63,0,0,0,0.65,0,0,2.29,26.22,0,0,1.09,0,0,0,0,0.16,0.56,0,12.79,91.94,73.55,0,0,0,0,0.2
"25","Palestine","Lemons and limes",0.0785,4862979,1300000,"Import_kg",497,"Lemons; Limes",114,12.85,258.15,142.19,2830.39,14.02,0,0,12.88,0.2,0,71.44,452.92,0,1.55,6.68,0,0,0.15,0,1.74,3.41,0,11.46,4.54,23.16,0,0,30.35,0.12,11.92
"26","Palestine","Lentils",0.0454634146341463,4862979,57000,"Import_kg",201,"Lentils",36,8.46,595.68,26.96,1446.83,0,0,0,1.78,0.24,0,21.5,297.13,0,0.3,8.41,0,0,0,0,5.1,1.98,0,3.66,4.55,11.29,0,0,0.3,0,0
"27","Palestine","Maize",0.0869363057324841,4862979,8.5e+07,"Import_kg",56,"Maize",4,7104.29,173769.67,68818.18,1451056.22,13.79,0.44,0.47,419.51,65.42,36.08,5923.2,104124.26,3.63,187.9,4400.87,5.36,2.38,51.86,7.12,0,2204.93,4.88,11897.44,25890.89,48569.91,0,0,250.54,25.24,0
"28","Palestine","Mangoes, mangosteens, guavas",0.09628125,4862979,2600000,"Import_kg",571,"Mangos; mangosteens; guavas",140,34.08,417.17,137.24,7661.02,48.04,0,0,9.82,0.29,0,99.8,1480.81,0,5.88,10.63,0,0,0.64,0,4.22,25.27,0,84.85,41.87,93.51,0,0,46.09,0.33,14.72
"29","Palestine","Melons, other (inc.cantaloupes)",0.179843076923077,4862979,6000,"Import_kg",568,"Other melons (inc. cantaloupes)",111,0,0.37,0.1,4.41,0,0,0,0,0,0,0.18,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Palestine","Nutmeg, mace and cardamoms",0.021,4862979,10000,"Import_kg",702,"Nutmeg; mace; and cardamoms",160,3.93,86.31,195.22,494.82,0,0,0,1.71,0.16,0,6.31,171.04,0,0.37,1.43,0,0,0,0,7.63,1.99,0,117.93,49.81,16.88,0,0,0.12,0,0
"31","Palestine","Nuts nes",0.0310679900238414,4862979,4300000,"Import_kg",234,"Nuts; nes",51,1577.12,41240.66,124217.79,90019.21,5.08,0,0,347.54,12.83,9.7,1339.1,10682.43,2.49,103.29,1438.24,1.09,0.42,5.07,0.49,137.04,572.07,14.05,34280.92,92909.25,58682.4,0,0,19.29,7.01,156.54
"32","Palestine","Oilseeds nes",0.0178426203877423,4862979,8600000,"Import_kg",339,"Oilcrops; Other",62,5168.82,189510.17,385415.59,269748.51,22.9,0,0.72,3358.68,170.3,42.95,7136.25,122406.47,11.97,327.57,5471.4,4.88,3.01,31.31,5.28,433.63,3298.04,28.98,43563.32,99731.54,261689.67,0,0,57,43.09,229.95
"33","Palestine","Onions, dry",0.093304347826087,4862979,2003000,"Import_kg",403,"Onions",77,17.43,508.06,62.04,3688.15,3.93,0,0,18.3,0.31,0.17,57.03,626.85,0,4.43,23.02,0,0,0.11,0,2.69,5.27,0,15.01,10.74,24.57,0,0,39.83,0.23,3.53
"34","Palestine","Oranges",0.138371428571429,4862979,56000,"Import_kg",490,"Oranges; Mandarines",113,0.37,6.6,1.91,83.21,0.38,0,0,0.26,0,0,1.4,11.2,0,0,0.18,0,0,0,0,0,0,0,0.17,0.26,0.27,0,0,0.72,0,0.22
"35","Palestine","Peaches and nectarines",0.105333333333333,4862979,1007000,"Import_kg",534,"Peaches and nectarines",128,9.45,163.46,34.01,2203.53,2.88,0,0,2.03,0.13,0,41.09,231.98,0,0.26,4.86,0,0,0.14,0,1.21,1.77,0,3.3,10.81,12.54,0,0,16.63,0.11,1.67
