"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Papua New Guinea","Bananas",0.04075,8606323,254000,"Import_kg",486,"Bananas",117,7.3,88.05,16.84,1690.71,0.77,0,0,0.71,0,0,24.61,113.25,0,0.46,1.84,0,0,0,0,0.71,2.05,0,8.04,1.88,4.09,0,0,5.28,0,2.57
"2","Papua New Guinea","Beans, green",0.0843965476190476,8606323,18000,"Import_kg",414,"Beans; green",92,0.12,11.3,1.35,18.54,0,0,0,0.16,0,0,0.72,5.55,0,0,0.26,0,0,0,0,0,0,0,0.12,0,0.23,0,0,0.21,0,0
"3","Papua New Guinea","Chillies and peppers, dry",4e-04,8606323,1000,"Import_kg",689,"Pimento",156,6.99,297.68,259.29,1192.07,2.19,0,0,6.03,0.21,0,52.93,645.46,0,13.18,5.4,0,0,0.16,0,1.5,4.46,0,76.98,49.43,179.09,0,0,0.81,0.17,0
"4","Papua New Guinea","Cocoa, beans",0.0115,8606323,1000,"Import_kg",661,"Cocoa Beans",153,0.23,16.3,41.78,58.5,0,0,0,0.11,0,0,1.01,37.38,0,0,0.59,0,0,0,0,0,0.5,0,23.26,16.06,0.87,0,0,0,0,0
"5","Papua New Guinea","Coconuts",0.04,8606323,28000,"Import_kg",249,"Coconuts - Incl Copra",58,2.58,27.29,228.91,102.34,0,0,0,0.15,0,0,2.66,52.51,0,0.17,0.86,0,0,0,0,0,0.24,0,242.78,21.66,5.56,0,0,0.43,0,0.34
"6","Papua New Guinea","Coffee, green",0.00312,8606323,178000,"Import_kg",656,"Coffee",152,122.82,7493.72,9889.02,23996.97,0.66,0,0,68.31,2.29,0.35,1475.51,0,0.14,23.58,188.42,0,0.33,7.35,0,28.55,123.86,0.25,21.96,164.71,10.98,0,0,3.48,3.84,0
"7","Papua New Guinea","Fruit, fresh nes",0.107099201828105,8606323,2000,"Import_kg",619,"Fresh fruit; nes",147,0,0.33,0.17,4.18,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Papua New Guinea","Maize",0.0869363057324841,8606323,245000,"Import_kg",56,"Maize",4,11.57,283.01,112.08,2363.29,0,0,0,0.68,0.11,0,9.65,169.58,0,0.31,7.17,0,0,0,0,0,3.59,0,19.38,42.17,79.1,0,0,0.41,0,0
"9","Papua New Guinea","Nuts nes",0.0310679900238414,8606323,1000,"Import_kg",234,"Nuts; nes",51,0.21,5.42,16.32,11.83,0,0,0,0,0,0,0.18,1.4,0,0,0.19,0,0,0,0,0,0,0,4.5,12.21,7.71,0,0,0,0,0
"10","Papua New Guinea","Pineapples",0.1096,8606323,2000,"Import_kg",574,"Pineapples",120,0,0,0,2.34,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Papua New Guinea","Potatoes",0.133867924528302,8606323,125000,"Import_kg",116,"Potatoes",18,0.87,22.32,1.47,194.4,0.17,0,0,0,0,0,4.06,14.62,0,0.11,0.53,0,0,0,0,0.38,0.27,0,0.32,0,0.44,0,0,0.83,0,0.24
"12","Papua New Guinea","Pumpkins, squash and gourds",0.100019949494949,8606323,23000,"Import_kg",394,"Pumpkins; squash; and gourds",85,0,2.72,0.47,10.7,0,0,0,0,0,0,0.48,4.21,0,0,0.17,0,0,0,0,0.11,0,0,0.15,0,0,0,0,0.25,0,0
"13","Papua New Guinea","Rice, paddy",0.0488821264103023,8606323,15000,"Import_kg",27,"Rice (Milled Equivalent)",2,1.26,26.51,3.8,277.09,0,0,0,0.12,0,0,0.45,5.96,0,0,0.56,0,0,0,0,0,0.21,0,0.45,0.64,0.6,0,0,0,0,0
"14","Papua New Guinea","Rice, paddy (rice milled equivalent)",0.0488821264103023,8606323,188040000,"Import_kg",30,"Rice (Milled Equivalent)",2,15828.03,332291.49,47690.99,3473563.02,1.55,0,0.85,1544.06,98.28,55.45,5599.89,74653.94,6.69,418.55,6982.55,7.94,2.43,149.46,9.95,0,2607.35,44.86,5609.53,8067.89,7509.17,0,0,525.08,38.37,0
"15","Papua New Guinea","Sorghum",0.0326666666666667,8606323,2e+07,"Import_kg",83,"Sorghum",8,2482.75,83510.37,24725.87,507395.1,0,0,0.18,217.04,43.33,13.22,2213.9,23962.6,1.58,66.75,2552.08,2.29,0.81,23.45,1.71,0,1804.92,9.27,4339.48,8045.82,11083.45,0,0,71.67,14.97,0
"16","Papua New Guinea","Spices nes",0.00767204314204314,8606323,90000,"Import_kg",723,"Spices; nes",163,32.14,1352.39,954.74,5276.06,5.59,0,0,100.58,3.41,0.43,151.56,2287.28,0,7.99,26.77,0,0,0.66,0.12,19.86,35.23,0.8,232.67,419.76,263.81,0,0,5.04,0.76,1.37
"17","Papua New Guinea","Tea",0.0019,8606323,64000,"Import_kg",667,"Tea",154,2.44,1467.71,176.13,731.65,8.81,0,0,65.56,3.64,0,90.24,0,0,7.32,38.6,0,0,0.39,0,0.98,7.32,0.53,4.88,2.44,9.76,0,0,6.26,1.73,0
"18","Papua New Guinea","Tomatoes",0.0714285714285714,8606323,13000,"Import_kg",388,"Tomatoes",76,0,2.02,0.53,7.69,0,0,0,0,0,0,0.41,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0.2,0,0
"19","Papua New Guinea","Vanilla",0.003,8606323,1000,"Import_kg",692,"Vanilla",158,1.12,0.23,0.23,48.99,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0
"20","Papua New Guinea","Vegetables, fresh nes",0.075156077445368,8606323,243000,"Import_kg",463,"Vegetables; fresh; nes",101,1.78,119.89,25.08,300.4,1.78,0,0,7.44,0.15,0,14.64,177.63,0,1.78,2.97,0,0,0,0,0.82,1.93,0,2.57,2.46,4.9,0,0,3.18,0,0.94
