"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Papua New Guinea","Bananas",0.04075,8606323,1408295000,"Production_kg",486,"Bananas",117,40451.96,488194.25,93362.26,9374086.85,4275.16,14.75,7.5,3956.09,320.78,66.26,136449.44,627890.84,37.04,2548.64,10184.97,21.47,20.31,341.91,140.14,3935.27,11377.48,108.42,44572.95,10440.51,22688.03,0,0,29250.76,332.85,14255.31
"2","Papua New Guinea","Beans, green",0.0843965476190476,8606323,139000,"Production_kg",414,"Beans; green",92,0.91,87.26,10.42,143.19,0.44,0,0,1.2,0,0,5.57,42.88,0,0.32,2.04,0,0,0,0,0.16,0.57,0,0.93,0.35,1.8,0,0,1.59,0,0.24
"3","Papua New Guinea","Berries nes",0.109406559397488,8606323,107642000,"Production_kg",558,"Berries; nes",138,647.05,10639.89,5152.55,146637.77,529.39,0.87,0.22,418.9,17.56,4.83,1890.08,32924.05,1.3,69.05,257.22,0.3,0.64,5.57,0.55,111.65,185.77,10.82,205.78,480.14,2495.03,0,0,981.47,5.78,9.15
"4","Papua New Guinea","Cassava",0.108277777777778,8606323,155145000,"Production_kg",125,"Cassava",17,2315.62,30422.76,7902.59,516838.24,536.09,0.17,0.42,649.07,20.27,5.66,6259.92,24640.1,1.66,153.17,656.11,1.04,0.93,9.55,1.47,394.57,349.62,6.39,1448.44,1456.76,732.54,0,0,1046.01,23.4,349.62
"5","Papua New Guinea","Chillies and peppers, dry",4e-04,8606323,1000,"Production_kg",689,"Pimento",156,6.99,297.68,259.29,1192.07,2.19,0,0,6.03,0.21,0,52.93,645.46,0,13.18,5.4,0,0,0.16,0,1.5,4.46,0,76.98,49.43,179.09,0,0,0.81,0.17,0
"6","Papua New Guinea","Cocoa, beans",0.0115,8606323,45668000,"Production_kg",661,"Cocoa Beans",153,10520.38,744547.48,1908064.4,2671622.39,0,0.15,1.48,4949.19,234.12,314.23,46303.51,1707254.38,174.79,380.67,27061.6,7.82,9.12,85.19,5.44,553.7,23024.86,177.05,1062073.72,733311.9,39682.13,0,0,179.03,183.55,0
"7","Papua New Guinea","Coconuts",0.04,8606323,1192816000,"Production_kg",249,"Coconuts - Incl Copra",58,110011.87,1162512.4,9751828.48,4359935.05,831.22,0.2,6.75,6466.75,994.28,571.61,113274.69,2236811.81,177.35,7339.07,36466.58,21.75,10.98,234.36,14.32,4192.58,10042.57,1299.35,10342501.9,922540.5,236655.46,0,0,18375.69,354.37,14379.5
"8","Papua New Guinea","Coffee, green",0.00312,8606323,55634000,"Production_kg",656,"Coffee",152,38388.62,2342165.01,3090818.9,7500265.23,207.19,0.83,3.59,21349.51,715.89,109.95,461171.52,0,42.8,7368.7,58889.86,29.83,103.52,2297.31,4.82,8923.45,38712.87,78.94,6864.19,51481.45,3432.1,0,0,1088.26,1201.07,0
"9","Papua New Guinea","Fruit, fresh nes",0.107099201828105,8606323,1136054000,"Production_kg",619,"Fresh fruit; nes",147,11093.1,188243.4,93881.65,2375412.95,4807.22,6.1,1.85,6611.55,449.57,30.91,34334.71,428021.69,13.9,1375.92,5156.75,7.69,7.05,123.28,11.01,8606.09,3933.38,25.82,15086.08,10394.28,14365.74,0,0,9329.66,112.38,3430.52
"10","Papua New Guinea","Fruit, tropical fresh nes",0.1073859375,8606323,3170000,"Production_kg",603,"Fruit; tropical fresh; nes",146,32.12,507.53,410.11,7122.29,36.84,0,0,11.1,0.6,0.13,86.14,997.08,0,3.36,12.33,0,0.1,0.36,0,2.72,9.65,0,255.55,565.2,129.23,0,0,26.15,0.26,13.53
"11","Papua New Guinea","Groundnuts, with shell",0.028,8606323,1551000,"Production_kg",242,"Groundnuts (Shelled Eq)",54,353.13,15166.14,28259.17,10959.14,0.91,0,0,38.55,2.27,1.79,448.25,5348.08,0.7,6.6,251.43,0.49,0.11,9.22,0.35,88.98,120.7,0.94,4041.35,15721.3,10013.59,0,0,5.43,1.76,0
"12","Papua New Guinea","Maize",0.0869363057324841,8606323,13862000,"Production_kg",56,"Maize",4,654.65,16012.74,6341.54,133713.72,1.27,0,0,38.66,6.03,3.32,545.82,9594.97,0.33,17.31,405.54,0.49,0.22,4.78,0.66,0,203.18,0.45,1096.34,2385.83,4475.68,0,0,23.09,2.33,0
"13","Papua New Guinea","Maize, green",0.101,8606323,243203000,"Production_kg",446,"Maize; green",98,3322.49,107613.66,35148.43,705766.58,232.22,0.39,1.18,344.54,33.99,15.81,7078.65,44766.17,1.51,821.65,4452.63,3.69,2.05,39.93,2.6,643.51,1077.19,4.56,6854.82,11303.46,16013.23,0,0,1907.63,22.48,1315.01
"14","Papua New Guinea","Nutmeg, mace and cardamoms",0.021,8606323,1e+05,"Production_kg",702,"Nutmeg; mace; and cardamoms",160,22.22,487.67,1103.08,2795.98,0.41,0,0,9.68,0.88,0.15,35.63,966.44,0,2.1,8.06,0,0,0,0,43.12,11.25,0.39,666.36,281.45,95.35,0,0,0.7,0.18,0
"15","Papua New Guinea","Nuts nes",0.0310679900238414,8606323,5624000,"Production_kg",234,"Nuts; nes",51,1165.54,30478.05,91800.58,66526.82,3.75,0,0,256.84,9.48,7.17,989.63,7894.63,1.84,76.33,1062.9,0.81,0.31,3.75,0.36,101.28,422.78,10.38,25334.6,68662.65,43368.01,0,0,14.25,5.18,115.69
"16","Papua New Guinea","Oil palm fruit",0.012,8606323,2681878000,"Production_kg",254,"Palmkernel Oil",68,2287789.37,0,259680973.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519.36,0,0,211639993.25,29603630.96,4154895.57,0,0,0,0,0
"17","Papua New Guinea","Pineapples",0.1096,8606323,23368000,"Production_kg",574,"Pineapples",120,117.11,1138.89,526.35,27380.05,55.12,0,0,88.83,1.49,0.23,397.47,2062.84,0.28,11.49,23.75,0.17,0.1,0.77,0.25,404.43,29.32,2.3,48.31,65.65,148.64,0,0,215.82,0.8,101.57
"18","Papua New Guinea","Potatoes",0.133867924528302,8606323,1319000,"Production_kg",116,"Potatoes",18,9.18,235.53,15.56,2051.31,1.83,0,0,1.05,0.12,0,42.82,154.31,0,1.2,5.54,0,0,0.16,0,4.01,2.82,0,3.37,0.16,4.69,0,0,8.74,0.12,2.55
"19","Papua New Guinea","Pulses nes",0.0587825743767065,8606323,3788000,"Production_kg",211,"Pulses; nes",40,280.81,16932.19,5732.65,40857.42,1.55,0,0.26,143.5,7.85,3.54,770.48,6813.14,1.22,20.37,258.01,0.38,0.16,1.56,0.2,263.56,193.03,1.41,649.93,1193.34,1216.55,0,0,8.58,2.51,10.48
"20","Papua New Guinea","Pumpkins, squash and gourds",0.100019949494949,8606323,154000,"Production_kg",394,"Pumpkins; squash; and gourds",85,0.38,18.19,3.18,71.67,0.31,0,0,0.5,0,0,3.25,28.2,0,0.13,1.13,0,0,0,0,0.72,0.4,0,0.98,0.24,0.48,0,0,1.67,0,0.39
"21","Papua New Guinea","Rice, paddy",0.0488821264103023,8606323,853000,"Production_kg",27,"Rice (Milled Equivalent)",2,71.8,1507.36,216.34,15757.02,0,0,0,7,0.45,0.25,25.4,338.65,0,1.9,31.67,0,0,0.68,0,0,11.83,0.2,25.45,36.6,34.06,0,0,2.38,0.17,0
"22","Papua New Guinea","Rice, paddy (rice milled equivalent)",0.0488821264103023,8606323,569000,"Production_kg",30,"Rice (Milled Equivalent)",2,47.89,1005.5,144.31,10510.83,0,0,0,4.67,0.3,0.17,16.94,225.9,0,1.27,21.13,0,0,0.45,0,0,7.89,0.14,16.97,24.41,22.72,0,0,1.59,0.12,0
"23","Papua New Guinea","Roots and tubers nes",0.125770747489689,8606323,356839000,"Production_kg",149,"Roots and tubers; nes",23,3371.29,63905.77,25263.46,715149.03,477.49,0.94,2.58,1100.08,94.13,10,16005.32,58645.96,4.19,495.49,2198.01,2.42,2.37,39.71,5.43,718.67,1417.57,5.91,675.82,140.11,1491.74,0,0,2380.11,34.21,719.77
"24","Papua New Guinea","Sorghum",0.0326666666666667,8606323,4949000,"Production_kg",83,"Sorghum",8,614.36,20664.64,6118.42,125554.92,0,0,0,53.71,10.72,3.27,547.83,5929.54,0.39,16.52,631.51,0.57,0.2,5.8,0.42,0,446.63,2.29,1073.8,1990.94,2742.6,0,0,17.74,3.71,0
"25","Papua New Guinea","Spices nes",0.00767204314204314,8606323,318000,"Production_kg",723,"Spices; nes",163,113.55,4778.44,3373.42,18642.07,19.74,0.1,0,355.37,12.06,1.53,535.51,8081.71,0.35,28.24,94.59,0.11,0.17,2.33,0.43,70.17,124.46,2.82,822.09,1483.17,932.12,0,0,17.82,2.69,4.86
"26","Papua New Guinea","Sugar cane",0.00989415983606557,8606323,175536000,"Production_kg",156,"Sugar Cane",25,58269.89,41228.7,6871.45,14861571.68,309.22,0,0,1443,125.06,4.12,3195.22,319522.42,1.65,412.29,481,2.06,2.99,10.31,0,0,206.14,5.15,0,0,0,0,0,5672.38,18.55,3779.3
"27","Papua New Guinea","Sweet potatoes",0.10804347826087,8606323,743735000,"Production_kg",122,"Sweet Potatoes",19,8778.86,104734.34,19273.87,2019608.66,1919.73,30.24,3.34,2723.27,114.97,20.03,20718.13,179323.67,7.41,1532.2,3251.4,6.97,3.64,59.71,18.98,983.8,1591.68,10.32,6345.38,1093.11,11037.76,0,0,5661.9,81.65,1819.63
"28","Papua New Guinea","Taro (cocoyam)",0.1,8606323,271981000,"Production_kg",136,"Taro (cocoyam)",22,2887.65,63244.91,4915.94,645901.51,153.67,0.21,1.03,1257.47,34.17,8.99,16220.99,80586.28,3.92,514.98,2902.16,2.07,1.01,19.07,8.26,546.72,874.53,6.05,1295.7,505.64,2623,0,0,2356.81,38.5,474.04
"29","Papua New Guinea","Tea",0.0019,8606323,5820000,"Production_kg",667,"Tea",154,221.78,133469.8,16016.38,66534.7,800.82,0,1.11,5961.65,331.44,4.44,8205.95,0,2.22,665.35,3509.92,1.96,7.78,35.59,0,88.71,665.35,48.57,443.56,221.78,887.13,0,0,569.47,157.48,0
"30","Papua New Guinea","Tomatoes",0.0714285714285714,8606323,558000,"Production_kg",388,"Tomatoes",76,1.81,86.51,22.87,330.29,2.09,0,0,1.36,0,0,17.8,104.01,0,1.01,3.66,0,0,0,0,0.61,1.18,0,2.63,2.77,7.4,0,0,8.53,0,0.59
"31","Papua New Guinea","Vanilla",0.003,8606323,495000,"Production_kg",692,"Vanilla",158,552.15,115.03,115.03,24252.52,0,0,0,21.09,0.23,0.21,283.74,0,0.14,17.25,11.5,0,0.18,0.81,0,0,23.01,0.44,19.17,19.17,7.67,0,0,100.81,0.5,0
"32","Papua New Guinea","Vegetables, fresh nes",0.075156077445368,8606323,321966000,"Production_kg",463,"Vegetables; fresh; nes",101,2355.16,158847.31,33231.55,398017.21,2360.85,15.51,3.67,9855.59,204.12,27.88,19403.59,235355.98,8.01,2363.99,3934.29,4.56,9.9,51.18,10.87,1087.71,2559.5,32.1,3410.23,3259.88,6497.42,0,0,4219.89,81.25,1246.03
"33","Papua New Guinea","Yams",0.11,8606323,378116000,"Production_kg",137,"Yams",20,4290.88,79927.7,7355.64,974934.08,479.95,0,0.95,1295.3,44.23,12.95,27199.56,88574.18,4.35,358.99,1806.1,4.46,1.36,20.71,12.99,659.02,753.05,7.93,1138.31,319.52,2316.56,0,0,2852.85,41.73,639.05
