"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Portugal","Almonds, with shell",0.0296505238073522,10256193,1406000,"Import_kg",221,"Almonds; with shell",45,275.28,9806.35,23651.87,8348.42,4.81,0,0,112.22,1.44,1.67,364.02,3352.01,0.47,2.23,223.17,0,0.35,1.81,0,24.09,148.64,0.97,1826.73,15615.96,5393.03,0,0,2.3,1.36,30.05
"2","Portugal","Anise, badian, fennel, coriander",0.00195,10256193,276000,"Import_kg",711,"Anise; badian; fennel; coriander",161,479.68,21822.86,19776.97,64492.22,14.42,0,0,1122.34,44.29,6.4,2047.27,32952.03,1.29,102.12,634.94,0.45,0.42,4.25,0.69,756.05,434.71,3.76,1162.26,15024.38,3626.99,0,0,13.75,9.29,0
"3","Portugal","Apples",0.121111111111111,10256193,52037000,"Import_kg",515,"Apples",119,235.17,1300.43,1234.1,54817.07,60.82,0,0,32.47,2.94,0.27,430.9,5934.85,0.12,24.4,45.48,0.19,0.12,0.78,0.17,679.51,19.55,0.15,163.38,35.61,274.4,0,0,354.01,1.08,41.89
"4","Portugal","Apricots",0.03995,10256193,3453000,"Import_kg",526,"Apricots",125,41.63,842.74,215.5,9593.75,5.63,0.11,0,14.33,0.67,0.19,245.8,1151.74,0,1.12,20.09,0,0,0.66,0,2.36,8.43,0,24.02,143.27,66.16,0,0,72.14,0.67,7.16
"5","Portugal","Artichokes",0.1,10256193,13000,"Import_kg",366,"Artichokes",79,0,3.32,0.22,14.71,0,0,0,0.11,0,0,0.43,3.13,0,0.13,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0
"6","Portugal","Asparagus",0.0845294117647059,10256193,647000,"Import_kg",367,"Asparagus",80,1.51,160.99,15.14,227.25,1.62,0,0,1.57,0,0,16.18,181.6,0,0.34,6.26,0,0,0,0,1.19,1.04,0,3.36,0.37,5.22,0,0,6.93,0,3.51
"7","Portugal","Avocados",0.048,10256193,9036000,"Import_kg",572,"Avocados",141,267.39,2952.26,25857.38,7965.97,23.48,0,0.11,37.75,1.76,0.89,936.16,8045.5,0.39,12.11,311.57,0.12,0.26,2.54,0.56,26.06,55.52,0.26,4389.54,14577.81,3054.23,0,0,141.14,2.15,69.75
"8","Portugal","Bambara beans",0.028,10256193,19000,"Import_kg",203,"Bambara beans",37,2.26,117.36,37.25,358.16,0,0,0,0.33,0,0,8.3,31.76,0,0.19,1.71,0,0,0,0,0,1.26,0,0,0,0,0,0,0.11,0,0.17
"9","Portugal","Bananas",0.04075,10256193,202590000,"Import_kg",486,"Bananas",117,4883.1,58931.63,11270.08,1131578.78,516.07,1.78,0.9,477.55,38.72,8,16471.29,75794.9,4.47,307.66,1229.46,2.59,2.45,41.27,16.92,475.04,1373.42,13.09,5380.56,1260.31,2738.75,0,0,3530.96,40.18,1720.81
"10","Portugal","Barley",0.04775,10256193,347560000,"Import_kg",44,"Barley",3,24423.56,648978.32,98759.32,5291264.66,47.31,0,1.49,3956.54,552.03,179.41,18274.58,587861.97,45.37,1518.74,20756.57,18.66,9.18,379.49,20.51,2682.64,5511.95,100.89,25761.84,15755.17,59188.36,0,0,833.34,130.02,0
"11","Portugal","Beans, dry",0.1145,10256193,35351000,"Import_kg",176,"Beans",30,991.95,64095.79,4132.92,174600.24,5.46,0,1.23,421.19,21.95,8.79,3519.89,37335.88,2.63,47.02,1164.25,1.36,0.66,6.02,1.17,332.34,520.46,3.92,930.52,413.19,1431.57,0,0,35.29,11.5,0
"12","Portugal","Beans, green",0.0843965476190476,10256193,5322000,"Import_kg",414,"Beans; green",92,29.33,2803.53,334.74,4600.65,14.09,0,0,38.71,1.34,0.28,178.96,1377.67,0,10.2,65.55,0,0.61,0.54,0,4.98,18.45,0,29.92,11.27,57.8,0,0,51.1,0.7,7.62
"13","Portugal","Blueberries",0.134028846153846,10256193,1349000,"Import_kg",552,"Blueberries",136,5.59,72.62,32.38,1421.99,0.95,0,0,0.59,0,0,7.56,235.53,0,0,1.18,0,0,0,0,0.59,0.59,0,2.75,4.61,14.33,0,0,8.26,0,0.49
"14","Portugal","Broad beans, horse beans, dry",0.052,10256193,1830000,"Import_kg",181,"Broad beans; horse beans; dry",32,114.78,8234.41,545.01,18871.7,0.93,0,0.15,34,2.77,1.2,409.43,6645.33,0.28,6.26,130.89,0.13,0,0.9,0.13,32.87,65.71,0.56,86.47,103.45,207.08,0,0,3.58,1.03,9.26
"15","Portugal","Buckwheat",0.0421111111111111,10256193,109000,"Import_kg",89,"Buckwheat",9,8.32,268.46,68.14,1738.85,0,0,0,1.06,0.18,0,10.37,234.71,0,0.15,8.86,0,0,0.14,0,0,5.78,0,18.7,26.25,26.22,0,0,0.34,0,0
"16","Portugal","Cabbages and other brassicas",0.08324,10256193,2357000,"Import_kg",358,"Cabbages and other brassicas",78,7.42,627.03,84.15,1209.97,16.93,0,0,33.88,0.48,0,78.84,609.29,0,10.85,19.46,0,0,0.21,0,6.81,6.74,0,9.47,4.95,24.25,0,0,25.08,0.31,7.62
"17","Portugal","Carrots and turnips",0.0830718954248366,10256193,25636000,"Import_kg",426,"Carrots and turnips",96,90.97,3940.01,704.54,17652.92,82.37,1.83,0,199.59,4.67,0.78,875.69,6110.25,0.18,142.03,358.45,0.15,0.28,2.33,0.55,314.73,36.61,0.43,97.29,44.13,227.67,0,0,268.54,3.78,69.21
"18","Portugal","Cashew nuts, with shell",0.0289438420348059,10256193,12000,"Import_kg",217,"Cashew nuts; with shell",43,2.2,74.28,170.13,97.75,0,0,0,0.16,0,0,2.63,10.75,0,0.37,1.9,0,0,0,0,0,1.22,0,31.46,96.2,31.71,0,0,0,0,0.11
"19","Portugal","Cauliflowers and broccoli",0.103835520801038,10256193,29796000,"Import_kg",393,"Cauliflowers and broccoli",84,80.2,8666.7,904.64,11384.49,226.26,1.52,0.17,122.65,3.04,1.18,828.97,5315.93,0.12,83.75,303.89,0.31,0.3,2.01,0.5,177.2,50.36,0.51,174.17,52.46,90.23,0,0,242.33,3.02,134.3
