"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Portugal","Almonds, with shell",0.0296505238073522,10256193,1406000,"Import_kg",221,"Almonds; with shell",45,275.28,9806.35,23651.87,8348.42,4.81,0,0,112.22,1.44,1.67,364.02,3352.01,0.47,2.23,223.17,0,0.35,1.81,0,24.09,148.64,0.97,1826.73,15615.96,5393.03,0,0,2.3,1.36,30.05
"2","Portugal","Apples",0.121111111111111,10256193,52037000,"Import_kg",515,"Apples",119,235.17,1300.43,1234.1,54817.07,60.82,0,0,32.47,2.94,0.27,430.9,5934.85,0.12,24.4,45.48,0.19,0.12,0.78,0.17,679.51,19.55,0.15,163.38,35.61,274.4,0,0,354.01,1.08,41.89
"3","Portugal","Apricots",0.03995,10256193,3453000,"Import_kg",526,"Apricots",125,41.63,842.74,215.5,9593.75,5.63,0.11,0,14.33,0.67,0.19,245.8,1151.74,0,1.12,20.09,0,0,0.66,0,2.36,8.43,0,24.02,143.27,66.16,0,0,72.14,0.67,7.16
"4","Portugal","Asparagus",0.0845294117647059,10256193,647000,"Import_kg",367,"Asparagus",80,1.51,160.99,15.14,227.25,1.62,0,0,1.57,0,0,16.18,181.6,0,0.34,6.26,0,0,0,0,1.19,1.04,0,3.36,0.37,5.22,0,0,6.93,0,3.51
"5","Portugal","Bananas",0.04075,10256193,202590000,"Import_kg",486,"Bananas",117,4883.1,58931.63,11270.08,1131578.78,516.07,1.78,0.9,477.55,38.72,8,16471.29,75794.9,4.47,307.66,1229.46,2.59,2.45,41.27,16.92,475.04,1373.42,13.09,5380.56,1260.31,2738.75,0,0,3530.96,40.18,1720.81
"6","Portugal","Barley",0.04775,10256193,347560000,"Import_kg",44,"Barley",3,24423.56,648978.32,98759.32,5291264.66,47.31,0,1.49,3956.54,552.03,179.41,18274.58,587861.97,45.37,1518.74,20756.57,18.66,9.18,379.49,20.51,2682.64,5511.95,100.89,25761.84,15755.17,59188.36,0,0,833.34,130.02,0
"7","Portugal","Beans, green",0.0843965476190476,10256193,5322000,"Import_kg",414,"Beans; green",92,29.33,2803.53,334.74,4600.65,14.09,0,0,38.71,1.34,0.28,178.96,1377.67,0,10.2,65.55,0,0.61,0.54,0,4.98,18.45,0,29.92,11.27,57.8,0,0,51.1,0.7,7.62
"8","Portugal","Blueberries",0.134028846153846,10256193,1349000,"Import_kg",552,"Blueberries",136,5.59,72.62,32.38,1421.99,0.95,0,0,0.59,0,0,7.56,235.53,0,0,1.18,0,0,0,0,0.59,0.59,0,2.75,4.61,14.33,0,0,8.26,0,0.49
"9","Portugal","Broad beans, horse beans, dry",0.052,10256193,1830000,"Import_kg",181,"Broad beans; horse beans; dry",32,114.78,8234.41,545.01,18871.7,0.93,0,0.15,34,2.77,1.2,409.43,6645.33,0.28,6.26,130.89,0.13,0,0.9,0.13,32.87,65.71,0.56,86.47,103.45,207.08,0,0,3.58,1.03,9.26
"10","Portugal","Cabbages and other brassicas",0.08324,10256193,2357000,"Import_kg",358,"Cabbages and other brassicas",78,7.42,627.03,84.15,1209.97,16.93,0,0,33.88,0.48,0,78.84,609.29,0,10.85,19.46,0,0,0.21,0,6.81,6.74,0,9.47,4.95,24.25,0,0,25.08,0.31,7.62
