"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Puerto Rico","Avocados",0.048,3039596,467000,"Production_kg",572,"Avocados",141,46.63,514.83,4509.16,1389.15,4.09,0,0,6.58,0.31,0.15,163.25,1403.02,0,2.11,54.33,0,0,0.44,0,4.55,9.68,0,765.47,2542.16,532.61,0,0,24.61,0.38,12.16
"2","Puerto Rico","Bananas",0.04075,3039596,75313000,"Production_kg",486,"Bananas",117,6125.16,73921.5,14136.75,1419407.38,647.34,2.23,1.13,599.02,48.57,10.03,20660.93,95074.1,5.61,385.91,1542.19,3.25,3.07,51.77,21.22,595.87,1722.76,16.42,6749.16,1580.88,3435.38,0,0,4429.1,50.4,2158.51
"3","Puerto Rico","Beans, dry",0.1145,3039596,12000,"Production_kg",176,"Beans",30,1.14,73.41,4.73,199.98,0,0,0,0.48,0,0,4.03,42.76,0,0,1.33,0,0,0,0,0.38,0.6,0,1.07,0.47,1.64,0,0,0,0,0
"4","Puerto Rico","Beans, green",0.0843965476190476,3039596,156000,"Production_kg",414,"Beans; green",92,2.9,277.28,33.11,455.03,1.39,0,0,3.83,0.13,0,17.7,136.26,0,1.01,6.48,0,0,0,0,0.49,1.82,0,2.96,1.11,5.72,0,0,5.05,0,0.75
"5","Puerto Rico","Cabbages and other brassicas",0.08324,3039596,289000,"Production_kg",358,"Cabbages and other brassicas",78,3.07,259.42,34.81,500.59,7,0,0,14.02,0.2,0,32.62,252.08,0,4.49,8.05,0,0,0,0,2.82,2.79,0,3.92,2.05,10.03,0,0,10.38,0.13,3.15
"6","Puerto Rico","Cassava",0.108277777777778,3039596,170000,"Production_kg",125,"Cassava",17,7.18,94.39,24.52,1603.49,1.66,0,0,2.01,0,0,19.42,76.45,0,0.48,2.04,0,0,0,0,1.22,1.08,0,4.49,4.52,2.27,0,0,3.25,0,1.08
"7","Puerto Rico","Chicory roots",0.0013,3039596,82000,"Production_kg",459,"Chicory roots",100,149.41,2905.24,415.03,36336.31,10.38,0,0,85.08,1.66,0.68,601.8,3112.76,0.16,103.76,126.59,0,0,0.83,0.5,0,45.65,0.48,99.61,8.3,180.54,0,0,166.01,1.85,37.35
"8","Puerto Rico","Chillies and peppers, green",0.0664142191142191,3039596,2652000,"Production_kg",401,"Chillies and peppers; green",88,51.49,2339.02,873.03,9074.87,151.5,0.16,0,36.31,2.14,0.41,370.37,4223.11,0.2,9.32,133.84,0.17,0.16,1.56,0.47,10.61,47.39,0.31,54.78,23.44,239.72,0,0,115.96,1.16,21.75
"9","Puerto Rico","Coconuts",0.04,3039596,602000,"Production_kg",249,"Coconuts - Incl Copra",58,157.2,1661.2,13935.12,6230.24,1.19,0,0,9.24,1.42,0.82,161.87,3196.35,0.25,10.49,52.11,0,0,0.33,0,5.99,14.35,1.86,14779.18,1318.29,338.17,0,0,26.26,0.51,20.55
"10","Puerto Rico","Coffee, green",0.00312,3039596,3078000,"Production_kg",656,"Coffee",152,6013.57,366899.9,484176.45,1174915.76,32.46,0.13,0.56,3344.4,112.14,17.22,72242.47,0,6.7,1154.31,9225.09,4.67,16.22,359.87,0.76,1397.86,6064.37,12.37,1075.28,8064.56,537.64,0,0,170.48,188.15,0
