"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Qatar","Alfalfa meal and pellets",0.0651708222811671,2781682,56032000,"Import_kg",862,"Mixed grain",12,10763.37,353318.5,76652.64,2277816.14,0,0,1.19,759.98,102.87,80.43,10652.46,326597.95,14.24,169.09,9768.85,12.39,4.9,132.8,9.34,1009.16,3663.55,79.4,13579.66,16457.77,32228.29,0,0,332.28,50.74,0
"2","Qatar","Almonds shelled",0.0296505238073522,2781682,2161000,"Import_kg",231,"Almonds; with shell",45,1559.98,55571.94,134033.58,47309.95,27.25,0,0.12,635.93,8.18,9.48,2062.88,18995.6,2.66,12.64,1264.71,0.56,2.01,10.23,0.36,136.51,842.36,5.47,10351.94,88494.59,30561.95,0,0,13.03,7.69,170.31
"3","Qatar","Almonds, with shell",0.0296505238073522,2781682,101000,"Import_kg",221,"Almonds; with shell",45,72.91,2597.3,6264.41,2211.15,1.27,0,0,29.72,0.38,0.44,96.41,887.81,0.12,0.59,59.11,0,0,0.48,0,6.38,39.37,0.26,483.83,4136.03,1428.39,0,0,0.61,0.36,7.96
"4","Qatar","Anise, badian, fennel, coriander",0.00195,2781682,2357000,"Import_kg",711,"Anise; badian; fennel; coriander",161,15103.46,687133.17,622714.44,2030656.69,454.08,1.03,0.51,35338.95,1394.56,201.51,64462.19,1037555.64,40.77,3215.51,19992.23,14.25,13.13,133.77,21.73,23805.6,13687.62,118.52,36595.92,473070.33,114202.58,0,0,432.86,292.52,0
"5","Qatar","Apples",0.121111111111111,2781682,26435000,"Import_kg",515,"Apples",119,440.48,2435.75,2311.51,102674.26,113.92,0,0,60.81,5.5,0.5,807.09,11116.18,0.23,45.71,85.19,0.36,0.22,1.47,0.32,1272.74,36.62,0.27,306.02,66.7,513.96,0,0,663.08,2.02,78.47
"6","Qatar","Apricots",0.03995,2781682,532000,"Import_kg",526,"Apricots",125,23.65,478.73,122.42,5449.82,3.2,0,0,8.14,0.38,0.11,139.63,654.26,0,0.63,11.41,0,0,0.37,0,1.34,4.79,0,13.64,81.38,37.58,0,0,40.98,0.38,4.07
"7","Qatar","Apricots, dry",0.03995,2781682,166000,"Import_kg",527,"Apricots",125,7.38,149.38,38.2,1700.51,1,0,0,2.54,0.12,0,43.57,204.15,0,0.2,3.56,0,0,0.12,0,0.42,1.49,0,4.26,25.39,11.73,0,0,12.79,0.12,1.27
"8","Qatar","Artichokes",0.1,2781682,15000,"Import_kg",366,"Artichokes",79,0.3,14.11,0.94,62.57,0,0,0,0.45,0,0,1.85,13.3,0,0.57,0.53,0,0,0,0,0.19,0.32,0,0.23,0,0.33,0,0,0.46,0,0.32
"9","Qatar","Asparagus",0.0845294117647059,2781682,194000,"Import_kg",367,"Asparagus",80,1.67,177.98,16.74,251.23,1.79,0,0,1.73,0,0,17.88,200.77,0,0.38,6.92,0,0,0,0,1.32,1.16,0,3.71,0.41,5.78,0,0,7.66,0,3.88
"10","Qatar","Avocados",0.048,2781682,2545000,"Import_kg",572,"Avocados",141,277.67,3065.81,26851.88,8272.35,24.38,0,0.11,39.2,1.83,0.92,972.16,8354.94,0.4,12.57,323.56,0.12,0.27,2.64,0.58,27.07,57.66,0.27,4558.37,15138.49,3171.7,0,0,146.56,2.24,72.43
