"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Romania","Alfalfa meal and pellets",0.0651708222811671,19506114,644000,"Import_kg",862,"Mixed grain",12,17.64,579.1,125.64,3733.41,0,0,0,1.25,0.17,0.13,17.46,535.3,0,0.28,16.01,0,0,0.22,0,1.65,6,0.13,22.26,26.97,52.82,0,0,0.54,0,0
"2","Romania","Almonds shelled",0.0296505238073522,19506114,1166000,"Import_kg",231,"Almonds; with shell",45,120.03,4275.98,10313.22,3640.27,2.1,0,0,48.93,0.63,0.73,158.73,1461.62,0.2,0.97,97.31,0,0.15,0.79,0,10.5,64.82,0.42,796.53,6809.22,2351.59,0,0,1,0.59,13.1
"3","Romania","Almonds, with shell",0.0296505238073522,19506114,232000,"Import_kg",221,"Almonds; with shell",45,23.88,850.8,2052.03,724.31,0.42,0,0,9.74,0.13,0.15,31.58,290.82,0,0.19,19.36,0,0,0.16,0,2.09,12.9,0,158.49,1354.84,467.9,0,0,0.2,0.12,2.61
"4","Romania","Anise, badian, fennel, coriander",0.00195,19506114,663000,"Import_kg",711,"Anise; badian; fennel; coriander",161,605.85,27563.32,24979.26,81456.77,18.21,0,0,1417.57,55.94,8.08,2585.8,41620,1.64,128.99,801.96,0.57,0.53,5.37,0.87,954.93,549.06,4.75,1467.99,18976.51,4581.07,0,0,17.36,11.73,0
"5","Romania","Apples",0.121111111111111,19506114,100528000,"Import_kg",515,"Apples",119,238.87,1320.92,1253.55,55680.87,61.78,0,0,32.98,2.98,0.27,437.69,6028.37,0.12,24.79,46.2,0.19,0.12,0.8,0.17,690.21,19.86,0.15,165.96,36.17,278.72,0,0,359.59,1.09,42.55
"6","Romania","Apricots",0.03995,19506114,9771000,"Import_kg",526,"Apricots",125,61.94,1253.87,320.63,14274.02,8.38,0.16,0,21.32,1,0.28,365.71,1713.62,0,1.66,29.88,0,0.14,0.98,0,3.51,12.54,0,35.74,213.16,98.43,0,0,107.34,0.99,10.66
"7","Romania","Apricots, dry",0.03995,19506114,530000,"Import_kg",527,"Apricots",125,3.36,68.01,17.39,774.25,0.45,0,0,1.16,0,0,19.84,92.95,0,0,1.62,0,0,0,0,0.19,0.68,0,1.94,11.56,5.34,0,0,5.82,0,0.58
"8","Romania","Artichokes",0.1,19506114,32000,"Import_kg",366,"Artichokes",79,0,4.29,0.29,19.03,0,0,0,0.14,0,0,0.56,4.05,0,0.17,0.16,0,0,0,0,0,0,0,0,0,0.1,0,0,0.14,0,0
"9","Romania","Asparagus",0.0845294117647059,19506114,323000,"Import_kg",367,"Asparagus",80,0.4,42.26,3.97,59.65,0.42,0,0,0.41,0,0,4.25,47.67,0,0,1.64,0,0,0,0,0.31,0.27,0,0.88,0,1.37,0,0,1.82,0,0.92
"10","Romania","Avocados",0.048,19506114,7833000,"Import_kg",572,"Avocados",141,121.87,1345.62,11785.6,3630.83,10.7,0,0,17.2,0.8,0.4,426.69,3667.08,0.18,5.52,142.01,0,0.12,1.16,0.26,11.88,25.31,0.12,2000.72,6644.46,1392.1,0,0,64.33,0.98,31.79
