"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Saint Lucia","Avocados",0.048,181889,10000,"Import_kg",572,"Avocados",141,16.69,184.23,1613.57,497.1,1.47,0,0,2.36,0.11,0,58.42,502.06,0,0.76,19.44,0,0,0.16,0,1.63,3.46,0,273.92,909.7,190.59,0,0,8.81,0.13,4.35
"2","Saint Lucia","Cabbages and other brassicas",0.08324,181889,440000,"Import_kg",358,"Cabbages and other brassicas",78,78.08,6600.29,885.75,12736.39,178.22,0.67,0.18,356.64,5.03,0.99,829.87,6413.52,0.45,114.23,204.89,0.18,0.3,2.25,0.52,71.65,70.96,0.74,99.7,52.09,255.29,0,0,264,3.21,80.21
"3","Saint Lucia","Carrots and turnips",0.0830718954248366,181889,713000,"Import_kg",426,"Carrots and turnips",96,142.67,6178.97,1104.91,27684.44,129.18,2.87,0.1,313.01,7.32,1.22,1373.32,9582.48,0.28,222.75,562.14,0.24,0.44,3.66,0.86,493.58,57.41,0.67,152.57,69.21,357.05,0,0,421.14,5.92,108.53
"4","Saint Lucia","Coconuts",0.04,181889,3000,"Import_kg",249,"Coconuts - Incl Copra",58,13.09,138.34,1160.5,518.85,0,0,0,0.77,0.12,0,13.48,266.19,0,0.87,4.34,0,0,0,0,0.5,1.2,0.15,1230.79,109.79,28.16,0,0,2.19,0,1.71
"5","Saint Lucia","Fruit, fresh nes",0.107099201828105,181889,3000,"Import_kg",619,"Fresh fruit; nes",147,1.39,23.52,11.73,296.81,0.6,0,0,0.83,0,0,4.29,53.48,0,0.17,0.64,0,0,0,0,1.08,0.49,0,1.88,1.3,1.79,0,0,1.17,0,0.43
"6","Saint Lucia","Ginger",0.02852,181889,32000,"Import_kg",720,"Ginger",162,120.08,3011.36,1296.97,25123.38,1.72,0,0,43.87,3.4,1.12,557.03,3641.53,0.34,15.17,54.13,0,0,2.42,0.29,25.42,90.49,20.54,1603.25,295.48,573.07,0,0,28.71,1.38,0
"7","Saint Lucia","Lettuce and chicory",0.0865961538461538,181889,256000,"Import_kg",372,"Lettuce and chicory",81,28.09,2329.88,403.37,4535.79,18.04,0.29,0.12,86.35,1.89,0.66,417.3,2879.11,0.12,41.19,109.66,0,0.13,0.67,0.14,52.42,22.18,0.38,59.32,12.05,136.39,0,0,152.08,1.7,27.63
"8","Saint Lucia","Mangoes, mangosteens, guavas",0.09628125,181889,1000,"Import_kg",571,"Mangos; mangosteens; guavas",140,0.35,4.29,1.41,78.78,0.49,0,0,0.1,0,0,1.03,15.23,0,0,0.11,0,0,0,0,0,0.26,0,0.87,0.43,0.96,0,0,0.47,0,0.15
"9","Saint Lucia","Nutmeg, mace and cardamoms",0.021,181889,4000,"Import_kg",702,"Nutmeg; mace; and cardamoms",160,42.05,922.99,2087.75,5291.82,0.79,0,0,18.31,1.67,0.29,67.44,1829.13,0.12,3.98,15.26,0,0,0.12,0,81.62,21.3,0.74,1261.19,532.68,180.47,0,0,1.33,0.35,0
"10","Saint Lucia","Pepper (piper spp.)",0.002,181889,17000,"Import_kg",687,"Pepper",155,1342.37,45581.68,19139.27,260886.1,36.92,0,0,1678.71,50.12,5.47,3263.05,91220.47,5.22,61.59,748,0.27,0.48,5.84,1.1,52.81,717.92,32.79,4715.24,3570.31,3771.26,0,0,90.54,15.64,0
"11","Saint Lucia","Pineapples",0.1096,181889,2e+05,"Import_kg",574,"Pineapples",120,47.43,461.21,213.15,11088.02,22.32,0,0,35.97,0.6,0,160.96,835.38,0.11,4.65,9.62,0,0,0.31,0,163.78,11.87,0.93,19.56,26.59,60.2,0,0,87.4,0.32,41.13
"12","Saint Lucia","Pumpkins, squash and gourds",0.100019949494949,181889,45000,"Import_kg",394,"Pumpkins; squash; and gourds",85,5.29,251.48,43.97,990.91,4.25,0,0,6.89,0.24,0,44.89,389.96,0,1.79,15.67,0,0,0.18,0,9.95,5.5,0,13.55,3.27,6.6,0,0,23.05,0.14,5.38
"13","Saint Lucia","Spices nes",0.00767204314204314,181889,34000,"Import_kg",723,"Spices; nes",163,574.45,24174.02,17066.08,94309.87,99.86,0.53,0.39,1797.8,61.03,7.73,2709.16,40885.19,1.77,142.84,478.52,0.58,0.86,11.8,2.15,354.97,629.67,14.27,4158.96,7503.32,4715.59,0,0,90.16,13.6,24.57
"14","Saint Lucia","Tomatoes",0.0714285714285714,181889,83000,"Import_kg",388,"Tomatoes",76,12.76,608.89,160.97,2324.63,14.73,0,0,9.58,0.65,0.12,125.26,732.02,0,7.12,25.75,0,0,0.52,0,4.28,8.31,0,18.53,19.48,52.07,0,0,60.04,0.34,4.15
"15","Saint Lucia","Vegetables, fresh nes",0.075156077445368,181889,158000,"Import_kg",463,"Vegetables; fresh; nes",101,54.69,3688.4,771.63,9241.88,54.82,0.36,0,228.84,4.74,0.65,450.55,5464.92,0.19,54.89,91.35,0.11,0.23,1.19,0.25,25.26,59.43,0.75,79.18,75.69,150.87,0,0,97.98,1.89,28.93
"16","Saint Lucia","Watermelons",0.193615384615385,181889,61000,"Import_kg",567,"Watermelons",110,4.11,87.5,24.78,906.13,1.11,0,0,1.42,0.17,0,16.85,49.54,0,0.66,6.27,0,0,0,0,0.71,1.69,0,2.77,6.41,8.66,0,0,16.15,0,8.05
