"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Saint Lucia","Avocados",0.048,181889,344000,"Production_kg",572,"Avocados",141,573.99,6337.48,55506.83,17100.17,50.4,0.13,0.23,81.03,3.79,1.9,2009.61,17270.91,0.83,25.99,668.84,0.25,0.55,5.46,1.2,55.95,119.19,0.56,9422.83,31293.51,6556.38,0,0,302.97,4.62,149.73
"2","Saint Lucia","Bananas",0.04075,181889,16182000,"Production_kg",486,"Bananas",117,21993.25,265425.37,50759.94,5096578.74,2324.35,8.02,4.08,2150.88,174.41,36.02,74185.93,341376.73,20.14,1385.66,5537.45,11.67,11.04,185.89,76.19,2139.56,6185.8,58.95,24233.78,5676.38,12335.21,0,0,15903.29,180.96,7750.44
"3","Saint Lucia","Cabbages and other brassicas",0.08324,181889,181000,"Production_kg",358,"Cabbages and other brassicas",78,32.12,2715.12,364.37,5239.29,73.31,0.28,0,146.71,2.07,0.41,341.38,2638.29,0.19,46.99,84.28,0,0.12,0.93,0.22,29.48,29.19,0.3,41.01,21.43,105.02,0,0,108.6,1.32,33
"4","Saint Lucia","Carrots and turnips",0.0830718954248366,181889,27000,"Production_kg",426,"Carrots and turnips",96,5.4,233.99,41.84,1048.36,4.89,0.11,0,11.85,0.28,0,52.01,362.87,0,8.44,21.29,0,0,0.14,0,18.69,2.17,0,5.78,2.62,13.52,0,0,15.95,0.22,4.11
"5","Saint Lucia","Cassava",0.108277777777778,181889,1459000,"Production_kg",125,"Cassava",17,1030.38,13537.15,3516.4,229976.44,238.54,0,0.19,288.81,9.02,2.52,2785.46,10964.06,0.74,68.15,291.95,0.46,0.41,4.25,0.65,175.57,155.57,2.84,644.51,648.21,325.96,0,0,465.44,10.41,155.57
"6","Saint Lucia","Cocoa, beans",0.0115,181889,20000,"Production_kg",661,"Cocoa Beans",153,218,15428.43,39538.69,55361.05,0,0,0,102.56,4.85,6.51,959.5,35377.52,3.62,7.89,560.77,0.16,0.19,1.77,0.11,11.47,477.12,3.67,22008.17,15195.6,822.29,0,0,3.71,3.8,0
"7","Saint Lucia","Coconuts",0.04,181889,9700000,"Production_kg",249,"Coconuts - Incl Copra",58,42330.07,447308.43,3752282.59,1677604.2,319.84,0,2.6,2488.26,382.58,219.94,43585.53,860674.49,68.24,2823.91,14031.51,8.37,4.23,90.18,5.51,1613.21,3864.15,499.96,3979560.34,354972.68,91059.66,0,0,7070.55,136.35,5532.91
"8","Saint Lucia","Cucumbers and gherkins",0.0675,181889,727000,"Production_kg",397,"Cucumbers and gherkins",86,82.66,3821.04,700.12,14982.93,58.53,0,0,94.74,2.64,1.13,844.13,3863.01,0.32,39.3,214.77,0.16,0.19,1.13,0.24,35.53,74.02,0.47,198.37,14.8,153.96,0,0,567.02,2.46,91.78
"9","Saint Lucia","Fruit, fresh nes",0.107099201828105,181889,4155000,"Production_kg",619,"Fresh fruit; nes",147,1919.71,32576.39,16246.66,411076.24,831.91,1.06,0.32,1144.16,77.8,5.35,5941.78,74071.14,2.4,238.11,892.4,1.33,1.22,21.33,1.91,1489.32,680.69,4.47,2610.72,1798.78,2486.06,0,0,1614.54,19.45,593.67
"10","Saint Lucia","Fruit, tropical fresh nes",0.1073859375,181889,3637000,"Production_kg",603,"Fruit; tropical fresh; nes",146,1743.94,27552.48,22263.44,386646.97,2000.03,0.8,0.31,602.7,32.56,6.98,4676.24,54128.52,2.07,182.61,669.24,5.13,5.44,19.55,2.85,147.47,523.85,4.1,13873.25,30682.96,7015.24,0,0,1419.68,14.23,734.66
"11","Saint Lucia","Ginger",0.02852,181889,11000,"Production_kg",720,"Ginger",162,41.28,1035.15,445.83,8636.16,0.59,0,0,15.08,1.17,0.38,191.48,1251.78,0.12,5.21,18.61,0,0,0.83,0,8.74,31.11,7.06,551.12,101.57,196.99,0,0,9.87,0.47,0
"12","Saint Lucia","Grapefruit (inc. pomelos)",0.15,181889,594000,"Production_kg",507,"Grapefruit",115,78.75,1533.34,330.93,17484.21,85.66,0,0,40.43,1.13,0.2,413.97,2201.34,0.11,15.91,45.36,0,0,0.6,0,16.76,16.69,0,26.13,25.04,47.9,0,0,194.95,0.9,97.43
"13","Saint Lucia","Lemons and limes",0.0785,181889,550000,"Production_kg",497,"Lemons; Limes",114,145.34,2920.07,1608.31,32015.65,158.63,0,0,145.71,2.24,0.73,808.13,5123.16,0.73,17.48,75.59,0.14,0.11,1.74,0.22,19.65,38.52,0,129.68,51.36,261.94,0,0,343.35,1.41,134.82
"14","Saint Lucia","Lettuce and chicory",0.0865961538461538,181889,212000,"Production_kg",372,"Lettuce and chicory",81,23.26,1929.43,334.04,3756.2,14.94,0.24,0.1,71.5,1.57,0.55,345.58,2384.26,0,34.11,90.82,0,0.1,0.56,0.11,43.41,18.36,0.31,49.13,9.98,112.95,0,0,125.94,1.41,22.88
"15","Saint Lucia","Mangoes, mangosteens, guavas",0.09628125,181889,1089000,"Production_kg",571,"Mangos; mangosteens; guavas",140,381.64,4671.54,1536.9,85790.06,537.99,0.8,0.18,109.93,3.28,0.85,1117.6,16582.44,0.46,65.89,119.06,0.29,0.34,7.19,0.73,47.26,282.94,0.33,950.17,468.87,1047.18,0,0,516.11,3.69,164.79
"16","Saint Lucia","Nutmeg, mace and cardamoms",0.021,181889,35000,"Production_kg",702,"Nutmeg; mace; and cardamoms",160,367.9,8076.13,18267.78,46303.42,6.87,0,0,160.24,14.58,2.55,590.1,16004.88,1.08,34.82,133.55,0.21,0.17,1.03,0.17,714.17,186.38,6.49,11035.42,4660.96,1579.11,0,0,11.6,3.05,0
"17","Saint Lucia","Oranges",0.138371428571429,181889,388000,"Production_kg",490,"Oranges; Mandarines",113,68.14,1222.79,353.72,15414.79,71.18,0,0,48.7,0.75,0,259.13,2074.19,0,4.16,33.37,0.11,0,2.73,0.11,16.75,16.34,0,32.37,47.4,50.1,0,0,134.01,0.66,41.32
