"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Saint Vincent and the Grenadines","Apples",0.121111111111111,110211,1665000,"Production_kg/Import_kg",515,"Apples",119,700.23,3872.13,3674.63,163222.13,181.11,0,0,96.67,8.75,0.8,1283.04,17671.48,0.36,72.66,135.43,0.57,0.35,2.34,0.5,2023.28,58.21,0.44,486.49,106.03,817.05,0,0,1054.1,3.21,124.74
"2","Saint Vincent and the Grenadines","Bananas",0.04075,110211,60829000,"Production_kg",486,"Bananas",117,136442.38,1646654.17,314906.1,31618314.2,14419.89,49.75,25.28,13343.69,1081.99,223.48,460236.96,2117843.59,124.95,8596.43,34353.39,72.42,68.49,1153.24,472.7,13273.46,38375.65,365.7,150342.27,35215.31,76525.57,0,0,98661.33,1122.68,48082.44
"3","Saint Vincent and the Grenadines","Carrots and turnips",0.0830718954248366,110211,680000,"Production_kg/Import_kg",426,"Carrots and turnips",96,224.56,9725.61,1739.11,43574.92,203.32,4.52,0.16,492.68,11.52,1.92,2161.59,15082.69,0.44,350.6,884.81,0.38,0.69,5.76,1.35,776.89,90.37,1.06,240.15,108.93,562,0,0,662.88,9.32,170.83
"4","Saint Vincent and the Grenadines","Cassava",0.108277777777778,110211,586000,"Production_kg",125,"Cassava",17,683,8973.28,2330.89,152442.89,158.12,0,0.13,191.44,5.98,1.67,1846.38,7267.67,0.49,45.18,193.52,0.31,0.27,2.82,0.43,116.38,103.12,1.89,427.22,429.68,216.07,0,0,308.52,6.9,103.12
"5","Saint Vincent and the Grenadines","Chillies and peppers, green",0.0664142191142191,110211,1016000,"Production_kg/Import_kg",401,"Chillies and peppers; green",88,543.99,24714.15,9224.42,95885.18,1600.7,1.73,0.41,383.7,22.56,4.33,3913.3,44621.45,2.16,98.46,1414.13,1.75,1.67,16.48,4.92,112.09,500.77,3.28,578.82,247.66,2532.84,0,0,1225.22,12.27,229.8
"6","Saint Vincent and the Grenadines","Cocoa, beans",0.0115,110211,226000,"Production_kg",661,"Cocoa Beans",153,4065.56,287727.61,737364.42,1032438.57,0,0,0.57,1912.6,90.48,121.43,17893.82,659762.12,67.55,147.11,10457.85,3.02,3.53,32.92,2.1,213.98,8897.87,68.42,410434.45,283385.66,15335.01,0,0,69.19,70.93,0
"7","Saint Vincent and the Grenadines","Coconuts",0.04,110211,2700000,"Production_kg",249,"Coconuts - Incl Copra",58,19445.65,205485.23,1723729.29,770660.37,146.93,0,1.19,1143.06,175.75,101.04,20022.39,395377.96,31.35,1297.25,6445.82,3.84,1.94,41.43,2.53,741.08,1775.12,229.67,1828136.48,163067.89,41831.12,0,0,3248.08,62.64,2541.72
"8","Saint Vincent and the Grenadines","Coffee, green",0.00312,110211,186000,"Production_kg/Import_kg",656,"Coffee",152,10022.31,611480.83,806935.67,1958132.06,54.09,0.22,0.94,5573.82,186.9,28.7,120400.37,0,11.17,1923.78,15374.67,7.79,27.03,599.77,1.26,2329.69,10106.96,20.61,1792.07,13440.52,896.03,0,0,284.12,313.57,0
"9","Saint Vincent and the Grenadines","Fruit, fresh nes",0.107099201828105,110211,3269000,"Production_kg/Import_kg",619,"Fresh fruit; nes",147,2492.65,42298.83,21095.48,533762.14,1080.2,1.37,0.42,1485.63,101.02,6.95,7715.11,96177.71,3.12,309.17,1158.74,1.73,1.58,27.7,2.47,1933.81,883.84,5.8,3389.89,2335.62,3228.02,0,0,2096.4,25.25,770.85
"10","Saint Vincent and the Grenadines","Grapefruit (inc. pomelos)",0.15,110211,325000,"Production_kg",507,"Grapefruit",115,71.11,1384.57,298.82,15787.9,77.35,0,0,36.51,1.02,0.18,373.81,1987.77,0,14.37,40.96,0,0,0.54,0,15.14,15.07,0,23.59,22.61,43.25,0,0,176.03,0.81,87.98
"11","Saint Vincent and the Grenadines","Groundnuts, with shell",0.028,110211,273000,"Production_kg",242,"Groundnuts (Shelled Eq)",54,4853.77,208457.99,388421.23,150632.95,12.56,0,1.03,529.94,31.25,24.63,6161.2,73509.12,9.62,90.77,3455.9,6.75,1.5,126.79,4.78,1223.05,1659.02,12.98,55548.22,216088.68,137636.44,0,0,74.68,24.19,0
"12","Saint Vincent and the Grenadines","Lemons and limes",0.0785,110211,1060000,"Production_kg",497,"Lemons; Limes",114,462.27,9287.9,5115.59,101832.63,504.54,0.11,0.12,463.47,7.13,2.31,2570.44,16295.32,2.33,55.61,240.42,0.44,0.35,5.52,0.71,62.49,122.52,0.23,412.49,163.36,833.14,0,0,1092.11,4.49,428.82
"13","Saint Vincent and the Grenadines","Maize",0.0869363057324841,110211,11883000,"Production_kg/Import_kg",56,"Maize",4,43823.3,1071910.69,424509.91,8950944.42,85.04,2.74,2.89,2587.75,403.57,222.55,36537.65,642297.99,22.38,1159.05,27147.09,33.07,14.68,319.9,43.95,0,13601.24,30.08,73390.23,159709.79,299607,0,0,1545.44,155.68,0
"14","Saint Vincent and the Grenadines","Mangoes, mangosteens, guavas",0.09628125,110211,1856000,"Production_kg",571,"Mangos; mangosteens; guavas",140,1073.45,13139.89,4322.93,241306.24,1513.22,2.26,0.51,309.2,9.24,2.38,3143.53,46642.31,1.3,185.32,334.89,0.81,0.96,20.22,2.05,132.93,795.83,0.93,2672.6,1318.81,2945.46,0,0,1451.69,10.37,463.51
"15","Saint Vincent and the Grenadines","Nutmeg, mace and cardamoms",0.021,110211,221000,"Production_kg/Import_kg",702,"Nutmeg; mace; and cardamoms",160,3833.84,84160.59,190366.93,482523.89,71.62,0,0.73,1669.84,151.96,26.58,6149.42,166785.41,11.22,362.85,1391.74,2.16,1.76,10.74,1.75,7442.32,1942.22,67.61,114999.18,48571.48,16455.74,0,0,120.89,31.81,0
"16","Saint Vincent and the Grenadines","Oranges",0.138371428571429,110211,1045000,"Production_kg",490,"Oranges; Mandarines",113,302.86,5435.25,1572.25,68517.82,316.38,0.38,0.17,216.45,3.32,0.42,1151.83,9219.64,0.3,18.49,148.35,0.47,0.29,12.12,0.48,74.46,72.64,0.2,143.9,210.71,222.7,0,0,595.65,2.91,183.65
"17","Saint Vincent and the Grenadines","Pears",0.04975,110211,503000,"Production_kg/Import_kg",521,"Pears",123,475.61,4158.8,2747.05,115878.38,39.39,0,0,106.15,17.36,2.08,990.77,18041.84,0.75,31.43,120.06,0.25,0.4,1.89,0.27,46.79,64.22,0.44,192.65,752.25,843.99,0,0,778.46,2.64,105.5
"18","Saint Vincent and the Grenadines","Pigeon peas",0.038,110211,320000,"Production_kg",197,"Pigeon peas",35,2455.1,154553.27,12387.72,413845.09,13.14,0,3.48,1018.78,48.56,19.04,10630.96,108245.32,7.95,129.89,2611.28,5.31,1.31,20.74,2.11,0,1398.27,13.68,2521.48,84.05,6089.75,0,0,70.97,29.24,0
"19","Saint Vincent and the Grenadines","Plantains and others",0.104,110211,5170000,"Production_kg",489,"Plantains",118,5349.29,58637.52,16544.8,1279651.17,526.53,3.1,0.9,405.78,43.49,6.54,20287.46,68786.32,3.63,144.34,1462.78,8.14,5.71,28.84,13.51,608.93,1668.91,0,7284.58,1398.28,2909.32,0,0,3065.89,43.13,1556.15
"20","Saint Vincent and the Grenadines","Pulses nes",0.0587825743767065,110211,635000,"Production_kg",211,"Pulses; nes",40,3675.98,221651,75043.29,534844.27,20.23,0,3.34,1878.52,102.76,46.37,10085.92,89187.48,15.98,266.6,3377.47,4.94,2.14,20.41,2.6,3450.19,2526.87,18.48,8507.85,15621.42,15925.27,0,0,112.34,32.85,137.22
"21","Saint Vincent and the Grenadines","Pumpkins, squash and gourds",0.100019949494949,110211,520000,"Production_kg/Import_kg",394,"Pumpkins; squash; and gourds",85,100.98,4795.9,838.54,18897.51,81.1,1.04,0.11,131.46,4.62,1,856.09,7437,0.48,34.05,298.87,0.17,0.3,3.51,0.63,189.75,104.87,0.28,258.4,62.37,125.79,0,0,439.67,2.65,102.6
"22","Saint Vincent and the Grenadines","Roots and tubers nes",0.125770747489689,110211,9180000,"Production_kg",149,"Roots and tubers; nes",23,6772.66,128381.71,50752.31,1436678.59,959.25,1.89,5.18,2209.98,189.09,20.09,32153.43,117815.16,8.42,995.4,4415.64,4.85,4.77,79.77,10.91,1443.76,2847.78,11.87,1357.66,281.47,2996.79,0,0,4781.45,68.73,1445.97
"23","Saint Vincent and the Grenadines","Spices nes",0.00767204314204314,110211,234000,"Production_kg/Import_kg",723,"Spices; nes",163,6524.84,274579,193843.95,1071212.35,1134.31,6.03,4.47,20420.14,693.22,87.77,30771.81,464391.71,20.14,1622.47,5435.27,6.6,9.73,134.06,24.44,4031.94,7152.01,162.08,47239.27,85225.95,53561.7,0,0,1024.12,154.48,279.05
"24","Saint Vincent and the Grenadines","Sugar cane",0.00989415983606557,110211,18685000,"Production_kg",156,"Sugar Cane",25,484355.05,342704.05,57117.34,123533385.44,2570.28,0,0,11994.64,1039.54,34.27,26559.56,2655956.36,13.71,3427.04,3998.21,17.14,24.85,85.68,0,0,1713.52,42.84,0,0,0,0,0,47150.37,154.22,31414.54
"25","Saint Vincent and the Grenadines","Sweet potatoes",0.10804347826087,110211,2500000,"Production_kg",122,"Sweet Potatoes",19,2304.37,27491.83,5059.22,530129.18,503.91,7.94,0.88,714.84,30.18,5.26,5438.32,47070.86,1.94,402.19,853.46,1.83,0.96,15.67,4.98,258.24,417.8,2.71,1665.61,286.93,2897.31,0,0,1486.2,21.43,477.64
"26","Saint Vincent and the Grenadines","Vegetables, fresh nes",0.075156077445368,110211,3732000,"Production_kg/Import_kg",463,"Vegetables; fresh; nes",101,2131.79,143781.89,30079.8,360268.4,2136.94,14.04,3.32,8920.86,184.76,25.23,17563.31,213034.31,7.25,2139.78,3561.15,4.12,8.96,46.33,9.84,984.55,2316.75,29.06,3086.8,2950.71,5881.19,0,0,3819.67,73.55,1127.85
"27","Saint Vincent and the Grenadines","Yams",0.11,110211,2130000,"Production_kg",137,"Yams",20,1887.53,35159.65,3235.69,428866.87,211.13,0,0.42,569.8,19.46,5.7,11964.9,38963.18,1.92,157.92,794.49,1.96,0.6,9.11,5.71,289.9,331.26,3.49,500.73,140.56,1019.04,0,0,1254.95,18.36,281.11
