"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Sao Tome and Principe","Anise, badian, fennel, coriander",0.00195,211028,11000,"Import_kg",711,"Anise; badian; fennel; coriander",161,929.13,42270.89,38308,124921.45,27.93,0,0,2173.97,85.79,12.4,3965.57,63828.1,2.51,197.81,1229.88,0.88,0.81,8.23,1.34,1464.47,842.03,7.29,2251.3,29102.23,7025.49,0,0,26.63,17.99,0
"2","Sao Tome and Principe","Apples",0.121111111111111,211028,115000,"Import_kg",515,"Apples",119,25.26,139.68,132.55,5887.72,6.53,0,0,3.49,0.32,0,46.28,637.44,0,2.62,4.89,0,0,0,0,72.98,2.1,0,17.55,3.82,29.47,0,0,38.02,0.12,4.5
"3","Sao Tome and Principe","Bananas",0.04075,211028,5918000,"Production_kg",486,"Bananas",117,6932.64,83666.49,16000.38,1606526.36,732.67,2.53,1.28,677.99,54.98,11.36,23384.64,107607.62,6.35,436.78,1745.5,3.68,3.48,58.6,24.02,674.42,1949.87,18.58,7638.89,1789.29,3888.26,0,0,5012.98,57.04,2443.07
"4","Sao Tome and Principe","Beans, dry",0.1145,211028,892000,"Import_kg",176,"Beans",30,1216.46,78602.94,5068.34,214118.45,6.7,0,1.51,516.52,26.92,10.78,4316.57,45786.31,3.22,57.66,1427.76,1.67,0.81,7.38,1.43,407.56,638.25,4.81,1141.13,506.71,1755.58,0,0,43.28,14.1,0
"5","Sao Tome and Principe","Cabbages and other brassicas",0.08324,211028,851000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,130.15,11002.87,1476.58,21231.94,297.09,1.12,0.3,594.52,8.38,1.65,1383.42,10691.52,0.75,190.43,341.56,0.29,0.5,3.75,0.87,119.45,118.29,1.23,166.21,86.83,425.58,0,0,440.1,5.36,133.71
"6","Sao Tome and Principe","Cake, soybeans",0.014,211028,2000,"Import_kg",238,"Soyabean Oil",63,60.53,0,6762.14,0.56,0,0,0,0.11,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,1791.55,1583.48,3066.27,0,0,0,0,0
"7","Sao Tome and Principe","Carrots and turnips",0.0830718954248366,211028,981000,"Production_kg",426,"Carrots and turnips",96,169.19,7327.6,1310.3,32830.8,153.19,3.41,0.12,371.2,8.68,1.45,1628.61,11363.8,0.33,264.15,666.64,0.29,0.52,4.34,1.02,585.34,68.08,0.8,180.94,82.07,423.43,0,0,499.43,7.02,128.71
"8","Sao Tome and Principe","Cassava",0.108277777777778,211028,1384000,"Production_kg",125,"Cassava",17,842.45,11068.14,2875.05,188031.45,195.03,0,0.15,236.14,7.37,2.06,2277.43,8964.34,0.61,55.72,238.7,0.38,0.34,3.47,0.53,143.55,127.2,2.33,526.96,529.99,266.51,0,0,380.55,8.51,127.2
"9","Sao Tome and Principe","Cauliflowers and broccoli",0.103835520801038,211028,3000,"Import_kg",393,"Cauliflowers and broccoli",84,0.39,42.41,4.43,55.71,1.11,0,0,0.6,0,0,4.06,26.01,0,0.41,1.49,0,0,0,0,0.87,0.25,0,0.85,0.26,0.44,0,0,1.19,0,0.66
"10","Sao Tome and Principe","Cereal preparations nes",0.0486257263475995,211028,1000,"Import_kg",113,"Cereals; nes",13,3.39,126.93,44.85,716.19,0,0,0,1.41,0.22,0,4.16,30.77,0,0,3.71,0,0,0,0,0.13,1.79,0,4.38,5.74,10.44,0,0,0.11,0,0
"11","Sao Tome and Principe","Chick peas",0.04575,211028,64000,"Import_kg",191,"Chick peas",33,233.51,12889.35,3336.94,38657.91,1.39,0,0.25,90.4,4.59,2.29,536.29,5060.15,0.61,13.3,205.76,0.26,0.12,1.17,0.35,97.21,65.63,7.46,408.68,903.87,1763.65,0,0,6.96,1.97,0
"12","Sao Tome and Principe","Chillies and peppers, dry",4e-04,211028,1000,"Import_kg",689,"Pimento",156,284.87,12140.4,10574.43,48615.95,89.36,0.8,0,245.78,8.65,3.13,2158.48,26323.52,0.78,537.55,220.25,0.33,0.52,6.54,2.04,61.01,181.85,2.58,3139.39,2015.93,7303.93,0,0,33.2,7.09,0
"13","Sao Tome and Principe","Chillies and peppers, green",0.0664142191142191,211028,3000,"Import_kg",401,"Chillies and peppers; green",88,0.84,38.11,14.22,147.86,2.47,0,0,0.59,0,0,6.03,68.81,0,0.15,2.18,0,0,0,0,0.17,0.77,0,0.89,0.38,3.91,0,0,1.89,0,0.35
"14","Sao Tome and Principe","Chocolate products nes",0.0115,211028,53000,"Import_kg",666,"Cocoa Beans",153,497.94,35239.83,90309.71,126449.32,0,0,0,234.25,11.08,14.87,2191.57,80805.27,8.27,18.02,1280.84,0.37,0.43,4.03,0.26,26.21,1089.78,8.38,50268.52,34708.05,1878.18,0,0,8.47,8.69,0
"15","Sao Tome and Principe","Cider etc",0.0683571428571429,211028,12000,"Import_kg",517,"Fruit juice; nes",149,4.14,20.66,11.28,1011.91,6.24,0,0,0.84,0,0,8.99,23.68,0,0.65,0.68,0,0,0,0,0.23,0.62,0,2.09,2.84,5.16,0,0,7.32,0,0
"16","Sao Tome and Principe","Cinnamon (cannella)",0.00115555555555556,211028,58000,"Production_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Sao Tome and Principe","Cocoa, beans",0.0115,211028,2834000,"Production_kg",661,"Cocoa Beans",153,26625.44,1884333.67,4829013.75,6761460.05,0,0.39,3.74,12525.63,592.53,795.26,117186.96,4320794.85,442.36,963.42,68488.69,19.79,23.09,215.6,13.78,1401.34,58272.34,448.08,2687943.12,1855898.17,100429.29,0,0,453.1,464.54,0
"18","Sao Tome and Principe","Cocoa, butter",0.0115,211028,1000,"Import_kg",664,"Cocoa Beans",153,9.4,664.9,1703.96,2385.84,0,0,0,4.42,0.21,0.28,41.35,1524.63,0.16,0.34,24.17,0,0,0,0,0.49,20.56,0.16,948.46,654.87,35.44,0,0,0.16,0.16,0
"19","Sao Tome and Principe","Cocoa, powder & cake",0.0115,211028,1000,"Import_kg",665,"Cocoa Beans",153,9.4,664.9,1703.96,2385.84,0,0,0,4.42,0.21,0.28,41.35,1524.63,0.16,0.34,24.17,0,0,0,0,0.49,20.56,0.16,948.46,654.87,35.44,0,0,0.16,0.16,0
"20","Sao Tome and Principe","Coconuts",0.04,211028,12637000,"Production_kg",249,"Coconuts - Incl Copra",58,47532.17,502279.76,4213414.08,1883771,359.14,0,2.91,2794.05,429.59,246.97,48941.92,966445.87,76.63,3170.95,15755.9,9.4,4.74,101.26,6.19,1811.46,4339.03,561.4,4468622.8,398596.54,102250.31,0,0,7939.48,153.11,6212.87
"21","Sao Tome and Principe","Coffee, extracts",0.00312,211028,5000,"Import_kg",659,"Coffee substitutes; cont. coffee",112,273.39,10354.53,2460.48,59552.8,0,0,0,84.77,5.66,0.39,1855.23,17694.21,0.16,63.03,278.06,0.31,0,13.41,0.57,10.18,185.3,0.84,457.92,270.35,930.28,0,0,4.6,6.18,0
"22","Sao Tome and Principe","Coffee, green",0.00312,211028,7000,"Production_kg",656,"Coffee",152,196.99,12018.57,15860.21,38486.81,1.06,0,0,109.55,3.67,0.56,2366.45,0,0.22,37.81,302.19,0.15,0.53,11.79,0,45.79,198.65,0.41,35.22,264.17,17.61,0,0,5.58,6.16,0
"23","Sao Tome and Principe","Coffee, roasted",0.00312,211028,3000,"Import_kg",657,"Coffee",152,84.42,5150.82,6797.23,16494.35,0.46,0,0,46.95,1.57,0.24,1014.19,0,0,16.21,129.51,0,0.23,5.05,0,19.62,85.14,0.17,15.1,113.22,7.55,0,0,2.39,2.64,0
"24","Sao Tome and Principe","Coffee, substitutes containing coffee",0.00312,211028,1000,"Import_kg",658,"Coffee substitutes; cont. coffee",112,54.68,2070.91,492.1,11910.56,0,0,0,16.95,1.13,0,371.05,3538.84,0,12.61,55.61,0,0,2.68,0.11,2.04,37.06,0.17,91.58,54.07,186.06,0,0,0.92,1.24,0
"25","Sao Tome and Principe","Flour, cereals",0.057,211028,4000,"Import_kg",111,"Millet Flour",224,12.03,258,102.59,2503.59,0,0,0,2.22,0.63,0,7.45,79.26,0,0.38,7.58,0,0,0,0,0,3.96,0,17.82,30.73,87.06,0,0,0.37,0,0
"26","Sao Tome and Principe","Flour, maize",0.0538461538461538,211028,830000,"Import_kg",58,"Corn Flour",223,2597.04,62070.8,23961.18,532788.07,2.66,0,0.14,204.81,27.64,9.7,1555.02,32705.36,1.16,52.09,1438.15,1.96,0.76,13.04,1.53,0,420.52,0.41,2156.62,7804.73,12956.14,0,0,76.11,8.43,0
"27","Sao Tome and Principe","Flour, mustard",0.0841,211028,1000,"Import_kg",295,"Rape and Mustardseed",56,2.96,129.82,214.79,146.75,0,0,0,2.13,0,0,4.16,40.01,0,0,4.3,0,0,0,0,0.94,2.08,0,11.21,126.88,56.84,0,0,0,0,0
"28","Sao Tome and Principe","Flour, wheat",0.0374838709677419,211028,8076000,"Import_kg",16,"Wheat Flour",222,35276.2,1171244.73,154440.92,7263889.91,19.06,0,2.55,4082.7,277.93,131.02,17560.64,134087.03,10.01,3295.68,18889.59,35.74,13.53,233.75,12.46,1061.81,4628.38,85.86,15824.99,8882.41,42165.95,0,0,1182.63,97.58,0
"29","Sao Tome and Principe","Fruit, cooked, homogenized preparations",0.107099201828105,211028,6000,"Import_kg",626,"Homogenized; cooked fruit prepared",151,1.47,9.5,4.23,370.95,0.72,0,0,0.16,0,0,3.29,48,0,0,0.31,0,0,0,0,0.12,0.2,0,0.62,0.6,1.16,0,0,2.26,0,0
"30","Sao Tome and Principe","Fruit, fresh nes",0.107099201828105,211028,5264000,"Production_kg/Import_kg",619,"Fresh fruit; nes",147,2096.27,35572.49,17740.88,448883.44,908.42,1.15,0.35,1249.39,84.96,5.84,6488.25,80883.56,2.63,260.01,974.48,1.45,1.33,23.3,2.08,1626.3,743.29,4.88,2850.83,1964.21,2714.7,0,0,1763.03,21.24,648.27
"31","Sao Tome and Principe","Fruit, prepared nes",0.107099201828105,211028,46000,"Import_kg",623,"Fruit; prepared; nes",150,11.24,147.83,48.63,2854.42,2.3,0,0,3.02,0.12,0,36.59,512.79,0,0.94,3.66,0,0,0.11,0,1.07,2.27,0,5.14,7.26,15.5,0,0,17.21,0,0.25
"32","Sao Tome and Principe","Garlic",0.00732,211028,201000,"Import_kg",406,"Garlic",90,1587.19,66115.1,3257.01,332413.33,172.86,0,0,668.82,18.09,15.17,5744.81,20656.59,6.28,226.67,2638.91,1.84,1.05,6.97,13.17,301.88,507.47,17.38,1164.58,136.63,3116.38,0,0,851.09,18.86,169.16
