"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Sao Tome and Principe","Bananas",0.04075,211028,5918000,"Production_kg",486,"Bananas",117,6932.64,83666.49,16000.38,1606526.36,732.67,2.53,1.28,677.99,54.98,11.36,23384.64,107607.62,6.35,436.78,1745.5,3.68,3.48,58.6,24.02,674.42,1949.87,18.58,7638.89,1789.29,3888.26,0,0,5012.98,57.04,2443.07
"2","Sao Tome and Principe","Cabbages and other brassicas",0.08324,211028,848000,"Production_kg",358,"Cabbages and other brassicas",78,129.7,10964.08,1471.37,21157.09,296.05,1.11,0.3,592.43,8.36,1.65,1378.55,10653.83,0.75,189.76,340.35,0.29,0.5,3.74,0.87,119.03,117.87,1.22,165.62,86.52,424.08,0,0,438.55,5.34,133.24
"3","Sao Tome and Principe","Carrots and turnips",0.0830718954248366,211028,981000,"Production_kg",426,"Carrots and turnips",96,169.19,7327.6,1310.3,32830.8,153.19,3.41,0.12,371.2,8.68,1.45,1628.61,11363.8,0.33,264.15,666.64,0.29,0.52,4.34,1.02,585.34,68.08,0.8,180.94,82.07,423.43,0,0,499.43,7.02,128.71
"4","Sao Tome and Principe","Cassava",0.108277777777778,211028,1384000,"Production_kg",125,"Cassava",17,842.45,11068.14,2875.05,188031.45,195.03,0,0.15,236.14,7.37,2.06,2277.43,8964.34,0.61,55.72,238.7,0.38,0.34,3.47,0.53,143.55,127.2,2.33,526.96,529.99,266.51,0,0,380.55,8.51,127.2
"5","Sao Tome and Principe","Cinnamon (cannella)",0.00115555555555556,211028,58000,"Production_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Sao Tome and Principe","Cocoa, beans",0.0115,211028,2834000,"Production_kg",661,"Cocoa Beans",153,26625.44,1884333.67,4829013.75,6761460.05,0,0.39,3.74,12525.63,592.53,795.26,117186.96,4320794.85,442.36,963.42,68488.69,19.79,23.09,215.6,13.78,1401.34,58272.34,448.08,2687943.12,1855898.17,100429.29,0,0,453.1,464.54,0
"7","Sao Tome and Principe","Coconuts",0.04,211028,12637000,"Production_kg",249,"Coconuts - Incl Copra",58,47532.17,502279.76,4213414.08,1883771,359.14,0,2.91,2794.05,429.59,246.97,48941.92,966445.87,76.63,3170.95,15755.9,9.4,4.74,101.26,6.19,1811.46,4339.03,561.4,4468622.8,398596.54,102250.31,0,0,7939.48,153.11,6212.87
"8","Sao Tome and Principe","Coffee, green",0.00312,211028,7000,"Production_kg",656,"Coffee",152,196.99,12018.57,15860.21,38486.81,1.06,0,0,109.55,3.67,0.56,2366.45,0,0.22,37.81,302.19,0.15,0.53,11.79,0,45.79,198.65,0.41,35.22,264.17,17.61,0,0,5.58,6.16,0
"9","Sao Tome and Principe","Fruit, fresh nes",0.107099201828105,211028,5263000,"Production_kg",619,"Fresh fruit; nes",147,2095.87,35565.73,17737.51,448798.17,908.25,1.15,0.35,1249.15,84.94,5.84,6487.02,80868.19,2.63,259.96,974.29,1.45,1.33,23.29,2.08,1625.99,743.15,4.88,2850.29,1963.84,2714.19,0,0,1762.7,21.23,648.15
"10","Sao Tome and Principe","Lettuce and chicory",0.0865961538461538,211028,82000,"Production_kg",372,"Lettuce and chicory",81,7.75,643.24,111.36,1252.26,4.98,0,0,23.84,0.52,0.18,115.21,794.87,0,11.37,30.28,0,0,0.19,0,14.47,6.12,0.1,16.38,3.33,37.66,0,0,41.99,0.47,7.63
"11","Sao Tome and Principe","Maize",0.0869363057324841,211028,1111000,"Production_kg",56,"Maize",4,2139.82,52339.72,20728.16,437060.62,4.15,0.13,0.14,126.36,19.71,10.87,1784.08,31362.41,1.09,56.59,1325.55,1.61,0.72,15.62,2.15,0,664.13,1.47,3583.53,7798.38,14629.34,0,0,75.46,7.6,0
"12","Sao Tome and Principe","Oil palm fruit",0.012,211028,18012000,"Production_kg",254,"Palmkernel Oil",68,626637.7,0,71128001.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.26,0,0,57969321.61,8108592.22,1138048.03,0,0,0,0,0
"13","Sao Tome and Principe","Onions, dry",0.093304347826087,211028,361000,"Production_kg",403,"Onions",77,72.4,2110.12,257.68,15317.83,16.3,0,0,75.99,1.31,0.72,236.88,2603.48,0,18.42,95.63,0,0,0.44,0.2,11.18,21.88,0.12,62.34,44.61,102.06,0,0,165.41,0.95,14.67
"14","Sao Tome and Principe","Plantains and others",0.104,211028,40563000,"Production_kg",489,"Plantains",118,21918.98,240270.25,67793.17,5243436.12,2157.48,12.7,3.7,1662.71,178.2,26.8,83128.89,281855.48,14.88,591.43,5993.82,33.36,23.39,118.17,55.35,2495.11,6838.46,0,29848.96,5729.52,11921.1,0,0,12562.63,176.75,6376.4
"15","Sao Tome and Principe","Roots and tubers nes",0.125770747489689,211028,75000,"Production_kg",149,"Roots and tubers; nes",23,28.9,547.78,216.55,6130.04,4.09,0,0,9.43,0.81,0,137.19,502.7,0,4.25,18.84,0,0,0.34,0,6.16,12.15,0,5.79,1.2,12.79,0,0,20.4,0.29,6.17
"16","Sao Tome and Principe","Taro (cocoyam)",0.1,211028,9570000,"Production_kg",136,"Taro (cocoyam)",22,4143.77,90756.25,7054.36,926866.59,220.51,0.3,1.48,1804.46,49.03,12.9,23277.07,115641.05,5.62,739,4164.59,2.98,1.45,27.36,11.86,784.55,1254.95,8.68,1859.33,725.59,3764,0,0,3382.02,55.24,680.24
"17","Sao Tome and Principe","Vegetables, fresh nes",0.075156077445368,211028,972000,"Production_kg",463,"Vegetables; fresh; nes",101,289.97,19557.51,4091.52,49004.47,290.67,1.91,0.45,1213.43,25.13,3.43,2389,28977.38,0.99,291.06,484.4,0.56,1.22,6.3,1.34,133.92,315.13,3.95,419.87,401.36,799.97,0,0,519.56,10,153.41
"18","Sao Tome and Principe","Yams",0.11,211028,2395000,"Production_kg",137,"Yams",20,1108.42,20646.92,1900.11,251844.96,123.98,0,0.25,334.6,11.43,3.35,7026.19,22880.48,1.12,92.73,466.55,1.15,0.35,5.35,3.36,170.24,194.53,2.05,294.05,82.54,598.41,0,0,736.95,10.78,165.08
