"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Senegal","Bananas",0.04075,15854323,31571000,"Production_kg/Import_kg",486,"Bananas",117,492.27,5940.97,1136.15,114075.82,52.03,0.18,0,48.14,3.9,0.81,1660.49,7640.98,0.45,31.02,123.94,0.26,0.25,4.16,1.71,47.89,138.46,1.32,542.42,127.05,276.1,0,0,355.96,4.05,173.48
"2","Senegal","Beans, green",0.0843965476190476,15854323,18890000,"Production_kg/Import_kg",414,"Beans; green",92,67.35,6437.26,768.6,10563.67,32.36,0,0,88.88,3.07,0.65,410.91,3163.3,0,23.41,150.5,0.18,1.41,1.23,0.2,11.44,42.35,0.12,68.71,25.88,132.71,0,0,117.34,1.6,17.51
"3","Senegal","Cabbages and other brassicas",0.08324,15854323,105316000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,214.4,18124.38,2432.28,34974.12,489.38,1.84,0.5,979.32,13.81,2.72,2278.83,17611.51,1.24,313.68,562.63,0.48,0.82,6.18,1.44,196.76,194.85,2.02,273.78,143.03,701.03,0,0,724.95,8.83,220.25
"4","Senegal","Carrots and turnips",0.0830718954248366,15854323,31382000,"Production_kg/Import_kg",426,"Carrots and turnips",96,72.04,3120.08,557.93,13979.3,65.23,1.45,0,158.06,3.7,0.62,693.46,4838.69,0.14,112.48,283.86,0.12,0.22,1.85,0.43,249.24,28.99,0.34,77.04,34.95,180.29,0,0,212.66,2.99,54.8
"5","Senegal","Cashew nuts, with shell",0.0289438420348059,15854323,6774000,"Production_kg",217,"Cashew nuts; with shell",43,803.38,27124.11,62127.78,35696.04,2.41,0,0,59.47,8.94,7.63,960.26,3926.66,3.12,136.45,694.55,0.79,0.23,1.93,0.64,0,446.79,1.96,11489.16,35128.82,11580.69,0,0,14.68,3.37,41.33
"6","Senegal","Cassava",0.108277777777778,15854323,1030592000,"Production_kg",125,"Cassava",17,8350,109702.75,28496.3,1863689.5,1933.11,0.61,1.53,2340.51,73.09,20.41,22572.91,88850.82,6,552.32,2365.9,3.74,3.34,34.44,5.28,1422.81,1260.72,23.05,5222.99,5253,2641.51,0,0,3771.84,84.38,1260.72
"7","Senegal","Chillies and peppers, dry",4e-04,15854323,4989000,"Production_kg/Import_kg",689,"Pimento",156,18916.96,806192.72,702203.02,3228380.17,5934.29,53.41,4.31,16321.09,574.29,207.88,143335.64,1748033.96,51.9,35696.24,14626.16,21.96,34.26,434.02,135.61,4051.47,12075.75,171.32,208473.9,133869.09,485023.04,0,0,2204.97,470.76,0
"8","Senegal","Coconuts",0.04,15854323,4544000,"Production_kg/Import_kg",249,"Coconuts - Incl Copra",58,227.5,2403.99,20166.05,9016.02,1.72,0,0,13.37,2.06,1.18,234.24,4625.56,0.37,15.18,75.41,0,0,0.48,0,8.67,20.77,2.69,21387.52,1907.74,489.39,0,0,38,0.73,29.74
"9","Senegal","Cow peas, dry",0.0623254069051863,15854323,184137000,"Production_kg",195,"Cow peas; dry",34,6168.17,403763.33,27573.33,1048948.54,17.86,0.1,7.51,1800.05,144.05,78.16,18584.37,197685.76,16.19,480.42,7566.48,10.04,2.86,50.62,6.6,2764.49,3780.76,23.55,6168.17,1975.3,10100.14,0,0,217.36,65.41,0
"10","Senegal","Eggplants (aubergines)",0.082,15854323,3353000,"Production_kg",399,"Eggplants (aubergines)",87,7.03,297.7,186.64,1364.51,1.7,0,0,4.41,0.16,0,51.79,534.62,0,1.38,11.29,0,0,0.33,0,7.6,3.31,0,6.96,3.35,14.96,0,0,23.67,0.31,5.29
