"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Senegal","Alfalfa meal and pellets",0.0651708222811671,15854323,24000,"Import_kg",862,"Mixed grain",12,0.81,26.55,5.76,171.18,0,0,0,0,0,0,0.8,24.54,0,0,0.73,0,0,0,0,0,0.28,0,1.02,1.24,2.42,0,0,0,0,0
"2","Senegal","Almonds shelled",0.0296505238073522,15854323,48000,"Import_kg",231,"Almonds; with shell",45,6.08,216.57,522.35,184.37,0.11,0,0,2.48,0,0,8.04,74.03,0,0,4.93,0,0,0,0,0.53,3.28,0,40.34,344.88,119.1,0,0,0,0,0.66
"3","Senegal","Almonds, with shell",0.0296505238073522,15854323,3000,"Import_kg",221,"Almonds; with shell",45,0.38,13.54,32.65,11.52,0,0,0,0.15,0,0,0.5,4.63,0,0,0.31,0,0,0,0,0,0.21,0,2.52,21.55,7.44,0,0,0,0,0
"4","Senegal","Anise, badian, fennel, coriander",0.00195,15854323,7000,"Import_kg",711,"Anise; badian; fennel; coriander",161,7.87,358.05,324.48,1058.12,0.24,0,0,18.41,0.73,0.11,33.59,540.64,0,1.68,10.42,0,0,0,0,12.4,7.13,0,19.07,246.5,59.51,0,0,0.23,0.15,0
"5","Senegal","Apples",0.121111111111111,15854323,19875000,"Import_kg",515,"Apples",119,58.1,321.31,304.92,13544.07,15.03,0,0,8.02,0.73,0,106.47,1466.37,0,6.03,11.24,0,0,0.19,0,167.89,4.83,0,40.37,8.8,67.8,0,0,87.47,0.27,10.35
"6","Senegal","Apricots",0.03995,15854323,11000,"Import_kg",526,"Apricots",125,0,1.74,0.44,19.77,0,0,0,0,0,0,0.51,2.37,0,0,0,0,0,0,0,0,0,0,0,0.3,0.14,0,0,0.15,0,0
"7","Senegal","Apricots, dry",0.03995,15854323,1000,"Import_kg",527,"Apricots",125,0,0.16,0,1.8,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Senegal","Artichokes",0.1,15854323,18000,"Import_kg",366,"Artichokes",79,0,2.97,0.2,13.17,0,0,0,0,0,0,0.39,2.8,0,0.12,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Senegal","Asparagus",0.0845294117647059,15854323,2000,"Import_kg",367,"Asparagus",80,0,0.32,0,0.45,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Senegal","Bambara beans",0.028,15854323,9000,"Import_kg",203,"Bambara beans",37,0.69,35.96,11.41,109.75,0,0,0,0,0,0,2.54,9.73,0,0,0.52,0,0,0,0,0,0.39,0,0,0,0,0,0,0,0,0
"11","Senegal","Bananas",0.04075,15854323,31571000,"Production_kg/Import_kg",486,"Bananas",117,492.27,5940.97,1136.15,114075.82,52.03,0.18,0,48.14,3.9,0.81,1660.49,7640.98,0.45,31.02,123.94,0.26,0.25,4.16,1.71,47.89,138.46,1.32,542.42,127.05,276.1,0,0,355.96,4.05,173.48
"12","Senegal","Beans, dry",0.1145,15854323,623000,"Import_kg",176,"Beans",30,11.31,730.73,47.12,1990.53,0,0,0,4.8,0.25,0.1,40.13,425.65,0,0.54,13.27,0,0,0,0,3.79,5.93,0,10.61,4.71,16.32,0,0,0.4,0.13,0
"13","Senegal","Beans, green",0.0843965476190476,15854323,18890000,"Production_kg/Import_kg",414,"Beans; green",92,67.35,6437.26,768.6,10563.67,32.36,0,0,88.88,3.07,0.65,410.91,3163.3,0,23.41,150.5,0.18,1.41,1.23,0.2,11.44,42.35,0.12,68.71,25.88,132.71,0,0,117.34,1.6,17.51
"14","Senegal","Bran, wheat",0.0374838709677419,15854323,30504000,"Import_kg",17,"Wheat Flour",222,1773.51,58884.44,7764.53,365192.72,0.96,0,0.13,205.26,13.97,6.59,882.86,6741.24,0.5,165.69,949.68,1.8,0.68,11.75,0.63,53.38,232.69,4.32,795.6,446.56,2119.9,0,0,59.46,4.91,0
"15","Senegal","Broad beans, horse beans, dry",0.052,15854323,2000,"Import_kg",181,"Broad beans; horse beans; dry",32,0,5.82,0.39,13.34,0,0,0,0,0,0,0.29,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0
"16","Senegal","Bulgur",0.0442045454545455,15854323,25000,"Import_kg",21,"Wheat",1,1.2,40.81,6.55,247.39,0,0,0,0.15,0,0,1.22,18.05,0,0,1.09,0,0,0,0,0.11,0.49,0,1.53,1.01,4.16,0,0,0,0,0
