"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Solomon Islands","Apples",0.121111111111111,652857,137000,"Import_kg",515,"Apples",119,9.73,53.79,51.04,2267.21,2.52,0,0,1.34,0.12,0,17.82,245.46,0,1.01,1.88,0,0,0,0,28.1,0.81,0,6.76,1.47,11.35,0,0,14.64,0,1.73
"2","Solomon Islands","Beans, dry",0.1145,652857,3000,"Import_kg",176,"Beans",30,1.32,85.45,5.51,232.77,0,0,0,0.56,0,0,4.69,49.78,0,0,1.55,0,0,0,0,0.44,0.69,0,1.24,0.55,1.91,0,0,0,0,0
"3","Solomon Islands","Cabbages and other brassicas",0.08324,652857,39000,"Import_kg",358,"Cabbages and other brassicas",78,1.93,162.99,21.87,314.52,4.4,0,0,8.81,0.12,0,20.49,158.38,0,2.82,5.06,0,0,0,0,1.77,1.75,0,2.46,1.29,6.3,0,0,6.52,0,1.98
"4","Solomon Islands","Cake, rapeseed",0.0137773983739837,652857,1000,"Import_kg",272,"Rape and Mustard Oil",66,9.95,0,1111.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.82,657.66,308.6,0,0,0,0,0
"5","Solomon Islands","Cake, soybeans",0.014,652857,2000,"Import_kg",238,"Soyabean Oil",63,19.57,0,2185.78,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579.1,511.84,991.13,0,0,0,0,0
"6","Solomon Islands","Carrots and turnips",0.0830718954248366,652857,32000,"Import_kg",426,"Carrots and turnips",96,1.78,77.26,13.82,346.17,1.62,0,0,3.91,0,0,17.17,119.82,0,2.79,7.03,0,0,0,0,6.17,0.72,0,1.91,0.87,4.46,0,0,5.27,0,1.36
"7","Solomon Islands","Cauliflowers and broccoli",0.103835520801038,652857,10000,"Import_kg",393,"Cauliflowers and broccoli",84,0.42,45.69,4.77,60.02,1.19,0,0,0.65,0,0,4.37,28.03,0,0.44,1.6,0,0,0,0,0.93,0.27,0,0.92,0.28,0.48,0,0,1.28,0,0.71
"8","Solomon Islands","Cherries",0.1289,652857,1000,"Import_kg",531,"Cherries",127,0,1.29,0.21,12.37,0,0,0,0,0,0,0.3,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Solomon Islands","Chick peas",0.04575,652857,1000,"Import_kg",191,"Chick peas",33,1.18,65.1,16.85,195.25,0,0,0,0.46,0,0,2.71,25.56,0,0,1.04,0,0,0,0,0.49,0.33,0,2.06,4.57,8.91,0,0,0,0,0
"10","Solomon Islands","Chillies and peppers, green",0.0664142191142191,652857,4000,"Import_kg",401,"Chillies and peppers; green",88,0.36,16.43,6.13,63.73,1.06,0,0,0.26,0,0,2.6,29.66,0,0,0.94,0,0,0,0,0,0.33,0,0.38,0.16,1.68,0,0,0.81,0,0.15
"11","Solomon Islands","Chocolate products nes",0.0115,652857,68000,"Import_kg",666,"Cocoa Beans",153,206.5,14614.67,37453.25,52441.07,0,0,0,97.15,4.6,6.17,908.89,33511.57,3.43,7.47,531.19,0.15,0.18,1.67,0.11,10.87,451.95,3.48,20847.36,14394.12,778.92,0,0,3.51,3.6,0
"12","Solomon Islands","Cider etc",0.0683571428571429,652857,5000,"Import_kg",517,"Fruit juice; nes",149,0.56,2.78,1.52,136.29,0.84,0,0,0.11,0,0,1.21,3.19,0,0,0,0,0,0,0,0,0,0,0.28,0.38,0.7,0,0,0.99,0,0
"13","Solomon Islands","Cocoa, powder & cake",0.0115,652857,9000,"Import_kg",665,"Cocoa Beans",153,27.33,1934.29,4957.05,6940.73,0,0,0,12.86,0.61,0.82,120.29,4435.35,0.45,0.99,70.3,0,0,0.22,0,1.44,59.82,0.46,2759.21,1905.1,103.09,0,0,0.47,0.48,0
"14","Solomon Islands","Coconuts",0.04,652857,10000,"Import_kg",249,"Coconuts - Incl Copra",58,12.16,128.48,1077.74,481.84,0,0,0,0.71,0.11,0,12.52,247.2,0,0.81,4.03,0,0,0,0,0.46,1.11,0.14,1143.01,101.96,26.15,0,0,2.03,0,1.59
