"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","South Africa","Alfalfa meal and pellets",0.0651708222811671,57792518,3171000,"Import_kg",862,"Mixed grain",12,29.32,962.41,208.8,6204.61,0,0,0,2.07,0.28,0.22,29.02,889.63,0,0.46,26.61,0,0,0.36,0,2.75,9.98,0.22,36.99,44.83,87.79,0,0,0.91,0.14,0
"2","South Africa","Almonds shelled",0.0296505238073522,57792518,3255000,"Import_kg",231,"Almonds; with shell",45,113.1,4028.91,9717.3,3429.92,1.98,0,0,46.1,0.59,0.69,149.56,1377.16,0.19,0.92,91.69,0,0.15,0.74,0,9.9,61.07,0.4,750.51,6415.77,2215.71,0,0,0.94,0.56,12.35
"3","South Africa","Almonds, with shell",0.0296505238073522,57792518,157000,"Import_kg",221,"Almonds; with shell",45,5.46,194.33,468.7,165.44,0,0,0,2.22,0,0,7.21,66.43,0,0,4.42,0,0,0,0,0.48,2.95,0,36.2,309.45,106.87,0,0,0,0,0.6
"4","South Africa","Anise, badian, fennel, coriander",0.00195,57792518,7808000,"Import_kg",711,"Anise; badian; fennel; coriander",161,2408.2,109561.26,99289.89,323781.92,72.4,0.16,0,5634.69,222.36,32.13,10278.3,165435.03,6.5,512.7,3187.7,2.27,2.09,21.33,3.46,3795.73,2182.45,18.9,5835.11,75429.6,18209.25,0,0,69.02,46.64,0
"5","South Africa","Apples",0.121111111111111,57792518,340000,"Import_kg",515,"Apples",119,0.27,1.51,1.43,63.56,0,0,0,0,0,0,0.5,6.88,0,0,0,0,0,0,0,0.79,0,0,0.19,0,0.32,0,0,0.41,0,0
"6","South Africa","Apricots",0.03995,57792518,19000,"Import_kg",526,"Apricots",125,0,0.82,0.21,9.37,0,0,0,0,0,0,0.24,1.12,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0
"7","South Africa","Apricots, dry",0.03995,57792518,236000,"Import_kg",527,"Apricots",125,0.5,10.22,2.61,116.36,0,0,0,0.17,0,0,2.98,13.97,0,0,0.24,0,0,0,0,0,0.1,0,0.29,1.74,0.8,0,0,0.88,0,0
"8","South Africa","Artichokes",0.1,57792518,10000,"Import_kg",366,"Artichokes",79,0,0.45,0,2.01,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","South Africa","Asparagus",0.0845294117647059,57792518,1425000,"Import_kg",367,"Asparagus",80,0.59,62.92,5.92,88.82,0.63,0,0,0.61,0,0,6.32,70.98,0,0.13,2.45,0,0,0,0,0.47,0.41,0,1.31,0.15,2.04,0,0,2.71,0,1.37
"10","South Africa","Avocados",0.048,57792518,2522000,"Import_kg",572,"Avocados",141,13.24,146.23,1280.76,394.57,1.16,0,0,1.87,0,0,46.37,398.51,0,0.6,15.43,0,0,0.13,0,1.29,2.75,0,217.42,722.06,151.28,0,0,6.99,0.11,3.45
"11","South Africa","Bambara beans",0.028,57792518,11000,"Import_kg",203,"Bambara beans",37,0.23,12.06,3.83,36.8,0,0,0,0,0,0,0.85,3.26,0,0,0.18,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0
"12","South Africa","Bananas",0.04075,57792518,155622000,"Import_kg",486,"Bananas",117,665.68,8033.71,1536.37,154259.65,70.35,0.24,0.12,65.1,5.28,1.09,2245.41,10332.55,0.61,41.94,167.6,0.35,0.33,5.63,2.31,64.76,187.23,1.78,733.49,171.81,373.35,0,0,481.35,5.48,234.58
"13","South Africa","Barley",0.04775,57792518,12027000,"Import_kg",44,"Barley",3,149.99,3985.4,606.49,32493.88,0.29,0,0,24.3,3.39,1.1,112.22,3610.09,0.28,9.33,127.47,0.11,0,2.33,0.13,16.47,33.85,0.62,158.2,96.75,363.48,0,0,5.12,0.8,0
"14","South Africa","Beans, dry",0.1145,57792518,17247000,"Import_kg",176,"Beans",30,85.88,5549.53,357.84,15117.2,0.47,0,0.11,36.47,1.9,0.76,304.76,3232.61,0.23,4.07,100.8,0.12,0,0.52,0.1,28.77,45.06,0.34,80.57,35.77,123.95,0,0,3.06,1,0
"15","South Africa","Beans, green",0.0843965476190476,57792518,473000,"Import_kg",414,"Beans; green",92,0.46,44.22,5.28,72.56,0.22,0,0,0.61,0,0,2.82,21.73,0,0.16,1.03,0,0,0,0,0,0.29,0,0.47,0.18,0.91,0,0,0.81,0,0.12
"16","South Africa","Bran, maize",0.0538461538461538,57792518,52897000,"Import_kg",59,"Corn Flour",223,604.37,14444.71,5576.09,123986.93,0.62,0,0,47.66,6.43,2.26,361.87,7610.98,0.27,12.12,334.68,0.46,0.18,3.04,0.36,0,97.86,0,501.87,1816.27,3015.07,0,0,17.71,1.96,0
