"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","South Africa","Alfalfa meal and pellets",0.0651708222811671,57792518,3171000,"Import_kg",862,"Mixed grain",12,29.32,962.41,208.8,6204.61,0,0,0,2.07,0.28,0.22,29.02,889.63,0,0.46,26.61,0,0,0.36,0,2.75,9.98,0.22,36.99,44.83,87.79,0,0,0.91,0.14,0
"2","South Africa","Almonds shelled",0.0296505238073522,57792518,3255000,"Import_kg",231,"Almonds; with shell",45,113.1,4028.91,9717.3,3429.92,1.98,0,0,46.1,0.59,0.69,149.56,1377.16,0.19,0.92,91.69,0,0.15,0.74,0,9.9,61.07,0.4,750.51,6415.77,2215.71,0,0,0.94,0.56,12.35
"3","South Africa","Almonds, with shell",0.0296505238073522,57792518,157000,"Import_kg",221,"Almonds; with shell",45,5.46,194.33,468.7,165.44,0,0,0,2.22,0,0,7.21,66.43,0,0,4.42,0,0,0,0,0.48,2.95,0,36.2,309.45,106.87,0,0,0,0,0.6
"4","South Africa","Anise, badian, fennel, coriander",0.00195,57792518,7808000,"Import_kg",711,"Anise; badian; fennel; coriander",161,2408.2,109561.26,99289.89,323781.92,72.4,0.16,0,5634.69,222.36,32.13,10278.3,165435.03,6.5,512.7,3187.7,2.27,2.09,21.33,3.46,3795.73,2182.45,18.9,5835.11,75429.6,18209.25,0,0,69.02,46.64,0
"5","South Africa","Apples",0.121111111111111,57792518,892319000,"Production_kg/Import_kg",515,"Apples",119,715.65,3957.4,3755.54,166816.21,185.09,0,0,98.8,8.94,0.82,1311.29,18060.6,0.37,74.26,138.41,0.58,0.36,2.39,0.51,2067.83,59.49,0.45,497.2,108.36,835.04,0,0,1077.31,3.28,127.49
"6","South Africa","Apricots",0.03995,57792518,25277000,"Production_kg/Import_kg",526,"Apricots",125,54.08,1094.81,279.96,12463.27,7.32,0.14,0,18.61,0.87,0.24,319.32,1496.23,0,1.45,26.09,0,0.12,0.85,0,3.07,10.95,0,31.2,186.12,85.94,0,0,93.72,0.86,9.31
"7","South Africa","Apricots, dry",0.03995,57792518,236000,"Import_kg",527,"Apricots",125,0.5,10.22,2.61,116.36,0,0,0,0.17,0,0,2.98,13.97,0,0,0.24,0,0,0,0,0,0.1,0,0.29,1.74,0.8,0,0,0.88,0,0
"8","South Africa","Artichokes",0.1,57792518,10000,"Import_kg",366,"Artichokes",79,0,0.45,0,2.01,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","South Africa","Asparagus",0.0845294117647059,57792518,1689000,"Production_kg/Import_kg",367,"Asparagus",80,0.7,74.58,7.01,105.28,0.75,0,0,0.73,0,0,7.49,84.13,0,0.16,2.9,0,0,0,0,0.55,0.48,0,1.56,0.17,2.42,0,0,3.21,0,1.62
"10","South Africa","Avocados",0.048,57792518,91587000,"Production_kg/Import_kg",572,"Avocados",141,480.96,5310.4,46511.1,14328.83,42.23,0.11,0.19,67.89,3.17,1.59,1683.92,14471.9,0.7,21.78,560.44,0.21,0.46,4.57,1.01,46.88,99.87,0.47,7895.71,26221.92,5493.82,0,0,253.87,3.87,125.46
"11","South Africa","Bambara beans",0.028,57792518,11000,"Import_kg",203,"Bambara beans",37,0.23,12.06,3.83,36.8,0,0,0,0,0,0,0.85,3.26,0,0,0.18,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0
"12","South Africa","Bananas",0.04075,57792518,560757000,"Production_kg/Import_kg",486,"Bananas",117,2398.65,28948.08,5536.03,555848.02,253.5,0.87,0.44,234.58,19.02,3.93,8090.94,37231.56,2.2,151.12,603.93,1.27,1.2,20.27,8.31,233.35,674.64,6.43,2643.01,619.08,1345.31,0,0,1734.46,19.74,845.29
"13","South Africa","Barley",0.04775,57792518,357027000,"Production_kg/Import_kg",44,"Barley",3,4452.41,118308.52,18003.79,964595.71,8.63,0,0.27,721.28,100.63,32.71,3331.45,107167.03,8.27,276.87,3783.92,3.4,1.67,69.18,3.74,489.04,1004.83,18.39,4696.37,2872.16,10790.02,0,0,151.92,23.7,0
"14","South Africa","Beans, dry",0.1145,57792518,83602000,"Production_kg/Import_kg",176,"Beans",30,416.31,26900.42,1734.55,73278.13,2.29,0,0.52,176.77,9.21,3.69,1477.27,15669.53,1.1,19.73,488.62,0.57,0.28,2.53,0.49,139.48,218.43,1.65,390.53,173.41,600.82,0,0,14.81,4.83,0
"15","South Africa","Beans, green",0.0843965476190476,57792518,21470000,"Production_kg/Import_kg",414,"Beans; green",92,21,2007.14,239.65,3293.75,10.09,0,0,27.71,0.96,0.2,128.12,986.32,0,7.3,46.93,0,0.44,0.38,0,3.57,13.21,0,21.42,8.07,41.38,0,0,36.59,0.5,5.46
