"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Spain","Alfalfa meal and pellets",0.0651708222811671,46692858,568000,"Import_kg",862,"Mixed grain",12,6.5,213.37,46.29,1375.59,0,0,0,0.46,0,0,6.43,197.23,0,0.1,5.9,0,0,0,0,0.61,2.21,0,8.2,9.94,19.46,0,0,0.2,0,0
"2","Spain","Almonds shelled",0.0296505238073522,46692858,93648000,"Import_kg",231,"Almonds; with shell",45,4027.35,143468.43,346030.5,122138.69,70.35,0,0.3,1641.77,21.13,24.49,5325.67,49040.36,6.87,32.64,3265.07,1.44,5.19,26.41,0.93,352.41,2174.69,14.13,26725.31,228463.84,78900.87,0,0,33.64,19.85,439.67
"3","Spain","Almonds, with shell",0.0296505238073522,46692858,17485000,"Import_kg",221,"Almonds; with shell",45,751.95,26786.96,64607.29,22804.49,13.13,0,0,306.53,3.94,4.57,994.35,9156.32,1.28,6.09,609.62,0.27,0.97,4.93,0.17,65.8,406.04,2.64,4989.88,42656.44,14731.57,0,0,6.28,3.71,82.09
"4","Spain","Anise, badian, fennel, coriander",0.00195,46692858,3899000,"Import_kg",711,"Anise; badian; fennel; coriander",161,1488.43,67716.05,61367.67,200118.47,44.75,0.1,0,3482.61,137.43,19.86,6352.66,102249.71,4.02,316.88,1970.21,1.4,1.29,13.18,2.14,2346.01,1348.9,11.68,3606.48,46620.44,11254.51,0,0,42.66,28.83,0
"5","Spain","Apples",0.121111111111111,46692858,218454000,"Import_kg",515,"Apples",119,216.85,1199.14,1137.98,50547.45,56.09,0,0,29.94,2.71,0.25,397.34,5472.59,0.11,22.5,41.94,0.18,0.11,0.72,0.16,626.58,18.03,0.14,150.66,32.84,253.03,0,0,326.44,0.99,38.63
"6","Spain","Apricots",0.03995,46692858,763000,"Import_kg",526,"Apricots",125,2.02,40.9,10.46,465.64,0.27,0,0,0.7,0,0,11.93,55.9,0,0,0.97,0,0,0,0,0.11,0.41,0,1.17,6.95,3.21,0,0,3.5,0,0.35
"7","Spain","Apricots, dry",0.03995,46692858,2107000,"Import_kg",527,"Apricots",125,5.58,112.95,28.88,1285.86,0.75,0,0,1.92,0,0,32.94,154.37,0,0.15,2.69,0,0,0,0,0.32,1.13,0,3.22,19.2,8.87,0,0,9.67,0,0.96
"8","Spain","Artichokes",0.1,46692858,612000,"Import_kg",366,"Artichokes",79,0.73,34.3,2.29,152.07,0.11,0,0,1.09,0,0,4.49,32.33,0,1.39,1.28,0,0,0,0,0.45,0.79,0,0.56,0,0.81,0,0,1.13,0,0.79
"9","Spain","Asparagus",0.0845294117647059,46692858,13463000,"Import_kg",367,"Asparagus",80,6.91,735.8,69.19,1038.65,7.4,0,0,7.16,0.37,0.18,73.93,830.01,0,1.58,28.6,0,0,0.31,0,5.46,4.78,0,15.35,1.71,23.88,0,0,31.66,0.22,16.03
"10","Spain","Avocados",0.048,46692858,136833000,"Import_kg",572,"Avocados",141,889.38,9819.86,86007.2,26496.52,78.1,0.21,0.36,125.55,5.87,2.95,3113.86,26761.08,1.29,40.27,1036.36,0.38,0.86,8.45,1.86,86.69,184.68,0.87,14600.56,48488.94,10159.04,0,0,469.45,7.16,232
"11","Spain","Bambara beans",0.028,46692858,2000,"Import_kg",203,"Bambara beans",37,0,2.71,0.86,8.28,0,0,0,0,0,0,0.19,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Spain","Bananas",0.04075,46692858,359368000,"Import_kg",486,"Bananas",117,1902.62,22961.78,4391.21,440901.85,201.08,0.69,0.35,186.07,15.09,3.12,6417.78,29532.29,1.74,119.87,479.04,1.01,0.96,16.08,6.59,185.09,535.13,5.1,2096.45,491.06,1067.11,0,0,1375.78,15.66,670.49
"13","Spain","Barley",0.04775,46692858,1221055000,"Import_kg",44,"Barley",3,18847.34,500808.11,76211.28,4083199.97,36.51,0,1.15,3053.21,425.99,138.45,14102.26,453645.42,35.01,1171.99,16017.58,14.4,7.08,292.85,15.83,2070.16,4253.5,77.86,19880.07,12158.06,45674.88,0,0,643.08,100.33,0
