"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Syrian Arab Republic","Almonds, with shell",0.0296505238073522,16945057,7000,"Import_kg",221,"Almonds; with shell",45,0.83,29.55,71.27,25.16,0,0,0,0.34,0,0,1.1,10.1,0,0,0.67,0,0,0,0,0,0.45,0,5.5,47.06,16.25,0,0,0,0,0
"2","Syrian Arab Republic","Anise, badian, fennel, coriander",0.00195,16945057,7e+05,"Import_kg",711,"Anise; badian; fennel; coriander",161,736.34,33499.92,30359.31,99000.96,22.14,0,0,1722.89,67.99,9.82,3142.74,50584.13,1.99,156.77,974.68,0.69,0.64,6.52,1.06,1160.6,667.32,5.78,1784.17,23063.68,5567.74,0,0,21.1,14.26,0
"3","Syrian Arab Republic","Apples",0.121111111111111,16945057,44090000,"Import_kg",515,"Apples",119,120.6,666.9,632.88,28111.68,31.19,0,0,16.65,1.51,0.14,220.98,3043.55,0,12.51,23.33,0,0,0.4,0,348.47,10.03,0,83.79,18.26,140.72,0,0,181.55,0.55,21.48
"4","Syrian Arab Republic","Apricots",0.03995,16945057,3487000,"Import_kg",526,"Apricots",125,25.45,515.1,131.72,5863.91,3.44,0,0,8.76,0.41,0.11,150.24,703.97,0,0.68,12.28,0,0,0.4,0,1.44,5.15,0,14.68,87.57,40.44,0,0,44.1,0.41,4.38
"5","Syrian Arab Republic","Artichokes",0.1,16945057,15000,"Import_kg",366,"Artichokes",79,0,2.32,0.15,10.27,0,0,0,0,0,0,0.3,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Syrian Arab Republic","Bananas",0.04075,16945057,41343000,"Import_kg",486,"Bananas",117,603.15,7279.07,1392.05,139769.35,63.74,0.22,0.11,58.99,4.78,0.99,2034.49,9361.97,0.55,38,151.86,0.32,0.3,5.1,2.09,58.68,169.64,1.62,664.59,155.67,338.28,0,0,436.13,4.96,212.55
"7","Syrian Arab Republic","Barley",0.04775,16945057,15937000,"Import_kg",44,"Barley",3,677.84,18011.51,2740.93,146851.85,1.31,0,0,109.81,15.32,4.98,507.19,16315.31,1.26,42.15,576.07,0.52,0.25,10.53,0.57,74.45,152.98,2.8,714.98,437.26,1642.69,0,0,23.13,3.61,0
"8","Syrian Arab Republic","Beans, dry",0.1145,16945057,13707000,"Import_kg",176,"Beans",30,232.79,15042.27,969.93,40975.92,1.28,0,0.29,98.85,5.15,2.06,826.06,8762.14,0.62,11.04,273.23,0.32,0.16,1.41,0.27,77.99,122.14,0.92,218.38,96.97,335.97,0,0,8.28,2.7,0
"9","Syrian Arab Republic","Beans, green",0.0843965476190476,16945057,12000,"Import_kg",414,"Beans; green",92,0,3.83,0.46,6.28,0,0,0,0,0,0,0.24,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Syrian Arab Republic","Broad beans, horse beans, dry",0.052,16945057,162000,"Import_kg",181,"Broad beans; horse beans; dry",32,6.15,441.2,29.2,1011.16,0,0,0,1.82,0.15,0,21.94,356.06,0,0.34,7.01,0,0,0,0,1.76,3.52,0,4.63,5.54,11.1,0,0,0.19,0,0.5
