"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Togo","Bananas",0.04075,7889093,72000,"Import_kg",486,"Bananas",117,2.26,27.23,5.21,522.83,0.24,0,0,0.22,0,0,7.61,35.02,0,0.14,0.57,0,0,0,0,0.22,0.63,0,2.49,0.58,1.27,0,0,1.63,0,0.8
"2","Togo","Beans, dry",0.1145,7889093,102000,"Import_kg",176,"Beans",30,3.72,240.43,15.5,654.94,0,0,0,1.58,0,0,13.2,140.05,0,0.18,4.37,0,0,0,0,1.25,1.95,0,3.49,1.55,5.37,0,0,0.13,0,0
"3","Togo","Cabbages and other brassicas",0.08324,7889093,25000,"Import_kg",358,"Cabbages and other brassicas",78,0.1,8.65,1.16,16.68,0.23,0,0,0.47,0,0,1.09,8.4,0,0.15,0.27,0,0,0,0,0,0,0,0.13,0,0.33,0,0,0.35,0,0.11
"4","Togo","Cashew nuts, with shell",0.0289438420348059,7889093,148000,"Import_kg",217,"Cashew nuts; with shell",43,35.27,1190.95,2727.87,1567.32,0.11,0,0,2.61,0.39,0.33,42.16,172.41,0.14,5.99,30.5,0,0,0,0,0,19.62,0,504.46,1542.41,508.48,0,0,0.64,0.15,1.81
"5","Togo","Chick peas",0.04575,7889093,45000,"Import_kg",191,"Chick peas",33,4.39,242.42,62.76,727.08,0,0,0,1.7,0,0,10.09,95.17,0,0.25,3.87,0,0,0,0,1.83,1.23,0.14,7.69,17,33.17,0,0,0.13,0,0
"6","Togo","Chillies and peppers, dry",4e-04,7889093,24000,"Import_kg",689,"Pimento",156,182.88,7793.94,6788.61,31210.67,57.37,0.52,0,157.79,5.55,2.01,1385.71,16899.28,0.5,345.1,141.4,0.21,0.33,4.2,1.31,39.17,116.74,1.66,2015.44,1294.19,4689.01,0,0,21.32,4.55,0
"7","Togo","Coffee, green",0.00312,7889093,4000,"Import_kg",656,"Coffee",152,3.01,183.71,242.43,588.28,0,0,0,1.67,0,0,36.17,0,0,0.58,4.62,0,0,0.18,0,0.7,3.04,0,0.54,4.04,0.27,0,0,0,0,0
"8","Togo","Fruit, fresh nes",0.107099201828105,7889093,4000,"Import_kg",619,"Fresh fruit; nes",147,0,0.72,0.36,9.12,0,0,0,0,0,0,0.13,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Togo","Maize",0.0869363057324841,7889093,1031000,"Import_kg",56,"Maize",4,53.12,1299.24,514.54,10849.24,0.1,0,0,3.14,0.49,0.27,44.29,778.52,0,1.4,32.9,0,0,0.39,0,0,16.49,0,88.95,193.58,363.15,0,0,1.87,0.19,0
"10","Togo","Oranges",0.138371428571429,7889093,8000,"Import_kg",490,"Oranges; Mandarines",113,0,0.58,0.17,7.33,0,0,0,0,0,0,0.12,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Togo","Pineapples",0.1096,7889093,381000,"Import_kg",574,"Pineapples",120,2.08,20.26,9.36,487,0.98,0,0,1.58,0,0,7.07,36.69,0,0.2,0.42,0,0,0,0,7.19,0.52,0,0.86,1.17,2.64,0,0,3.84,0,1.81
"12","Togo","Rice, paddy (rice milled equivalent)",0.0488821264103023,7889093,212213000,"Import_kg",30,"Rice (Milled Equivalent)",2,19486.74,409101.93,58714.94,4276490.3,1.9,0,1.05,1900.98,121,68.26,6894.32,91910.48,8.24,515.3,8596.59,9.77,2.99,184.01,12.25,0,3210.05,55.23,6906.19,9932.81,9244.94,0,0,646.45,47.24,0
"13","Togo","Roots and tubers nes",0.125770747489689,7889093,5000,"Import_kg",149,"Roots and tubers; nes",23,0,0.98,0.39,10.93,0,0,0,0,0,0,0.24,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Togo","Sesame seed",0.0154423214285714,7889093,11795000,"Import_kg",289,"Sesameseed",59,5544.07,190033.17,469150.11,158395.04,0,0,1.12,7854.13,115.06,62.65,4687.95,115698.09,23.2,381.05,5818.1,7.07,3.14,45.09,5.76,247.86,3369.28,11.81,78205.13,211180.48,227963.96,0,0,45.24,44.55,0
"15","Togo","Soybeans",0.071,7889093,170000,"Import_kg",236,"Soyabeans",53,12.27,1073.8,528.46,722.14,0,0,0,7.21,0.26,0.12,45.54,298.82,0,0.3,18.36,0,0,0,0,3.52,7.21,0,87.47,132.84,321.49,0,0,0.27,0.15,0
"16","Togo","Spices nes",0.00767204314204314,7889093,404000,"Import_kg",723,"Spices; nes",163,157.37,6622.63,4675.37,25836.81,27.36,0.15,0.11,492.52,16.72,2.12,742.19,11200.77,0.49,39.13,131.09,0.16,0.23,3.23,0.59,97.25,172.5,3.91,1139.37,2055.58,1291.87,0,0,24.7,3.73,6.73
"17","Togo","Tomatoes",0.0714285714285714,7889093,331000,"Import_kg",388,"Tomatoes",76,1.17,55.98,14.8,213.74,1.35,0,0,0.88,0,0,11.52,67.31,0,0.65,2.37,0,0,0,0,0.39,0.76,0,1.7,1.79,4.79,0,0,5.52,0,0.38
