"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Trinidad and Tobago","Almonds, with shell",0.0296505238073522,1389843,293000,"Import_kg",221,"Almonds; with shell",45,423.32,15080.31,36372.09,12838.29,7.39,0,0,172.57,2.22,2.57,559.79,5154.75,0.72,3.43,343.2,0.15,0.55,2.78,0,37.04,228.59,1.49,2809.16,24014.38,8293.46,0,0,3.54,2.09,46.21
"2","Trinidad and Tobago","Anise, badian, fennel, coriander",0.00195,1389843,714000,"Import_kg",711,"Anise; badian; fennel; coriander",161,9157.08,416601.93,377545.5,1231166.73,275.31,0.63,0.31,21425.65,845.51,122.17,39082.78,629059.55,24.72,1949.53,12121.09,8.64,7.96,81.1,13.17,14433.1,8298.67,71.86,22187.74,286817.79,69239.87,0,0,262.44,177.35,0
"3","Trinidad and Tobago","Apples",0.121111111111111,1389843,3368000,"Import_kg",515,"Apples",119,112.32,621.11,589.43,26181.59,29.05,0,0,15.51,1.4,0.13,205.81,2834.59,0,11.66,21.72,0,0,0.37,0,324.54,9.34,0,78.03,17.01,131.06,0,0,169.08,0.51,20.01
"4","Trinidad and Tobago","Asparagus",0.0845294117647059,1389843,1000,"Import_kg",367,"Asparagus",80,0,1.84,0.17,2.59,0,0,0,0,0,0,0.18,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Trinidad and Tobago","Avocados",0.048,1389843,68000,"Import_kg",572,"Avocados",141,14.85,163.95,1435.94,442.38,1.3,0,0,2.1,0,0,51.99,446.79,0,0.67,17.3,0,0,0.14,0,1.45,3.08,0,243.77,809.55,169.61,0,0,7.84,0.12,3.87
"6","Trinidad and Tobago","Bananas",0.04075,1389843,807000,"Import_kg",486,"Bananas",117,143.54,1732.31,331.29,33262.95,15.17,0,0,14.04,1.14,0.24,484.18,2228,0.13,9.04,36.14,0,0,1.21,0.5,13.96,40.37,0.38,158.16,37.05,80.51,0,0,103.79,1.18,50.58
"7","Trinidad and Tobago","Barley",0.04775,1389843,1000,"Import_kg",44,"Barley",3,0.52,13.78,2.1,112.34,0,0,0,0,0,0,0.39,12.48,0,0,0.44,0,0,0,0,0,0.12,0,0.55,0.33,1.26,0,0,0,0,0
"8","Trinidad and Tobago","Beans, dry",0.1145,1389843,3058000,"Import_kg",176,"Beans",30,633.21,40915.3,2638.23,111455.38,3.49,0,0.79,268.87,14.01,5.61,2246.91,23833.21,1.68,30.02,743.19,0.87,0.42,3.84,0.74,212.15,332.23,2.5,593.99,263.76,913.83,0,0,22.53,7.34,0
"9","Trinidad and Tobago","Beans, green",0.0843965476190476,1389843,18000,"Import_kg",414,"Beans; green",92,0.73,69.97,8.35,114.83,0.35,0,0,0.97,0,0,4.47,34.38,0,0.25,1.64,0,0,0,0,0.12,0.46,0,0.75,0.28,1.44,0,0,1.28,0,0.19
"10","Trinidad and Tobago","Blueberries",0.134028846153846,1389843,1000,"Import_kg",552,"Blueberries",136,0,0.4,0.18,7.78,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Trinidad and Tobago","Cabbages and other brassicas",0.08324,1389843,1335000,"Import_kg",358,"Cabbages and other brassicas",78,31,2620.79,351.71,5057.26,70.76,0.27,0,141.61,2,0.39,329.52,2546.63,0.18,45.36,81.36,0,0.12,0.89,0.21,28.45,28.18,0.29,39.59,20.68,101.37,0,0,104.83,1.28,31.85
"12","Trinidad and Tobago","Carrots and turnips",0.0830718954248366,1389843,6182000,"Import_kg",426,"Carrots and turnips",96,161.88,7011.26,1253.74,31413.46,146.58,3.26,0.12,355.17,8.31,1.38,1558.3,10873.21,0.32,252.75,637.86,0.27,0.5,4.15,0.98,560.07,65.14,0.77,173.12,78.53,405.15,0,0,477.87,6.72,123.15
"13","Trinidad and Tobago","Cashew nuts, with shell",0.0289438420348059,1389843,18000,"Import_kg",217,"Cashew nuts; with shell",43,24.35,822.18,1883.19,1082.01,0,0,0,1.8,0.27,0.23,29.11,119.02,0,4.14,21.05,0,0,0,0,0,13.54,0,348.26,1064.81,351.03,0,0,0.44,0.1,1.25
"14","Trinidad and Tobago","Cauliflowers and broccoli",0.103835520801038,1389843,625000,"Import_kg",393,"Cauliflowers and broccoli",84,12.41,1341.52,140.03,1762.2,35.02,0.23,0,18.98,0.47,0.18,128.32,822.85,0,12.96,47.04,0,0,0.31,0,27.43,7.8,0,26.96,8.12,13.97,0,0,37.51,0.47,20.79
"15","Trinidad and Tobago","Cherries",0.1289,1389843,2000,"Import_kg",531,"Cherries",127,0,1.21,0.19,11.63,0,0,0,0,0,0,0.28,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Trinidad and Tobago","Cherries, sour",0.028,1389843,46000,"Import_kg",530,"Sour cherries",126,5.6,130.02,31.52,1315.22,1.18,0,0,1.62,0,0,20.45,141.85,0,0.65,1.95,0,0,0,0,0.72,1.06,0,8.04,9.69,10.64,0,0,10.28,0,1.3
"17","Trinidad and Tobago","Chick peas",0.04575,1389843,3574000,"Import_kg",191,"Chick peas",33,1979.94,109289.86,28294.21,327783.66,11.8,0,2.09,766.47,38.94,19.38,4547.22,42905.4,5.16,112.75,1744.69,2.22,0.99,9.9,3.01,824.29,556.46,63.28,3465.22,7663.95,14954.12,0,0,59.01,16.68,0
"18","Trinidad and Tobago","Chillies and peppers, dry",4e-04,1389843,135000,"Import_kg",689,"Pimento",156,5839.2,248851.98,216752.9,996522.01,1831.77,16.49,1.33,5037.92,177.27,64.17,44244.21,539575.33,16.02,11018.56,4514.74,6.78,10.58,133.97,41.86,1250.59,3727.49,52.88,64350.79,41322.11,149714.75,0,0,680.62,145.31,0
"19","Trinidad and Tobago","Chillies and peppers, green",0.0664142191142191,1389843,83000,"Import_kg",401,"Chillies and peppers; green",88,3.52,160.1,59.76,621.15,10.37,0,0,2.49,0.15,0,25.35,289.06,0,0.64,9.16,0,0,0.11,0,0.73,3.24,0,3.75,1.6,16.41,0,0,7.94,0,1.49
"20","Trinidad and Tobago","Cinnamon (cannella)",0.00115555555555556,1389843,34000,"Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Trinidad and Tobago","Cloves",0.0013,1389843,10000,"Import_kg",698,"Cloves",157,132.65,2392.82,5165.68,25003.75,0,0,0,310.31,4.77,1.28,564.54,11871.84,0.2,153.31,45.02,0,0,0.43,0.22,20.7,143.35,33.28,2187.3,770.98,1995.8,0,0,18.42,2.33,0
"22","Trinidad and Tobago","Coconuts",0.04,1389843,432000,"Import_kg",249,"Coconuts - Incl Copra",58,246.72,2607.11,21869.97,9777.82,1.86,0,0,14.5,2.23,1.28,254.04,5016.39,0.4,16.46,81.78,0,0,0.53,0,9.4,22.52,2.91,23194.65,2068.94,530.74,0,0,41.21,0.79,32.25
"23","Trinidad and Tobago","Coffee, green",0.00312,1389843,235000,"Import_kg",656,"Coffee",152,1004.11,61262.82,80844.98,196180.62,5.42,0,0,558.43,18.73,2.88,12062.63,0,1.12,192.74,1540.35,0.78,2.71,60.09,0.13,233.41,1012.59,2.06,179.54,1346.57,89.77,0,0,28.47,31.42,0
"24","Trinidad and Tobago","Currants",0.038,1389843,23000,"Import_kg",550,"Currants",135,5.45,78.39,11,1301.9,4.4,0,0,2.97,0.13,0,13,115.4,0,0,3.09,0,0,0,0,0.33,0.81,0,1.11,1.87,5.81,0,0,2.9,0,0
"25","Trinidad and Tobago","Dates",0.0393863636363636,1389843,64000,"Import_kg",577,"Dates",121,23.24,205.48,34.34,5957.96,0.79,0,0,4.85,0.19,0,70.56,577.56,0,0.23,9.4,0,0,0.19,0,0.95,4.72,0,1.87,2.1,1.11,0,0,4.42,0.16,2.03
"26","Trinidad and Tobago","Fruit, fresh nes",0.107099201828105,1389843,1093000,"Import_kg",619,"Fresh fruit; nes",147,66.09,1121.48,559.31,14151.82,28.64,0,0,39.39,2.68,0.18,204.55,2549.99,0,8.2,30.72,0,0,0.73,0,51.27,23.43,0.15,89.88,61.93,85.59,0,0,55.58,0.67,20.44
"27","Trinidad and Tobago","Fruit, tropical fresh nes",0.1073859375,1389843,3000,"Import_kg",603,"Fruit; tropical fresh; nes",146,0.19,2.97,2.4,41.74,0.22,0,0,0,0,0,0.5,5.84,0,0,0,0,0,0,0,0,0,0,1.5,3.31,0.76,0,0,0.15,0,0
"28","Trinidad and Tobago","Garlic",0.00732,1389843,3950000,"Import_kg",406,"Garlic",90,4735.92,197276.81,9718.39,991867.83,515.8,0,0.14,1995.65,53.97,45.25,17141.59,61635.94,18.74,676.35,7874.09,5.48,3.13,20.8,39.31,900.76,1514.21,51.87,3474.91,407.67,9298.78,0,0,2539.52,56.28,504.74
"29","Trinidad and Tobago","Ginger",0.02852,1389843,680000,"Import_kg",720,"Ginger",162,333.95,8374.56,3606.86,69867.9,4.78,0,0,122.01,9.45,3.1,1549.11,10127.06,0.95,42.18,150.54,0.12,0.22,6.73,0.8,70.68,251.66,57.13,4458.61,821.73,1593.71,0,0,79.85,3.82,0
"30","Trinidad and Tobago","Grapefruit (inc. pomelos)",0.15,1389843,1000,"Import_kg",507,"Grapefruit",115,0,0.34,0,3.85,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","Trinidad and Tobago","Grapes",0.1235,1389843,1323000,"Import_kg",560,"Grapes",122,47.42,413.77,182.53,11258.05,3.96,0,0,11.52,0.48,0,139.66,1629.64,0,2.48,15.67,0,0.1,0.17,0,4.32,20.81,0.53,91.98,10.53,71.94,0,0,64.17,0.37,10.79
"32","Trinidad and Tobago","Kiwi fruit",0.145,1389843,12000,"Import_kg",592,"Kiwi fruit",144,0.37,6.28,4.02,81.85,0.54,0,0,0.19,0,0,1.98,14.89,0,0,0.26,0,0,0,0,0,0,0,0.37,0.36,1.38,0,0,0.49,0,0.15
"33","Trinidad and Tobago","Leeks, other alliaceous vegetables",0.083270092226614,1389843,10000,"Import_kg",407,"Leeks; other alliaceous veg.",91,0.41,18.51,2.57,82.95,0.16,0,0,0.54,0,0,1.61,16.07,0,0.12,0.64,0,0,0,0,0,0.5,0,0.65,0.31,1.45,0,0,0.74,0,0.24
"34","Trinidad and Tobago","Lemons and limes",0.0785,1389843,3000,"Import_kg",497,"Lemons; Limes",114,0.1,2.08,1.15,22.85,0.11,0,0,0.1,0,0,0.58,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0.25,0,0
