"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Trinidad and Tobago","Avocados",0.048,1389843,729000,"Production_kg/Import_kg",572,"Avocados",141,159.19,1757.63,15394.17,4742.53,13.98,0,0,22.47,1.05,0.53,557.34,4789.88,0.23,7.21,185.49,0,0.15,1.51,0.33,15.52,33.06,0.16,2613.31,8678.89,1818.33,0,0,84.03,1.28,41.52
"2","Trinidad and Tobago","Bananas",0.04075,1389843,3056000,"Production_kg/Import_kg",486,"Bananas",117,543.56,6560.01,1254.54,125962.3,57.45,0.2,0.1,53.16,4.31,0.89,1833.51,8437.15,0.5,34.25,136.86,0.29,0.27,4.59,1.88,52.88,152.88,1.46,598.94,140.29,304.87,0,0,393.05,4.47,191.55
"3","Trinidad and Tobago","Cabbages and other brassicas",0.08324,1389843,1963000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,45.59,3853.64,517.16,7436.26,104.05,0.39,0.11,208.23,2.94,0.58,484.53,3744.59,0.26,66.7,119.63,0.1,0.17,1.31,0.31,41.83,41.43,0.43,58.21,30.41,149.05,0,0,154.14,1.88,46.83
"4","Trinidad and Tobago","Cassava",0.108277777777778,1389843,2355000,"Production_kg",125,"Cassava",17,217.66,2859.59,742.8,48580.24,50.39,0,0,61.01,1.91,0.53,588.4,2316.05,0.16,14.4,61.67,0,0,0.9,0.14,37.09,32.86,0.6,136.15,136.93,68.86,0,0,98.32,2.2,32.86
"5","Trinidad and Tobago","Cauliflowers and broccoli",0.103835520801038,1389843,785000,"Production_kg/Import_kg",393,"Cauliflowers and broccoli",84,15.59,1684.95,175.88,2213.33,43.99,0.29,0,23.85,0.59,0.23,161.16,1033.5,0,16.28,59.08,0,0,0.39,0,34.45,9.79,0,33.86,10.2,17.54,0,0,47.11,0.59,26.11
"6","Trinidad and Tobago","Chillies and peppers, green",0.0664142191142191,1389843,2397000,"Production_kg/Import_kg",401,"Chillies and peppers; green",88,101.77,4623.59,1725.73,17938.45,299.46,0.32,0,71.78,4.22,0.81,732.11,8347.9,0.4,18.42,264.56,0.33,0.31,3.08,0.92,20.97,93.69,0.61,108.29,46.33,473.85,0,0,229.22,2.29,42.99
"7","Trinidad and Tobago","Cocoa, beans",0.0115,1389843,228000,"Production_kg",661,"Cocoa Beans",153,325.24,23017.98,58988.56,82594.25,0,0,0,153.01,7.24,9.71,1431.49,52780.44,5.4,11.77,836.62,0.24,0.28,2.63,0.17,17.12,711.82,5.47,32834.42,22670.62,1226.79,0,0,5.53,5.67,0
"8","Trinidad and Tobago","Coconuts",0.04,1389843,15471000,"Production_kg/Import_kg",249,"Coconuts - Incl Copra",58,8835.61,93367.22,783218.4,350168.32,66.76,0,0.54,519.38,79.86,45.91,9097.66,179649.61,14.24,589.44,2928.81,1.75,0.88,18.82,1.15,336.73,806.57,104.36,830658.35,74093.87,19006.99,0,0,1475.84,28.46,1154.89
"9","Trinidad and Tobago","Coffee, green",0.00312,1389843,258000,"Production_kg/Import_kg",656,"Coffee",152,1102.39,67258.75,88757.46,215381.27,5.95,0,0.1,613.08,20.56,3.16,13243.23,0,1.23,211.6,1691.11,0.86,2.97,65.97,0.14,256.25,1111.7,2.27,197.12,1478.37,98.56,0,0,31.25,34.49,0
"10","Trinidad and Tobago","Cow peas, dry",0.0623254069051863,1389843,537000,"Production_kg",195,"Cow peas; dry",34,205.2,13432.04,917.29,34895.5,0.59,0,0.25,59.88,4.79,2.6,618.25,6576.44,0.54,15.98,251.72,0.33,0,1.68,0.22,91.97,125.78,0.78,205.2,65.71,336,0,0,7.23,2.18,0
