"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Uganda","Almonds shelled",0.0296505238073522,42729036,6000,"Import_kg",231,"Almonds; with shell",45,0.28,10.04,24.23,8.55,0,0,0,0.11,0,0,0.37,3.43,0,0,0.23,0,0,0,0,0,0.15,0,1.87,16,5.52,0,0,0,0,0
"2","Uganda","Anise, badian, fennel, coriander",0.00195,42729036,259000,"Import_kg",711,"Anise; badian; fennel; coriander",161,108.04,4915.47,4454.65,14526.5,3.25,0,0,252.8,9.98,1.44,461.14,7422.26,0.29,23,143.02,0.1,0,0.96,0.16,170.3,97.92,0.85,261.79,3384.16,816.96,0,0,3.1,2.09,0
"3","Uganda","Apples",0.121111111111111,42729036,3018000,"Import_kg",515,"Apples",119,3.27,18.1,17.18,763.11,0.85,0,0,0.45,0,0,6,82.62,0,0.34,0.63,0,0,0,0,9.46,0.27,0,2.27,0.5,3.82,0,0,4.93,0,0.58
"4","Uganda","Avocados",0.048,42729036,3000,"Import_kg",572,"Avocados",141,0,0.24,2.06,0.63,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0.35,1.16,0.24,0,0,0,0,0
"5","Uganda","Bananas",0.04075,42729036,544629000,"Production_kg",486,"Bananas",117,3150.95,38027.2,7272.32,730181.2,333.01,1.15,0.58,308.15,24.99,5.16,10628.54,48908.67,2.89,198.52,793.34,1.67,1.58,26.63,10.92,306.53,886.23,8.45,3471.95,813.25,1767.25,0,0,2278.45,25.93,1110.4
"6","Uganda","Barley",0.04775,42729036,24844000,"Import_kg",44,"Barley",3,419.05,11134.87,1694.47,90785.04,0.81,0,0,67.88,9.47,3.08,313.55,10086.26,0.78,26.06,356.13,0.32,0.16,6.51,0.35,46.03,94.57,1.73,442.01,270.32,1015.53,0,0,14.3,2.23,0
"7","Uganda","Beans, dry",0.1145,42729036,1002920000,"Production_kg/Import_kg",176,"Beans",30,6754.87,436472.81,28143.91,1188974.42,37.19,0.11,8.38,2868.19,149.48,59.87,23969.39,254245.95,17.88,320.2,7928.18,9.26,4.53,40.97,7.95,2263.12,3544.15,26.7,6336.54,2813.71,9748.53,0,0,240.33,78.32,0
"8","Uganda","Beans, green",0.0843965476190476,42729036,2053000,"Import_kg",414,"Beans; green",92,2.72,259.59,30.99,425.99,1.3,0,0,3.58,0.12,0,16.57,127.56,0,0.94,6.07,0,0,0,0,0.46,1.71,0,2.77,1.04,5.35,0,0,4.73,0,0.71
"9","Uganda","Bran, maize",0.0538461538461538,42729036,35000,"Import_kg",59,"Corn Flour",223,0.54,12.93,4.99,110.96,0,0,0,0,0,0,0.32,6.81,0,0,0.3,0,0,0,0,0,0,0,0.45,1.63,2.7,0,0,0,0,0
"10","Uganda","Cabbages and other brassicas",0.08324,42729036,99000,"Import_kg",358,"Cabbages and other brassicas",78,0,6.32,0.85,12.2,0.17,0,0,0.34,0,0,0.79,6.14,0,0.11,0.2,0,0,0,0,0,0,0,0,0,0.24,0,0,0.25,0,0
"11","Uganda","Cake, cottonseed",0.014,42729036,5e+06,"Import_kg",332,"Cottonseed Oil",67,749.88,0,83555.32,16.72,0,0,0,4.74,0.56,0.21,0,0,0,1.25,0,0,0,0,0,0.17,0,0,21480.88,15609.16,43860.27,0,0,0,0,0
"12","Uganda","Cake, palm kernel",0.012,42729036,35000,"Import_kg",259,"Palmkernel Oil",68,6.01,0,682.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556.32,77.82,10.92,0,0,0,0,0
"13","Uganda","Cake, soybeans",0.014,42729036,560000,"Import_kg",238,"Soyabean Oil",63,83.7,0,9351.02,0.78,0,0,0,0.15,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,2477.45,2189.72,4240.19,0,0,0,0,0
"14","Uganda","Carrots and turnips",0.0830718954248366,42729036,13898000,"Import_kg",426,"Carrots and turnips",96,11.84,512.7,91.68,2297.11,10.72,0.24,0,25.97,0.61,0.1,113.95,795.1,0,18.48,46.64,0,0,0.3,0,40.95,4.76,0,12.66,5.74,29.63,0,0,34.94,0.49,9.01
"15","Uganda","Cashew nuts, shelled",0.0289438420348059,42729036,3000,"Import_kg",230,"Cashew nuts; with shell",43,0.13,4.46,10.21,5.87,0,0,0,0,0,0,0.16,0.65,0,0,0.11,0,0,0,0,0,0,0,1.89,5.77,1.9,0,0,0,0,0
"16","Uganda","Cassava",0.108277777777778,42729036,2841625000,"Production_kg",125,"Cassava",17,8542.62,112233.4,29153.66,1906681.55,1977.7,0.63,1.57,2394.5,74.78,20.88,23093.63,90900.45,6.14,565.06,2420.48,3.82,3.42,35.24,5.4,1455.64,1289.8,23.58,5343.47,5374.18,2702.45,0,0,3858.85,86.33,1289.8
"17","Uganda","Cassava dried",0.108277777777778,42729036,3300000,"Import_kg",128,"Cassava",17,9.92,130.34,33.86,2214.24,2.3,0,0,2.78,0,0,26.82,105.56,0,0.66,2.81,0,0,0,0,1.69,1.5,0,6.21,6.24,3.14,0,0,4.48,0.1,1.5
"18","Uganda","Castor oil seed",0.0178426203877423,42729036,1013000,"Production_kg",265,"Oilcrops Oil; Other",75,117.29,16.59,12078.23,7.21,0,0,0,0.23,0,0,0.24,0,0,0,0.23,0,0,0,0,0.57,0,0,3005.64,4895.8,4361.63,0,0,1.05,0,0
"19","Uganda","Cauliflowers and broccoli",0.103835520801038,42729036,3000,"Import_kg",393,"Cauliflowers and broccoli",84,0,0.21,0,0.28,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Uganda","Cereal preparations nes",0.0486257263475995,42729036,172000,"Import_kg",113,"Cereals; nes",13,2.88,107.82,38.1,608.38,0,0,0,1.2,0.18,0,3.53,26.14,0,0,3.15,0,0,0,0,0.11,1.52,0,3.72,4.88,8.87,0,0,0,0,0
"21","Uganda","Chick peas",0.04575,42729036,5581000,"Production_kg/Import_kg",191,"Chick peas",33,100.57,5551.11,1437.14,16648.97,0.6,0,0.11,38.93,1.98,0.98,230.97,2179.28,0.26,5.73,88.62,0.11,0,0.5,0.15,41.87,28.26,3.21,176.01,389.27,759.56,0,0,3,0.85,0
