"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","United Arab Emirates","Almonds, with shell",0.0296505238073522,9630959,10813000,"Import_kg",221,"Almonds; with shell",45,2254.49,80312.84,193705.97,68372.57,39.38,0,0.17,919.05,11.83,13.71,2981.28,27452.53,3.85,18.27,1827.77,0.81,2.9,14.78,0.52,197.28,1217.38,7.91,14960.68,127892.8,44168.27,0,0,18.83,11.11,246.13
"2","United Arab Emirates","Bananas",0.04075,9630959,172561000,"Import_kg",486,"Bananas",117,4429.32,53455.18,10222.77,1026422.33,468.11,1.61,0.82,433.17,35.12,7.25,14940.63,68751.36,4.06,279.07,1115.21,2.35,2.22,37.44,15.35,430.9,1245.79,11.87,4880.55,1143.19,2484.24,0,0,3202.83,36.45,1560.9
"3","United Arab Emirates","Beans, green",0.0843965476190476,9630959,4802000,"Import_kg",414,"Beans; green",92,28.19,2693.82,321.64,4420.62,13.54,0,0,37.19,1.28,0.27,171.96,1323.76,0,9.8,62.98,0,0.59,0.52,0,4.79,17.72,0,28.75,10.83,55.53,0,0,49.1,0.67,7.33
"4","United Arab Emirates","Cabbages and other brassicas",0.08324,9630959,47343000,"Import_kg",358,"Cabbages and other brassicas",78,158.66,13412.28,1799.92,25881.32,362.15,1.36,0.37,724.71,10.22,2.01,1686.36,13032.75,0.91,232.13,416.35,0.36,0.61,4.58,1.06,145.6,144.19,1.5,202.6,105.84,518.77,0,0,536.47,6.53,162.99
"5","United Arab Emirates","Carrots and turnips",0.0830718954248366,9630959,89453000,"Import_kg",426,"Carrots and turnips",96,338.04,14640.58,2617.99,65596.09,306.07,6.81,0.24,741.66,17.34,2.89,3253.97,22704.93,0.66,527.78,1331.95,0.57,1.04,8.67,2.04,1169.51,136.03,1.6,361.51,163.98,846.01,0,0,997.87,14.03,257.16
"6","United Arab Emirates","Cauliflowers and broccoli",0.103835520801038,9630959,18221000,"Import_kg",393,"Cauliflowers and broccoli",84,52.23,5643.97,589.12,7413.86,147.35,0.99,0.11,79.87,1.98,0.77,539.84,3461.87,0,54.54,197.9,0.2,0.2,1.31,0.33,115.4,32.8,0.33,113.42,34.16,58.76,0,0,157.81,1.97,87.46
"7","United Arab Emirates","Chillies and peppers, green",0.0664142191142191,9630959,45187000,"Import_kg",401,"Chillies and peppers; green",88,276.87,12578.27,4694.77,48800.78,814.68,0.88,0.21,195.28,11.48,2.2,1991.67,22710.09,1.1,50.11,719.72,0.89,0.85,8.39,2.51,57.05,254.87,1.67,294.59,126.05,1289.09,0,0,623.58,6.24,116.96
"8","United Arab Emirates","Cucumbers and gherkins",0.0675,9630959,7278000,"Import_kg",397,"Cucumbers and gherkins",86,15.63,722.43,132.37,2832.77,11.07,0,0,17.91,0.5,0.21,159.6,730.37,0,7.43,40.61,0,0,0.21,0,6.72,13.99,0,37.5,2.8,29.11,0,0,107.2,0.47,17.35
"9","United Arab Emirates","Dates",0.0393863636363636,9630959,172072000,"Import_kg",577,"Dates",121,9018.02,79724.19,13325.17,2311661.32,306.52,0.2,0.89,1882.53,74.96,13.84,27376.13,224089.62,10.4,90.72,3645.99,3.11,5.49,74.61,8.07,367.43,1829.61,12.66,725.8,816.52,430.94,0,0,1714.41,60.79,786.28
"10","United Arab Emirates","Eggplants (aubergines)",0.082,9630959,16275000,"Import_kg",399,"Eggplants (aubergines)",87,56.21,2378.71,1491.34,10902.94,13.59,0,0,35.27,1.25,0.39,413.85,4271.76,0.21,11.05,90.25,0.1,0.19,2.65,0.18,60.69,26.45,0.48,55.64,26.79,119.53,0,0,189.12,2.47,42.25
