"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Uruguay","Anise, badian, fennel, coriander",0.00195,3449285,1e+05,"Import_kg",711,"Anise; badian; fennel; coriander",161,516.77,23510.38,21306.29,69479.28,15.54,0,0,1209.13,47.72,6.89,2205.59,35500.15,1.39,110.02,684.04,0.49,0.45,4.58,0.74,814.51,468.32,4.06,1252.14,16186.19,3907.46,0,0,14.81,10.01,0
"2","Uruguay","Apples",0.121111111111111,3449285,77000,"Import_kg",515,"Apples",119,1.03,5.72,5.43,241.19,0.27,0,0,0.14,0,0,1.9,26.11,0,0.11,0.2,0,0,0,0,2.99,0,0,0.72,0.16,1.21,0,0,1.56,0,0.18
"3","Uruguay","Apricots",0.03995,3449285,4000,"Import_kg",526,"Apricots",125,0.14,2.9,0.74,33.05,0,0,0,0,0,0,0.85,3.97,0,0,0,0,0,0,0,0,0,0,0,0.49,0.23,0,0,0.25,0,0
"4","Uruguay","Asparagus",0.0845294117647059,3449285,19000,"Import_kg",367,"Asparagus",80,0.13,14.06,1.32,19.84,0.14,0,0,0.14,0,0,1.41,15.86,0,0,0.55,0,0,0,0,0.1,0,0,0.29,0,0.46,0,0,0.6,0,0.31
"5","Uruguay","Avocados",0.048,3449285,838000,"Import_kg",572,"Avocados",141,73.73,814.1,7130.33,2196.66,6.47,0,0,10.41,0.49,0.24,258.15,2218.6,0.11,3.34,85.92,0,0,0.7,0.15,7.19,15.31,0,1210.44,4019.92,842.22,0,0,38.92,0.59,19.23
"6","Uruguay","Bananas",0.04075,3449285,51010000,"Import_kg",486,"Bananas",117,3655.86,44120.75,8437.65,847186.88,386.37,1.33,0.68,357.53,28.99,5.99,12331.67,56745.89,3.35,230.33,920.47,1.94,1.84,30.9,12.67,355.65,1028.24,9.8,4028.3,943.57,2050.44,0,0,2643.55,30.08,1288.33
"7","Uruguay","Barley",0.04775,3449285,29995000,"Import_kg",44,"Barley",3,6267.37,166535.33,25342.78,1357799.57,12.14,0,0.38,1015.29,141.66,46.04,4689.47,150852.17,11.64,389.73,5326.38,4.79,2.36,97.38,5.26,688.4,1414.43,25.89,6610.79,4042.96,15188.42,0,0,213.84,33.36,0
"8","Uruguay","Beans, dry",0.1145,3449285,802000,"Import_kg",176,"Beans",30,66.91,4323.74,278.8,11778.08,0.37,0,0,28.41,1.48,0.59,237.44,2518.58,0.18,3.17,78.54,0,0,0.41,0,22.42,35.11,0.26,62.77,27.87,96.57,0,0,2.38,0.78,0
"9","Uruguay","Broad beans, horse beans, dry",0.052,3449285,2000,"Import_kg",181,"Broad beans; horse beans; dry",32,0.37,26.76,1.77,61.33,0,0,0,0.11,0,0,1.33,21.59,0,0,0.43,0,0,0,0,0.11,0.21,0,0.28,0.34,0.67,0,0,0,0,0
"10","Uruguay","Buckwheat",0.0421111111111111,3449285,19000,"Import_kg",89,"Buckwheat",9,4.31,139.14,35.32,901.25,0,0,0,0.55,0,0,5.38,121.65,0,0,4.59,0,0,0,0,0,3,0,9.69,13.6,13.59,0,0,0.17,0,0
"11","Uruguay","Cherries",0.1289,3449285,29000,"Import_kg",531,"Cherries",127,0.3,7.1,1.13,67.92,0,0,0,0.18,0,0,1.62,6.85,0,0,0.15,0,0,0,0,0,0,0,0.25,0.31,0.34,0,0,0.54,0,0
"12","Uruguay","Chick peas",0.04575,3449285,1386000,"Import_kg",191,"Chick peas",33,309.38,17077.54,4421.23,51219.18,1.84,0,0.33,119.77,6.09,3.03,710.54,6704.36,0.81,17.62,272.62,0.35,0.15,1.55,0.47,128.8,86.95,9.89,541.47,1197.56,2336.72,0,0,9.22,2.61,0
"13","Uruguay","Chillies and peppers, dry",4e-04,3449285,197000,"Import_kg",689,"Pimento",156,3433.39,146322.2,127448.3,585943.87,1077.06,9.69,0.78,2962.24,104.23,37.73,26015.1,317264.3,9.42,6478.79,2654.62,3.99,6.22,78.77,24.61,735.33,2191.72,31.09,37837.55,24296.94,88030.61,0,0,400.2,85.44,0
