"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Uruguay","Anise, badian, fennel, coriander",0.00195,3449285,1e+05,"Import_kg",711,"Anise; badian; fennel; coriander",161,516.77,23510.38,21306.29,69479.28,15.54,0,0,1209.13,47.72,6.89,2205.59,35500.15,1.39,110.02,684.04,0.49,0.45,4.58,0.74,814.51,468.32,4.06,1252.14,16186.19,3907.46,0,0,14.81,10.01,0
"2","Uruguay","Apples",0.121111111111111,3449285,42399000,"Production_kg/Import_kg",515,"Apples",119,569.74,3150.56,2989.86,132805.56,147.36,0,0,78.66,7.12,0.65,1043.94,14378.39,0.29,59.12,110.19,0.46,0.29,1.9,0.41,1646.24,47.36,0.36,395.83,86.27,664.79,0,0,857.67,2.61,101.49
"3","Uruguay","Apricots",0.03995,3449285,4000,"Import_kg",526,"Apricots",125,0.14,2.9,0.74,33.05,0,0,0,0,0,0,0.85,3.97,0,0,0,0,0,0,0,0,0,0,0,0.49,0.23,0,0,0.25,0,0
"4","Uruguay","Asparagus",0.0845294117647059,3449285,19000,"Import_kg",367,"Asparagus",80,0.13,14.06,1.32,19.84,0.14,0,0,0.14,0,0,1.41,15.86,0,0,0.55,0,0,0,0,0.1,0,0,0.29,0,0.46,0,0,0.6,0,0.31
"5","Uruguay","Avocados",0.048,3449285,838000,"Import_kg",572,"Avocados",141,73.73,814.1,7130.33,2196.66,6.47,0,0,10.41,0.49,0.24,258.15,2218.6,0.11,3.34,85.92,0,0,0.7,0.15,7.19,15.31,0,1210.44,4019.92,842.22,0,0,38.92,0.59,19.23
"6","Uruguay","Bananas",0.04075,3449285,51010000,"Import_kg",486,"Bananas",117,3655.86,44120.75,8437.65,847186.88,386.37,1.33,0.68,357.53,28.99,5.99,12331.67,56745.89,3.35,230.33,920.47,1.94,1.84,30.9,12.67,355.65,1028.24,9.8,4028.3,943.57,2050.44,0,0,2643.55,30.08,1288.33
"7","Uruguay","Barley",0.04775,3449285,667795000,"Production_kg/Import_kg",44,"Barley",3,139533.81,3707666.57,564220.1,30229430.41,270.3,0.1,8.51,22604.01,3153.79,1024.99,104404.19,3358503.81,259.22,8676.7,118584.02,106.63,52.45,2168.04,117.18,15326.13,31490.2,576.42,147179.5,90010.61,338147.95,0,0,4760.94,742.79,0
"8","Uruguay","Beans, dry",0.1145,3449285,4145000,"Production_kg/Import_kg",176,"Beans",30,345.84,22346.5,1440.91,60873.01,1.9,0,0.43,146.85,7.65,3.07,1227.18,13016.86,0.92,16.39,405.91,0.47,0.23,2.1,0.41,115.87,181.45,1.37,324.42,144.06,499.1,0,0,12.3,4.01,0
"9","Uruguay","Beans, green",0.0843965476190476,3449285,1054000,"Production_kg",414,"Beans; green",92,17.27,1650.93,197.12,2709.21,8.3,0,0,22.8,0.79,0.17,105.38,811.27,0,6,38.6,0,0.36,0.32,0,2.93,10.86,0,17.62,6.64,34.03,0,0,30.09,0.41,4.49
"10","Uruguay","Broad beans, horse beans, dry",0.052,3449285,617000,"Production_kg/Import_kg",181,"Broad beans; horse beans; dry",32,115.07,8255.13,546.38,18919.18,0.94,0,0.15,34.09,2.78,1.2,410.46,6662.05,0.28,6.27,131.22,0.13,0,0.91,0.13,32.95,65.88,0.56,86.69,103.71,207.6,0,0,3.59,1.03,9.29
"11","Uruguay","Buckwheat",0.0421111111111111,3449285,19000,"Import_kg",89,"Buckwheat",9,4.31,139.14,35.32,901.25,0,0,0,0.55,0,0,5.38,121.65,0,0,4.59,0,0,0,0,0,3,0,9.69,13.6,13.59,0,0,0.17,0,0
"12","Uruguay","Cabbages and other brassicas",0.08324,3449285,3878000,"Production_kg",358,"Cabbages and other brassicas",78,36.29,3067.58,411.67,5919.42,82.83,0.31,0,165.75,2.34,0.46,385.7,2980.77,0.21,53.09,95.23,0,0.14,1.05,0.24,33.3,32.98,0.34,46.34,24.21,118.65,0,0,122.7,1.49,37.28
"13","Uruguay","Carrots and turnips",0.0830718954248366,3449285,24862000,"Production_kg",426,"Carrots and turnips",96,262.33,11361.61,2031.66,50904.9,237.52,5.28,0.19,575.55,13.46,2.24,2525.2,17619.83,0.51,409.58,1033.64,0.45,0.81,6.73,1.58,907.58,105.57,1.24,280.55,127.26,656.53,0,0,774.38,10.89,199.56
"14","Uruguay","Cherries",0.1289,3449285,29000,"Import_kg",531,"Cherries",127,0.3,7.1,1.13,67.92,0,0,0,0.18,0,0,1.62,6.85,0,0,0.15,0,0,0,0,0,0,0,0.25,0.31,0.34,0,0,0.54,0,0
"15","Uruguay","Chick peas",0.04575,3449285,1386000,"Import_kg",191,"Chick peas",33,309.38,17077.54,4421.23,51219.18,1.84,0,0.33,119.77,6.09,3.03,710.54,6704.36,0.81,17.62,272.62,0.35,0.15,1.55,0.47,128.8,86.95,9.89,541.47,1197.56,2336.72,0,0,9.22,2.61,0
"16","Uruguay","Chillies and peppers, dry",4e-04,3449285,197000,"Import_kg",689,"Pimento",156,3433.39,146322.2,127448.3,585943.87,1077.06,9.69,0.78,2962.24,104.23,37.73,26015.1,317264.3,9.42,6478.79,2654.62,3.99,6.22,78.77,24.61,735.33,2191.72,31.09,37837.55,24296.94,88030.61,0,0,400.2,85.44,0
"17","Uruguay","Chillies and peppers, green",0.0664142191142191,3449285,14788000,"Production_kg",401,"Chillies and peppers; green",88,252.99,11493.63,4289.93,44592.63,744.43,0.8,0.19,178.44,10.49,2.01,1819.93,20751.77,1,45.79,657.66,0.82,0.77,7.66,2.29,52.13,232.89,1.53,269.19,115.18,1177.93,0,0,569.81,5.7,106.87
"18","Uruguay","Cinnamon (cannella)",0.00115555555555556,3449285,32000,"Import_kg",693,"cinnamon (canella)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Uruguay","Cloves",0.0013,3449285,7000,"Import_kg",698,"Cloves",157,37.41,674.91,1457.01,7052.45,0,0,0,87.52,1.34,0.36,159.23,3348.52,0,43.24,12.7,0,0,0.12,0,5.84,40.43,9.39,616.94,217.46,562.93,0,0,5.2,0.66,0
"20","Uruguay","Coconuts",0.04,3449285,3080000,"Import_kg",249,"Coconuts - Incl Copra",58,708.77,7489.68,62827.8,28089.62,5.36,0,0,41.66,6.41,3.68,729.79,14411.04,1.14,47.28,234.94,0.14,0,1.51,0,27.01,64.7,8.37,66633.32,5943.62,1524.69,0,0,118.39,2.28,92.64
"21","Uruguay","Coffee, green",0.00312,3449285,1176000,"Import_kg",656,"Coffee",152,2024.69,123530.18,163015.6,395578.08,10.93,0,0.19,1126.01,37.76,5.8,24323.05,0,2.26,388.64,3105.96,1.57,5.46,121.16,0.25,470.64,2041.79,4.16,362.03,2715.23,181.02,0,0,57.4,63.35,0
"22","Uruguay","Cucumbers and gherkins",0.0675,3449285,3000,"Import_kg",397,"Cucumbers and gherkins",86,0,0.83,0.15,3.26,0,0,0,0,0,0,0.18,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0
