"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Uzbekistan","Almonds, with shell",0.0296505238073522,32476244,21411000,"Production_kg",221,"Almonds; with shell",45,1323.86,47160.61,113746.35,40149.15,23.12,0,0,539.68,6.94,8.05,1750.64,16120.44,2.26,10.73,1073.29,0.47,1.71,8.68,0.3,115.84,714.86,4.65,8785.08,75100.11,25936.11,0,0,11.06,6.52,144.53
"2","Uzbekistan","Apples",0.121111111111111,32476244,1125059000,"Production_kg/Import_kg",515,"Apples",119,1605.68,8879.13,8426.24,374282.26,415.29,0.16,0,221.68,20.06,1.83,2942.12,40522.22,0.83,166.62,310.56,1.3,0.81,5.36,1.15,4639.56,133.48,1,1115.55,243.13,1873.56,0,0,2417.13,7.36,286.04
"3","Uzbekistan","Apricots",0.03995,32476244,536568000,"Production_kg/Import_kg",526,"Apricots",125,2043,41356.35,10575.41,470800.67,276.4,5.29,0.37,703.06,32.85,9.1,12062.27,56520.34,3.23,54.8,985.66,0.96,4.62,32.26,2.23,115.8,413.56,3.18,1178.66,7030.58,3246.47,0,0,3540.4,32.67,351.53
"4","Uzbekistan","Artichokes",0.1,32476244,4478000,"Production_kg",366,"Artichokes",79,7.65,360.85,24.13,1599.82,1.14,0,0,11.49,0.18,0,47.2,340.12,0,14.63,13.51,0,0,0,0,4.74,8.27,0,5.93,1.03,8.55,0,0,11.89,0.18,8.27
"5","Uzbekistan","Barley",0.04775,32476244,205350000,"Production_kg/Import_kg",44,"Barley",3,4557.16,121092.01,18427.37,987290.12,8.83,0,0.28,738.24,103,33.48,3409.83,109688.39,8.47,283.38,3872.94,3.48,1.71,70.81,3.83,500.55,1028.47,18.83,4806.87,2939.74,11043.88,0,0,155.49,24.26,0
"6","Uzbekistan","Beans, green",0.0843965476190476,32476244,8528000,"Production_kg",414,"Beans; green",92,14.84,1418.72,169.39,2328.16,7.13,0,0,19.59,0.68,0.14,90.56,697.17,0,5.16,33.17,0,0.31,0.27,0,2.52,9.33,0,15.14,5.7,29.25,0,0,25.86,0.35,3.86
"7","Uzbekistan","Berries nes",0.109406559397488,32476244,1054000,"Production_kg",558,"Berries; nes",138,1.68,27.61,13.37,380.5,1.37,0,0,1.09,0,0,4.9,85.43,0,0.18,0.67,0,0,0,0,0.29,0.48,0,0.53,1.25,6.47,0,0,2.55,0,0
"8","Uzbekistan","Blueberries",0.134028846153846,32476244,669000,"Production_kg",552,"Blueberries",136,0.88,11.37,5.07,222.71,0.15,0,0,0,0,0,1.18,36.89,0,0,0.18,0,0,0,0,0,0,0,0.43,0.72,2.24,0,0,1.29,0,0
"9","Uzbekistan","Broad beans, horse beans, dry",0.052,32476244,15267000,"Production_kg",181,"Broad beans; horse beans; dry",32,302.4,21694.8,1435.91,49720.34,2.46,0,0.38,89.59,7.3,3.16,1078.69,17508.12,0.74,16.48,344.86,0.35,0.26,2.38,0.33,86.61,173.12,1.47,227.82,272.57,545.58,0,0,9.43,2.72,24.41
"10","Uzbekistan","Cabbages and other brassicas",0.08324,32476244,703425000,"Production_kg/Import_kg",358,"Cabbages and other brassicas",78,699.07,59097.42,7930.83,114038.68,1595.71,6,1.63,3193.24,45.04,8.88,7430.49,57425.12,4.03,1022.8,1834.54,1.58,2.67,20.16,4.69,641.56,635.34,6.6,892.71,466.37,2285.82,0,0,2363.82,28.78,718.17
"11","Uzbekistan","Carrots and turnips",0.0830718954248366,32476244,2769624000,"Production_kg/Import_kg",426,"Carrots and turnips",96,3103.83,134427.45,24038,602292.71,2810.32,62.48,2.24,6809.77,159.24,26.52,29877.46,208472.96,6.04,4846.01,12229.79,5.27,9.56,79.59,18.72,10738.23,1249.03,14.68,3319.34,1505.68,7767.93,0,0,9162.27,128.82,2361.18
"12","Uzbekistan","Cereals nes",0.0486257263475995,32476244,12750000,"Production_kg",108,"Cereals; nes",13,281.17,10515.61,3716.06,59335.41,0.87,0,0,117.22,17.9,3.07,344.75,2549.02,0.65,6.3,307.31,0.29,0.21,1.18,0.39,10.58,148.56,7.46,362.51,475.55,864.7,0,0,8.81,3.16,0
"13","Uzbekistan","Cherries",0.1289,32476244,175871000,"Production_kg/Import_kg",531,"Cherries",127,191.52,4572.33,728.21,43748.71,52.6,0.12,0,115.95,2.13,0.29,1044,4411.28,0.25,6.3,98.31,0,0.12,2.9,0.21,25.63,46.21,0.29,159.65,197.46,218.46,0,0,346.08,2.86,33.61
"14","Uzbekistan","Cherries, sour",0.028,32476244,65023000,"Production_kg",530,"Sour cherries",126,338.46,7865.67,1906.83,79562.47,71.51,0.35,0,97.73,2.91,1.18,1237.06,8580.73,0.74,39.33,117.99,0.18,0.21,2.86,0.31,43.62,64.36,0.8,486.24,586.35,643.56,0,0,622.17,2.86,78.66
"15","Uzbekistan","Chick peas",0.04575,32476244,10293000,"Production_kg/Import_kg",191,"Chick peas",33,244.03,13469.99,3487.27,40399.38,1.45,0,0.26,94.47,4.8,2.39,560.45,5288.1,0.64,13.9,215.03,0.27,0.12,1.22,0.37,101.59,68.58,7.8,427.09,944.58,1843.1,0,0,7.27,2.06,0
"16","Uzbekistan","Chillies and peppers, dry",4e-04,32476244,31297000,"Production_kg/Import_kg",689,"Pimento",156,57932.54,2468936.87,2150472.07,9886800.79,18173.57,163.56,13.19,49982.76,1758.73,636.64,438960.35,5353292.55,158.95,109318.47,44792.09,67.25,104.93,1329.17,415.29,12407.5,36981.57,524.65,638443.98,409969.37,1485366.02,0,0,6752.65,1441.68,0
"17","Uzbekistan","Chillies and peppers, green",0.0664142191142191,32476244,81013000,"Production_kg/Import_kg",401,"Chillies and peppers; green",88,147.2,6687.53,2496.08,25946.07,433.14,0.47,0.11,103.83,6.1,1.17,1058.92,12074.35,0.58,26.64,382.66,0.47,0.45,4.46,1.33,30.33,135.51,0.89,156.63,67.02,685.37,0,0,331.54,3.32,62.18
"18","Uzbekistan","Cucumbers and gherkins",0.0675,32476244,855158000,"Production_kg/Import_kg",397,"Cucumbers and gherkins",86,544.58,25172.97,4612.37,98707.31,385.6,0.19,0.36,624.16,17.36,7.48,5561.1,25449.43,2.11,258.93,1414.93,1.02,1.23,7.44,1.56,234.06,487.63,3.08,1306.84,97.53,1014.26,0,0,3735.5,16.2,604.66
