"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Venezuela (Bolivarian Republic of)","Avocados",0.048,28887118,135606000,"Production_kg",572,"Avocados",141,1424.7,15730.39,137774.58,42444.67,125.11,0.33,0.57,201.12,9.4,4.72,4988.09,42868.47,2.06,64.51,1660.13,0.62,1.37,13.54,2.98,138.87,295.84,1.39,23388.58,77674.24,16273.72,0,0,752.01,11.48,371.64
"2","Venezuela (Bolivarian Republic of)","Bananas",0.04075,28887118,650051000,"Production_kg",486,"Bananas",117,5562.97,67136.68,12839.22,1289128.45,587.92,2.03,1.03,544.04,44.11,9.11,18764.59,86347.82,5.09,350.49,1400.64,2.95,2.79,47.02,19.27,541.18,1564.64,14.91,6129.69,1435.78,3120.07,0,0,4022.58,45.77,1960.4
"3","Venezuela (Bolivarian Republic of)","Beans, dry",0.1145,28887118,41337000,"Production_kg",176,"Beans",30,411.82,26610.24,1715.84,72487.66,2.27,0,0.51,174.86,9.11,3.65,1461.33,15500.5,1.09,19.52,483.35,0.56,0.28,2.5,0.48,137.97,216.07,1.63,386.32,171.54,594.33,0,0,14.65,4.77,0
"4","Venezuela (Bolivarian Republic of)","Cabbages and other brassicas",0.08324,28887118,76368000,"Production_kg",358,"Cabbages and other brassicas",78,85.32,7213.13,968,13918.98,194.76,0.73,0.2,389.75,5.5,1.08,906.93,7009.02,0.49,124.84,223.91,0.19,0.33,2.46,0.57,78.31,77.55,0.81,108.96,56.92,279,0,0,288.52,3.51,87.66
"5","Venezuela (Bolivarian Republic of)","Carrots and turnips",0.0830718954248366,28887118,173816000,"Production_kg",426,"Carrots and turnips",96,218.99,9484.59,1696.01,42495.03,198.28,4.41,0.16,480.47,11.24,1.87,2108.02,14708.9,0.43,341.91,862.88,0.37,0.67,5.62,1.32,757.64,88.13,1.04,234.2,106.23,548.07,0,0,646.45,9.09,166.59
"6","Venezuela (Bolivarian Republic of)","Cassava",0.108277777777778,28887118,421620000,"Production_kg",125,"Cassava",17,1874.84,24631.76,6398.33,418457.62,434.04,0.14,0.34,525.52,16.41,4.58,5068.34,19949.84,1.35,124.01,531.22,0.84,0.75,7.73,1.19,319.47,283.07,5.18,1172.73,1179.47,593.1,0,0,846.9,18.95,283.07
"7","Venezuela (Bolivarian Republic of)","Cauliflowers and broccoli",0.103835520801038,28887118,31426000,"Production_kg",393,"Cauliflowers and broccoli",84,30.03,3245.39,338.76,4263.11,84.73,0.57,0,45.93,1.14,0.44,310.42,1990.64,0,31.36,113.8,0.11,0.11,0.75,0.19,66.35,18.86,0.19,65.22,19.64,33.79,0,0,90.75,1.13,50.29
"8","Venezuela (Bolivarian Republic of)","Chillies and peppers, green",0.0664142191142191,28887118,149935000,"Production_kg",401,"Chillies and peppers; green",88,306.28,13914.76,5193.61,53986.05,901.24,0.97,0.23,216.03,12.7,2.44,2203.3,25123.13,1.21,55.44,796.19,0.99,0.94,9.28,2.77,63.11,281.95,1.85,325.89,139.44,1426.06,0,0,689.83,6.91,129.38
"9","Venezuela (Bolivarian Republic of)","Cocoa, beans",0.0115,28887118,23847000,"Production_kg",661,"Cocoa Beans",153,1636.69,115831.74,296843.96,415633.23,0,0,0.23,769.96,36.42,48.89,7203.59,265603.27,27.19,59.22,4210.06,1.22,1.42,13.25,0.85,86.14,3582.05,27.54,165230.36,114083.78,6173.48,0,0,27.85,28.56,0
"10","Venezuela (Bolivarian Republic of)","Coconuts",0.04,28887118,153474000,"Production_kg",249,"Coconuts - Incl Copra",58,4217.1,44562.79,373818.54,167130.15,31.86,0,0.26,247.89,38.11,21.91,4342.18,85744.1,6.8,281.33,1397.88,0.83,0.42,8.98,0.55,160.71,384.96,49.81,396460.93,35363.91,9071.75,0,0,704.4,13.58,551.21
"11","Venezuela (Bolivarian Republic of)","Coffee, green",0.00312,28887118,56709000,"Production_kg",656,"Coffee",152,11658.09,711283.31,938639.2,2277727.42,62.92,0.25,1.09,6483.55,217.4,33.39,140051.45,0,13,2237.77,17884.04,9.06,31.44,697.66,1.46,2709.93,11756.57,23.97,2084.56,15634.21,1042.28,0,0,330.49,364.75,0
