"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Yemen","Almonds, with shell",0.0296505238073522,28498683,403000,"Import_kg",221,"Almonds; with shell",45,28.4,1011.55,2439.76,861.16,0.5,0,0,11.58,0.15,0.17,37.55,345.77,0,0.23,23.02,0,0,0.19,0,2.48,15.33,0,188.43,1610.83,556.31,0,0,0.24,0.14,3.1
"2","Yemen","Apples",0.121111111111111,28498683,13025000,"Import_kg",515,"Apples",119,21.18,117.14,111.17,4937.9,5.48,0,0,2.92,0.26,0,38.82,534.61,0,2.2,4.1,0,0,0,0,61.21,1.76,0,14.72,3.21,24.72,0,0,31.89,0,3.77
"3","Yemen","Apricots",0.03995,28498683,28000,"Import_kg",526,"Apricots",125,0.12,2.46,0.63,28,0,0,0,0,0,0,0.72,3.36,0,0,0,0,0,0,0,0,0,0,0,0.42,0.19,0,0,0.21,0,0
"4","Yemen","Beans, dry",0.1145,28498683,19418000,"Import_kg",176,"Beans",30,196.09,12670.5,817,34515.09,1.08,0,0.24,83.26,4.34,1.74,695.81,7380.58,0.52,9.3,230.15,0.27,0.13,1.19,0.23,65.7,102.88,0.78,183.95,81.68,282.99,0,0,6.98,2.27,0
"5","Yemen","Beans, green",0.0843965476190476,28498683,12000,"Import_kg",414,"Beans; green",92,0,2.27,0.27,3.73,0,0,0,0,0,0,0.15,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Yemen","Broad beans, horse beans, dry",0.052,28498683,998000,"Import_kg",181,"Broad beans; horse beans; dry",32,22.53,1616.12,106.97,3703.84,0.18,0,0,6.67,0.54,0.24,80.36,1304.24,0,1.23,25.69,0,0,0.18,0,6.45,12.9,0.11,16.97,20.3,40.64,0,0,0.7,0.2,1.82
"7","Yemen","Chick peas",0.04575,28498683,624000,"Import_kg",191,"Chick peas",33,16.86,930.57,240.92,2790.99,0.1,0,0,6.53,0.33,0.16,38.72,365.33,0,0.96,14.86,0,0,0,0,7.02,4.74,0.54,29.51,65.26,127.33,0,0,0.5,0.14,0
"8","Yemen","Chillies and peppers, green",0.0664142191142191,28498683,1000,"Import_kg",401,"Chillies and peppers; green",88,0,0,0,0.36,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Yemen","Coffee, green",0.00312,28498683,487000,"Import_kg",656,"Coffee",152,101.48,6191.54,8170.62,19827.05,0.55,0,0,56.44,1.89,0.29,1219.11,0,0.11,19.48,155.68,0,0.27,6.07,0,23.59,102.34,0.21,18.15,136.09,9.07,0,0,2.88,3.18,0
"10","Yemen","Cucumbers and gherkins",0.0675,28498683,2000,"Import_kg",397,"Cucumbers and gherkins",86,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
