"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Yemen","Almonds, with shell",0.0296505238073522,28498683,11743000,"Production_kg/Import_kg",221,"Almonds; with shell",45,827.42,29475.59,71091.98,25093.4,14.45,0,0,337.3,4.34,5.03,1094.16,10075.34,1.41,6.71,670.81,0.3,1.07,5.43,0.19,72.4,446.79,2.9,5490.72,46937.9,16210.19,0,0,6.91,4.08,90.33
"2","Yemen","Anise, badian, fennel, coriander",0.00195,28498683,3924000,"Import_kg",711,"Anise; badian; fennel; coriander",161,2454.31,111658.82,101190.8,329980.75,73.79,0.17,0,5742.56,226.61,32.75,10475.08,168602.3,6.63,522.52,3248.73,2.32,2.13,21.74,3.53,3868.4,2224.23,19.26,5946.82,76873.71,18557.86,0,0,70.34,47.53,0
"3","Yemen","Apples",0.121111111111111,28498683,34971000,"Production_kg/Import_kg",515,"Apples",119,56.88,314.52,298.47,13257.85,14.71,0,0,7.85,0.71,0,104.22,1435.38,0,5.9,11,0,0,0.19,0,164.34,4.73,0,39.52,8.61,66.37,0,0,85.62,0.26,10.13
"4","Yemen","Apricots",0.03995,28498683,1549000,"Production_kg/Import_kg",526,"Apricots",125,6.72,136.05,34.79,1548.83,0.91,0,0,2.31,0.11,0,39.68,185.94,0,0.18,3.24,0,0,0.11,0,0.38,1.36,0,3.88,23.13,10.68,0,0,11.65,0.11,1.16
"5","Yemen","Asparagus",0.0845294117647059,28498683,4000,"Import_kg",367,"Asparagus",80,0,0.36,0,0.51,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Yemen","Avocados",0.048,28498683,211000,"Import_kg",572,"Avocados",141,2.25,24.81,217.3,66.94,0.2,0,0,0.32,0,0,7.87,67.61,0,0.1,2.62,0,0,0,0,0.22,0.47,0,36.89,122.51,25.67,0,0,1.19,0,0.59
"7","Yemen","Bambara beans",0.028,28498683,124000,"Import_kg",203,"Bambara beans",37,5.31,275.65,87.48,841.22,0,0,0,0.77,0,0,19.5,74.59,0,0.44,4.01,0,0,0,0,0,2.95,0,0,0,0,0,0,0.26,0,0.39
"8","Yemen","Bananas",0.04075,28498683,116300000,"Production_kg",486,"Bananas",117,1008.83,12175.07,2328.36,233780.29,106.62,0.37,0.19,98.66,8,1.65,3402.91,15658.97,0.92,63.56,254,0.54,0.51,8.53,3.5,98.14,283.74,2.7,1111.6,260.38,565.82,0,0,729.48,8.3,355.51
"9","Yemen","Barley",0.04775,28498683,26933000,"Production_kg",44,"Barley",3,681.12,18098.66,2754.19,147562.44,1.32,0,0,110.34,15.39,5,509.64,16394.26,1.27,42.35,578.86,0.52,0.26,10.58,0.57,74.81,153.72,2.81,718.44,439.38,1650.64,0,0,23.24,3.63,0
"10","Yemen","Beans, dry",0.1145,28498683,22446000,"Production_kg/Import_kg",176,"Beans",30,226.67,14646.31,944.4,39897.3,1.25,0,0.28,96.25,5.02,2.01,804.32,8531.49,0.6,10.74,266.04,0.31,0.15,1.37,0.27,75.94,118.93,0.9,212.63,94.42,327.12,0,0,8.06,2.63,0
