"","Country","FAO_CropName","servingSize_kg","Population","Amount_kg","source","FAO_CropID","GENuS_FoodName","GENuS_FoodID","Calories","Protein","Fat","Carbohydrates","Vitamin.C","Vitamin.A","Folate","Calcium","Iron","Zinc","Potassium","Dietary.Fiber","Copper","Sodium","Phosphorus","Thiamin","Riboflavin","Niacin","B6","Choline","Magnesium","Manganese","Saturated.FA","Monounsaturated.FA","Polyunsaturated.FA","Omega.3..USDA.only.","B12..USDA.only.","Water.moisture","Ash","Refuse"
"1","Zimbabwe","Anise, badian, fennel, coriander",0.00195,14438802,80000,"Production_kg",711,"Anise; badian; fennel; coriander",161,98.76,4493.12,4071.89,13278.32,2.97,0,0,231.08,9.12,1.32,421.51,6784.5,0.27,21.03,130.73,0,0,0.87,0.14,155.66,89.5,0.78,239.3,3093.37,746.76,0,0,2.83,1.91,0
"2","Zimbabwe","Apples",0.121111111111111,14438802,6441000,"Production_kg",515,"Apples",119,20.68,114.34,108.5,4819.61,5.35,0,0,2.85,0.26,0,37.89,521.8,0,2.15,4,0,0,0,0,59.74,1.72,0,14.36,3.13,24.13,0,0,31.13,0,3.68
"3","Zimbabwe","Apricots",0.03995,14438802,46000,"Production_kg",526,"Apricots",125,0.39,7.97,2.04,90.78,0,0,0,0.14,0,0,2.33,10.9,0,0,0.19,0,0,0,0,0,0,0,0.23,1.36,0.63,0,0,0.68,0,0
"4","Zimbabwe","Artichokes",0.1,14438802,324000,"Production_kg",366,"Artichokes",79,1.25,58.72,3.93,260.35,0.19,0,0,1.87,0,0,7.68,55.35,0,2.38,2.2,0,0,0,0,0.77,1.35,0,0.96,0.17,1.39,0,0,1.93,0,1.35
"5","Zimbabwe","Asparagus",0.0845294117647059,14438802,307000,"Production_kg",367,"Asparagus",80,0.51,54.26,5.1,76.59,0.55,0,0,0.53,0,0,5.45,61.21,0,0.12,2.11,0,0,0,0,0.4,0.35,0,1.13,0.13,1.76,0,0,2.34,0,1.18
"6","Zimbabwe","Avocados",0.048,14438802,7233000,"Production_kg",572,"Avocados",141,152.03,1678.62,14702.18,4529.35,13.35,0,0,21.46,1,0.5,532.29,4574.57,0.22,6.88,177.16,0,0.15,1.45,0.32,14.82,31.57,0.15,2495.84,8288.76,1736.6,0,0,80.25,1.22,39.66
"7","Zimbabwe","Bambara beans",0.028,14438802,17182000,"Production_kg",203,"Bambara beans",37,1452.07,75387.68,23925.23,230067.06,8.5,0,0,209.57,22.58,11.83,5333.7,20399.79,3.44,120.02,1096.82,1.71,0.7,8.71,0,0,807.46,0,0,0,0,0,0,72.29,12.21,106.25
"8","Zimbabwe","Bananas",0.04075,14438802,142380000,"Production_kg",486,"Bananas",117,2437.71,29419.45,5626.17,564899,257.63,0.89,0.45,238.4,19.33,3.99,8222.68,37837.81,2.23,153.59,613.76,1.29,1.22,20.6,8.45,237.15,685.63,6.53,2686.04,629.16,1367.22,0,0,1762.7,20.06,859.05
"9","Zimbabwe","Barley",0.04775,14438802,56781000,"Production_kg",44,"Barley",3,2834.24,75311.01,11460.57,614027.41,5.49,0,0.17,459.14,64.06,20.82,2120.68,68218.73,5.27,176.24,2408.71,2.17,1.07,44.04,2.38,311.31,639.64,11.71,2989.55,1828.32,6868.54,0,0,96.71,15.09,0
"10","Zimbabwe","Beans, dry",0.1145,14438802,18119000,"Production_kg",176,"Beans",30,361.14,23335.5,1504.68,63567.1,1.99,0,0.45,153.34,7.99,3.2,1281.49,13592.96,0.96,17.12,423.87,0.5,0.24,2.19,0.42,120.99,189.48,1.43,338.78,150.43,521.19,0,0,12.85,4.19,0
"11","Zimbabwe","Beans, green",0.0843965476190476,14438802,3883000,"Production_kg",414,"Beans; green",92,15.2,1452.96,173.48,2384.33,7.3,0,0,20.06,0.69,0.15,92.75,713.99,0,5.28,33.97,0,0.32,0.28,0,2.58,9.56,0,15.51,5.84,29.95,0,0,26.48,0.36,3.95
"12","Zimbabwe","Berries nes",0.109406559397488,14438802,44000,"Production_kg",558,"Berries; nes",138,0.16,2.59,1.26,35.73,0.13,0,0,0.1,0,0,0.46,8.02,0,0,0,0,0,0,0,0,0,0,0,0.12,0.61,0,0,0.24,0,0
